content,score,Label
Game nya seru tpi banyak yg rusak gak kayak dlu oh ya kembalikan peak yg lama saran ku itu aja tolong di perbaikan yg bug damage nya,1,Negatif
terkadang kalo deket SMA musuh ngeleg jaringannya tapi pas gakada musuh jaringannya bagus 56 kebawah ini bug atau apa mohon di perbaiki,4,Positif
"Game gj,game gk jelas,suka bug darah udh kena 6x atau lebih tpi musuh tetap saja tidak mati tolong dong developer game ini,saya main udh ngasilin demege yg besar tpi sama saja tidak mati tolong di perbaiki game ini terutama bug darah nya",1,Negatif
"Game bagus, tapi banyak masalah nya, terutama sering ngebug demag, jaringan yg tadi baik² saja,tiba² buruk pas main, buka tiktok, yt ,fb lancar aja",2,Negatif
"Garena curang,, signal nya di cut, agar musuh leluasa menang,, intinya garena ambil alih kemenangan,, ini enggak satu atau dua kali, sering!!",1,Negatif
"apalah garena kami maen br rank kok mode nya cuma di bermuda trusss,, padahal map sudah didownload semua kocak2,,,, buat apa download map kalo gak ada yg bisa kepake ngotak cokkk garentoll...",1,Negatif
"game paling ga jelas,banyak cheater berkeliaran,bug damage,gajelas bgt ni game sistemnya, kebanyakan ngurusin event sampe hal yg bisa ngerugiin player lain ga di gubris",1,Negatif
Game apa ini lawannya kayak pro player jago semua saya baru main ff masa lawannya jago lone wolf ada ranked garena kenapa perbaiki dong gak seru karena gak ada map keren munculin bandle baru garena dan sg2 gratis dan emot dan baju,2,Negatif
"Gloo Nova] Bermuda kini penuh dengan Gloo! Gunakan Alat Gloo baru untuk membantu pertarunganmu. [Update Map] Factory di Bermuda kini penuh dengan gloo. Gunakan properti unik ini untuk membantu permainanmu! [Karakter Baru - Lila] Lila bisa memperlambat musuh dan kendaraan dengan rifle, dan jika dia menjatuhkan musuh yang pelan, dia mendapatkan gloo wall ekstra. [Update Profil] Halaman Profil kini bisa kamu ubah. Tunjukkan kontgen favorit kamu dan buat profil kamu yang unik!",5,Positif
"Game nya bagus, tapi knp pas login selalu di kasi karakter gosong, dari senjata, karakter lain nya semua gosong padahal udh di download semua, jeng kek gitu dong Mimin.😑🥲",2,Negatif
Garena tolong la kasih tim yg benar di cs rank yg serius main nya jangan yg bot terus lose trik tambah di kasih tim yg bot main nya suka ngetrol jadi tolong lah di perbaiki sistem tim di cs rankend,1,Negatif
"Wajar player banyak pensi, semakin lama semakin burik, map nya aja selalu bermuda. Padahal sudah download semua itu mapnya. Gime yang membosankan",1,Negatif
"FF SEKARANG GK SERU!!! 1.playernya toxic 2.bugnya gk pernah di benerin 3.musuh bisa nembak TEMBUS!! 4.arah Croshair nya gk bisa autoaim!!! 5.karakter barunya gak NGOTAAK!! 6.glowall sering gk kepencet padahal di pencet BERKALI""!! 7.musuh sama tim sendiri bedah jauh 8.senjatanya TAMBAH ANEH!!",1,Negatif
