content,score,Label
Emang sampah sistem game loe Tencent t43k kotoran iye mungkin ada feeding tapi itu nggak di sengaja karena masalah jaringan ilang tepat waktu mw push ke tower musuh .sistem loe SAMPAH T43K,1,Negatif
"Saya sudah memainkan honor of Kings lebih dari 3 bulan dan saya slalu dapat tim lawan yang lebih hebat dari tim saya ,saya sudah cape memainkan game kocak ini saya akan segera menghapus game gak ngotak ini , Im comeback to mobile legends",1,Negatif
"Maching ngga seimbang , tiap main ranked selalu disatu team sama player yg akun nya dibawah level 40 , aneh banget ini game , kalau di klasik malah seimbang ketemu team nya , buat pihak honor tolong di berbaiki , supaya pengguna puas, jangan mementikan Kualitas doang , collab dan hal² semacamnya! Itu saja saran dari saya , semoga kau respon 👊🏻👊🏻",1,Negatif
tolong lah di perbaiki buat hero sesuai karakter lane hapus untuk seperti mid lane bisa pke hero fram buat sesuai agar frame gak bisa pilih hero mid lane biar gak banyak pelanggaran bos admin,1,Negatif
"gamenya overal udah bagus sih,cuman yang harus di atur lagi pembagian timnya sih,masa iya tier mytic masih pada buta map",1,Negatif
"Untuk developer gamenya sudah bagus,dari segi grafik maupun keseluruhan game cuma ada satu masalah lag jaringan dalam game",4,Positif
Untuk pihak Tencent secara teknis game sudah bagus cuman kekurangannya ada lag setiap war dan juga banyak sekali orang yg troll atau feed berkeliaran banyak juga banyak pakai cheat lag mohon pihak hok kog memperbaiki masalah ini🙏,4,Positif
"Rusak game nya banyak bot. Mau naik rank aja setengah mati ketemu bot terus udah gitu ada aja ketemu player bodoh. Saran bagi yang belum download ga usah lu download game nya rusak, ga jelas menang 1 kali bisa 3 kali, stuck terus aja itu Wkwowkwo",1,Negatif
"Game haram yg pernah gua download, kirain bakal bagus dari pada MOBILE LEGEND BANG BANG, malah lebih buruk, gak bisa beli herolah, Match lama banget, tim tolol semua, mau main dilane yg lain gk boleh, bug juga banyak, nazis ini game, saran sih di uninstall aja ini game... Game babi..",1,Negatif
"Jujur aja suka Ama game nya,tapi akhir akhir ini sering lag + frame pas di in game akhirnya milih moba lain yang stabil di in game kayak ML",1,Negatif
"hei, pembuat game hok.tolong lah dikurangi dark sistemnya sudah capek kalah mulu Jadi susah naik ranknya. Kalau gua main hok pas pertama liris di indonesia, masih sedikit yang dark sistemnya sampai gua yang masih bocil bisa naik rank master.tapi sekarang sudah banyak dark sistemnya.Saat satu bintang lagi naik rank,kan kalah,malah turun,tapi biasanya kalau naik rank itu dikasih proteksi bintang, lah bukannya kalau satu lagi naik rank kalau kalah gak turun tapi ini malah turun aneh ini game.",1,Negatif
"sekarang saya udh di rank grandmaster, dan matchmaking solo sudah mulai seimbang. event digame ini juga menarik, seperti Jumat meriah dll. Makasih udh bikin move on ama game sebelah. Bakal jadi game top MOBA di hati",5,Positif
kecewa ketika teman apk atau tidak bermain serius ditemukan setiap match berturut2 hukuman nya tidak sebanding dengan kekalahan hilang nya bintang.. kadang kita akan mendapatkan musuh yang sebalik nya sehingga kita menang berturut2.. apakah ini adil atau main random ketika kekurangan pemain akan dilengkapi dengan pemain npc...gak disaran kan main game ini random..,1,Negatif
