content,score,Label
Saya udah 10 tahun main ml TPI sekarang kecewa kli jaringan bisa pula hilang tiba2 padahal jaringan hp saya bgus dan pas mulai itu pun kayak ngeleg jaringan nya saya hyper jdi lama waktu farming jdi nya tolong lh di perbaiki dan hilangkan lah dark sistem nya sering lose strek saya di buat nya makasih,5,Positif
Kak admin yg baik hati dan tidak sombong...... masalahnya ini semenjak update sudah1 bulan lebih untuk penguna hp ram 2 gb itu baru masuk game cuma bisa sampe tulisan moonton sama mobile legend doang bolak balik terus gk bisa masuk menunya. Itu udh q tulis sangat jelas. Kalo admin moonton otakny pinter pasti tau apa yg saya keluhkan saat ini. Trimakasih q tunggu kabar baikny untuk hp ram 2 gb.,1,Negatif
"makin lama MLBB makin bikin emosi. jasingan ping tinggi banget selalu lag, padahal YouTube dan semua sosial media lancar, login Lage aja delay banget. boro boro bisa dimainin. tolong game ini di perbaiki kualitas jaringannya. saya sudah lama main MLBB sudah 5 tahun. tapi makin lama kualitas jaringan makin buruk",2,Negatif
"Setelah update jadi NGEFREEZ tidak bisa bergerak saat di dalam permainan, tolong di benerin lagi moonton, saya afk 3 kali gara² ngefreez dan di report teman saya sendiri",1,Negatif
Jujur aku kecewa kepada moonton karna sudah lama aku main MLBB baru kali ini aku sekecewa ini jadi aku harap MLBB akan lebih berkembang agar pemain MLBB tidak pindah ke game sebelah iya memang lebih gampang main HOK sih,2,Negatif
Game lagendaris awet sampe 10 tahun.walau banyak bug tapi developernya rajin memperbaiki.semoga gamenya dibuat lebih ringan soalnya demi main game ini saya sudah banyak mengorbankan hp kentang.semakin lama semakin berat 1 tahun bermain mulai force close dan macet gak bida gerak.tau2 hpnya ngerestart sendiri.,5,Positif
game ga ngotak yg baru download di satuin sma yg udah lama tolong lah perbaiki cape gw di satuin sma yg jauh level nya tp musuh nya pada GG ga ngotak emang game nya burik,1,Negatif
"gila ini game, di kasih tim tidak jelas, dapat mvp, mendali gold tetep kalah menag terus, rank pun tidak pernah naik. mantep banget setingan sistemnya, kek game slot,",1,Negatif
"Kalo buat gm yang bener bang ,jangan yang gak bisa main ml di gabungin sama yang udh bisa ,yang ada malah yang bisa jadi gk bisa gara gara ada yang gak bisa , update lebih bagus jangan kesini lebih setres gm nya",5,Positif
"tolong terkhusus buat moonton,masa iya dari waktu ke waktu saya push rank dpt tim nya bot semua gmna si tolol bego,kalo ngasih tim dan lawan tuh yg setara paham ga si?capek tau push tiap hari tapi ga dpt hasil yg bagus",1,Negatif
"Pusat bermain Meta Mobile Legends sendiri adalah strategi atau metode yang digunakan untuk memenangkan pertandingan. Meta ini dapat berubah-ubah seiring dengan rilisnya hero baru, perubahan pada skill hero, atau perubahan pada item-item yang tersedia. Hero META Mobile Legends biasanya menjadi pilihan favorit para pemain profesional.",5,Positif
Bagi saya aplikasi nya bagus tapiiii masak lawannya dikasih yg jago giliran temen satu tim di kasih yg bott mn ank kecil lagi yg main tolong lhh moonton kasih teman atau lawan yg setara lh klu kek gini pindah gem aja lh masak dikasih drak sistem muluuuuui 🙏smoga kritikan dari saya di trima dan diperbaiki lagi gamenyaaaaaa,2,Negatif
"Gua sumpahin demi Allah moonton bangkrut bikin rugi gua aja, kalo main pasti ngegendong tim beban, maksud lu apa sih ngasih tim beban, apa karena gua terlalu jago atau karena, moonton nya aja yang lagi gak mood, gue sampein yah kalo bikin game itu jangan buat orang kecewa, nanti banyak orang yang gak suka sama game lu, gua cuma ngingetin ya kalo bikin game jangan sampai bikin orang lain kecewa dan buat orang lain pindah kegame sebelah.",1,Negatif
"Aku main selalu aj ngelag padhl dulu ak waktu pertama kali main ya biasa aja ga kaya gini ,,klo masalah jaringan sih juga ngga soal nya untuk lihat yg lain itu ga ada lag lh waktu main ML kok malah lagg",4,Positif
"Dark sistem nya parah, nga naik"" dari awal season Parahhhhhhhhhhhhhhh Lebih parah nya sistem untuk solo rank nga bagus, pembagian tim nga merata Jdi nya yg baru main di kumpulin di satu tim lawan rank atas Yang bener ajaaaaaa Not so recommended",2,Negatif
Jangan main game ini!!! Karena di game ini banyak tim yg egois dan tim yg blunder saya saranin main game penghilang stress saja soalnya di game ini gak ngaruh klo lama gak main misalnya mau main lagi bukannya dikasih menang malah dikasih kalah terus makanya saya berhenti main game ini,1,Negatif
"Sinyal sih menurutku lebih di stabilin lagi,sinyal bagus di hp msa iya di game merah,padahal juga sebelum main sering cek sinyal dlu di pengaturan dan hasil yh hijau ,tpi giliran main sinyalnya ampas",4,Positif
Disarankan untuk orang yang mudah marah. Bertebaran banyak dark sistem. Hero gak gratis (kalo skin bayar mah emang normal). Gak di brawl atau pun rank tetap dikasih losetreak ya,1,Negatif
"Coba moonton hapus dark sistem dari game ini, anjng, gw mls lose treak mulu gara2 dark sistem, game pembohong, katanya 10 menit kelar mana, udh mh isinya bochil baru terbit, kasih ke mudahan lah ke orng yg main solo seperti gw, males anjng lose treak gara2 dark sistem alah tau lh💩💩💩💩",1,Negatif
moonton minimal durasi pilih hero di lamain si. mana tdi udah pick natalia malah jadi johnson. buat sistem moonton tolong perbaiki lagi dong. aku juga milih hero juga bingung. apalagi sempet mau belajar hero malah ke pick hero yg kita gamauin secara otomatis. atau ga gini aja. pas durasinya habis dikasih waktu lagi player buat milih hero selama 10 detik biar player ga mondar mandir pilih hero. terus juga bisa ga jangan otomatis kepencet hero yg kita gamau. saran aja ya semoga kedepannya lbi baik,1,Negatif
Game bagus Tapi saya main selalu dapet tim dark system semua setiap saya main pasti itu yang namanya player bego satu loby sama saya. Contoh ada 1 kejadian yang paling saya kesel 8hari berturut losstreek bukannya saya sok jago tapi memang kenyataannya tim saya suka ngetroll main gajelas bayangin dari legend IV sampai turun ke epik III gila nggak tuh. Masalh musuh jago saya tidak keberatan yah karna saya insha alloh bisa ngimbangin asal syarat jangan 1 lobi sama dark system.,2,Negatif
Maaf bintannya turun... Jaringan saya bagus tp klo main selalu lag krn ga tersambung ke server... Mohon diperbaiki.. Klo ga da perbaikan ya bintang turun lagi klo ga ya hapus mobi,2,Negatif
