content,score,Label
tolong dong... ko kalo log in pake jaringan wifi g bisa masuk ya... padahal buat aplikasi yg lain lancar banget... 😭,2,Negatif
"PUBG MOBILE sekarang sudah sepi, masuk match making nunggu sampai 20 menit nga bisa masuk loby. Udah sepi tapi masih pelit dan nga lama akan pailit",2,Negatif
Server selalu bermasalah ketika login,1,Negatif
"Games terlalu berat, sering mati hp pas nembak, maaf bintang satu karena kecewa",1,Negatif
"Gyroscope pas diarahin ke bawan pelan malah naik sndiri diarahin ke atas pelan juga sama malah turun sendiri,, padahal pengaturan gyroscope udh bener ga kebalik. Gyroscope sudah di kalibrasi dan game pubg juga sudah klik perbaiki di awal tapi sama saja",1,Negatif
"Ini game paling bagus menurut saya cuma sayangnya device saya cuma bisa mentok di hd high, ngeframe parah gaes😭",4,Positif
"Dulu masalah frame dah teratasi skrg masalah bnyk nya bot di rank, udh gak seru sumpah 1 map 100 bot gak ada orang",2,Negatif
"Dari tahun 2021 sampai sekarang akun masih bisa digunakan, walaupun hp sempat ke reset, tetap nyaman. tapi mengapa sekarang terlalu banyak boot?, dibandingkan dengan tahun2 sebelumnya. Saya ingin pihak developer kurangi boot, dan pertemukan player asli sebanyak lebih dari boot, dalam mode apapun dan seluruh map",5,Positif
"Pubg game haram. Masa gw login trus ndwonload data pertama 118mb, ke dua 1,6gb trus gw mau login ini akun google malh g bisa trus gw login ulang malah ndwonload lagii tuuu 118 mb ama 1,6 gb.!!!! Parahhh coooooooo nyesellll",1,Negatif
Bangsd bug jalan pelan bener asu update trus bug gk di prbaiki Bug di benerinah anj. Masa jaringan gua bgus jdi lag bnget 1 match anj,1,Negatif
"Developer, aku mau permintaan nanti setelah update tolong ditambahkan senjatanya, seperti SVD, MG42, dan M1 Garand. Terima kasih 🙏",5,Positif
Coba pubg bisa offline sama kayak game yang lain... bisa Online dan offline... Biar yang tidak ada paket data bisa bermain....,5,Positif
Dear PUBG Mobile. Teruntuk Keamanan PUBG yg terhormat. Minimal Kalo Kita Main rendom gak tau dia chiter atau bukan. Kasih sangsinya minimal jangan tahunan lah. Kita cuman cari heppy di PUBG Bukan cari pengen jago atu semacamnya. Lebih detail lagi pengaman PUBG Ya. Ciduk aja Satu Orang Yang Bikin Kesalahan nya Jangan Semua Tim di anggap Busuk🙏🏻🙏🏻 Terimakasih PUBG,5,Positif
"hahaha dapat musuh nya sulit sekali sedangkan tim yang di dapatkan seperti pemula ataupun yang ke atas(player menengah), sedangkan teman saya yang bermain game ini yang tier nya lumayan tinggi sama dengan saya di permudah untuk di tingkatkan poin tier nya karena mendapatkan musuh yang non player seperti tidak adil hahaha funny moment, kalau sudah dominator/concueror silahkan saja mendapatkan musuh yang pro player, padahal kualitas kemampuan bermain saya lumayan buruk tetapi musuh sulit sekali😳",1,Negatif
"game nya seru tapi game nya juga sangat berat, pengalaman saya main pubg selalu di bantu script smooth ultra. tolong ringan kan lagi game nya agar hp menengan ke bawah bisa main lebih enak dan lancar",2,Negatif
Kenapa ketika saya main menggunakan data seluler sinyalnya tidak stabil dan membuat lag,4,Positif
