content,score,Label,textToken,textLemma,textSWR,textStemm,textStemmSTR,umap_1,umap_2,Cluster_KMeans,Cluster_H_Average
game itu seru tapi banyak yang rusak tidak kayak dulu oh ya kembalikan peak yang lama saran aku itu aja tolong di perbaikan yang bug damage itu,1,Negatif,"['game', 'itu', 'seru', 'tapi', 'banyak', 'yang', 'rusak', 'tidak', 'kayak', 'dulu', 'oh', 'ya', 'kembalikan', 'peak', 'yang', 'lama', 'saran', 'aku', 'itu', 'aja', 'tolong', 'di', 'perbaikan', 'yang', 'bug', 'damage', 'itu']","['game', 'itu', 'seru', 'tapi', 'banyak', 'yang', 'rusak', 'tidak', 'kayak', 'dulu', 'oh', 'ya', 'kembali', 'peak', 'yang', 'lama', 'saran', 'aku', 'itu', 'aja', 'tolong', 'di', 'baik', 'yang', 'bug', 'damage', 'itu']","['game', 'seru', 'rusak', 'kayak', 'peak', 'saran', 'aja', 'bug', 'damage']","['seru', 'rusak', 'kayak', 'peak', 'saran', 'bug', 'damage']",seru rusak kayak peak saran bug damage,5.884654521942139,9.228397369384766,4,4
game game tidak jelas bug darah sudah kena atau lebih tapi musuh tetap saja tidak mati tolong dong developer game ini main sudah hasil damage yang besar tapi sama saja tidak mati tolong di perbaiki game ini terutama bug darah itu,1,Negatif,"['game', 'game', 'tidak', 'jelas', 'bug', 'darah', 'sudah', 'kena', 'atau', 'lebih', 'tapi', 'musuh', 'tetap', 'saja', 'tidak', 'mati', 'tolong', 'dong', 'developer', 'game', 'ini', 'main', 'sudah', 'hasil', 'damage', 'yang', 'besar', 'tapi', 'sama', 'saja', 'tidak', 'mati', 'tolong', 'di', 'perbaiki', 'game', 'ini', 'terutama', 'bug', 'darah', 'itu']","['game', 'game', 'tidak', 'jelas', 'bug', 'darah', 'sudah', 'kena', 'atau', 'lebih', 'tapi', 'musuh', 'tetap', 'saja', 'tidak', 'mati', 'tolong', 'dong', 'developer', 'game', 'ini', 'main', 'sudah', 'hasil', 'damage', 'yang', 'besar', 'tapi', 'sama', 'saja', 'tidak', 'mati', 'tolong', 'di', 'perbaiki', 'game', 'ini', 'utama', 'bug', 'darah', 'itu']","['game', 'game', 'bug', 'darah', 'kena', 'musuh', 'mati', 'developer', 'game', 'main', 'hasil', 'damage', 'mati', 'perbaiki', 'game', 'utama', 'bug', 'darah']","['bug', 'darah', 'kena', 'musuh', 'mati', 'developer', 'hasil', 'damage', 'mati', 'utama', 'bug', 'darah']",bug darah kena musuh mati developer hasil damage mati utama bug darah,4.699750900268555,9.418498992919922,4,0
game bagus tapi banyak masalah itu terutama sering bug damage jaringan yang tadi baik saja buruk pas main buka tiktok youtube fb lancar aja,2,Negatif,"['game', 'bagus', 'tapi', 'banyak', 'masalah', 'itu', 'terutama', 'sering', 'bug', 'damage', 'jaringan', 'yang', 'tadi', 'baik', 'saja', 'buruk', 'pas', 'main', 'buka', 'tiktok', 'youtube', 'fb', 'lancar', 'aja']","['game', 'bagus', 'tapi', 'banyak', 'masalah', 'itu', 'utama', 'sering', 'bug', 'damage', 'jaring', 'yang', 'tadi', 'baik', 'saja', 'buruk', 'pas', 'main', 'buka', 'tiktok', 'youtube', 'fb', 'lancar', 'aja']","['game', 'bagus', 'utama', 'bug', 'damage', 'jaring', 'buruk', 'pas', 'main', 'buka', 'tiktok', 'youtube', 'fb', 'lancar', 'aja']","['utama', 'bug', 'damage', 'jaring', 'buruk', 'pas', 'buka', 'tiktok', 'youtube', 'fb']",utama bug damage jaring buruk pas buka tiktok youtube fb,6.398138523101807,8.718376159667969,2,0
garena curang signal itu di cut agar musuh leluasa menang intinya garena ambil alih kemenangan ini enggak satu atau dua kali sering,1,Negatif,"['garena', 'curang', 'signal', 'itu', 'di', 'cut', 'agar', 'musuh', 'leluasa', 'menang', 'intinya', 'garena', 'ambil', 'alih', 'kemenangan', 'ini', 'enggak', 'satu', 'atau', 'dua', 'kali', 'sering']","['garena', 'curang', 'signal', 'itu', 'di', 'cut', 'agar', 'musuh', 'leluasa', 'menang', 'inti', 'garena', 'ambil', 'alih', 'menang', 'ini', 'enggak', 'satu', 'atau', 'dua', 'kali', 'sering']","['garena', 'curang', 'signal', 'cut', 'musuh', 'leluasa', 'menang', 'inti', 'garena', 'ambil', 'alih', 'menang', 'kali']","['curang', 'signal', 'cut', 'musuh', 'leluasa', 'menang', 'inti', 'ambil', 'alih', 'menang', 'kali']",curang signal cut musuh leluasa menang inti ambil alih menang kali,6.151307106018066,10.762714385986328,1,1
apa garena kami main br rank kok mode itu cuma di bermuda terus padahal map sudah download semua lucu buat apa download map kalau tidak ada yang bisa pakai otak cok garena,1,Negatif,"['apa', 'garena', 'kami', 'main', 'br', 'rank', 'kok', 'mode', 'itu', 'cuma', 'di', 'bermuda', 'terus', 'padahal', 'map', 'sudah', 'download', 'semua', 'lucu', 'buat', 'apa', 'download', 'map', 'kalau', 'tidak', 'ada', 'yang', 'bisa', 'pakai', 'otak', 'cok', 'garena']","['apa', 'garena', 'kami', 'main', 'br', 'rank', 'kok', 'mode', 'itu', 'cuma', 'di', 'muda', 'terus', 'padahal', 'map', 'sudah', 'download', 'semua', 'lucu', 'buat', 'apa', 'download', 'map', 'kalau', 'tidak', 'ada', 'yang', 'bisa', 'pakai', 'otak', 'cok', 'garena']","['garena', 'main', 'br', 'rank', 'mode', 'muda', 'map', 'download', 'lucu', 'download', 'map', 'pakai', 'otak', 'cok', 'garena']","['br', 'rank', 'mode', 'muda', 'map', 'download', 'lucu', 'download', 'map', 'pakai', 'otak', 'cok']",br rank mode muda map download lucu download map pakai otak cok,4.845486640930176,12.159285545349121,2,0
game paling tidak jelas cheat bug damage banget ini game sistemnya kebanyakan urus event sampai hal yang bisa rugi player lain tidak di gubris,1,Negatif,"['game', 'paling', 'tidak', 'jelas', 'cheat', 'bug', 'damage', 'banget', 'ini', 'game', 'sistemnya', 'kebanyakan', 'urus', 'event', 'sampai', 'hal', 'yang', 'bisa', 'rugi', 'player', 'lain', 'tidak', 'di', 'gubris']","['game', 'paling', 'tidak', 'jelas', 'cheat', 'bug', 'damage', 'banget', 'ini', 'game', 'sistem', 'banyak', 'urus', 'event', 'sampai', 'hal', 'yang', 'bisa', 'rugi', 'player', 'lain', 'tidak', 'di', 'gubris']","['game', 'cheat', 'bug', 'damage', 'banget', 'game', 'sistem', 'urus', 'event', 'rugi', 'player', 'gubris']","['cheat', 'bug', 'damage', 'banget', 'sistem', 'urus', 'event', 'rugi', 'player', 'gubris']",cheat bug damage banget sistem urus event rugi player gubris,7.2983622550964355,9.64986801147461,4,0
game apa ini lawannya kayak pro player jago semua saya baru main ff masa lawannya jago lone wolf ada rank garena kenapa perbaiki dong tidak seru karena tidak ada map keren muncul bandle baru garena dan sg gratis dan emot dan baju,2,Negatif,"['game', 'apa', 'ini', 'lawannya', 'kayak', 'pro', 'player', 'jago', 'semua', 'saya', 'baru', 'main', 'ff', 'masa', 'lawannya', 'jago', 'lone', 'wolf', 'ada', 'rank', 'garena', 'kenapa', 'perbaiki', 'dong', 'tidak', 'seru', 'karena', 'tidak', 'ada', 'map', 'keren', 'muncul', 'bandle', 'baru', 'garena', 'dan', 'sg', 'gratis', 'dan', 'emot', 'dan', 'baju']","['game', 'apa', 'ini', 'lawan', 'kayak', 'pro', 'player', 'jago', 'semua', 'saya', 'baru', 'main', 'ff', 'masa', 'lawan', 'jago', 'lone', 'wolf', 'ada', 'rank', 'garena', 'kenapa', 'perbaiki', 'dong', 'tidak', 'seru', 'karena', 'tidak', 'ada', 'map', 'keren', 'muncul', 'bandle', 'baru', 'garena', 'dan', 'sg', 'gratis', 'dan', 'emot', 'dan', 'baju']","['game', 'lawan', 'kayak', 'pro', 'player', 'jago', 'main', 'ff', 'lawan', 'jago', 'lone', 'wolf', 'rank', 'garena', 'perbaiki', 'seru', 'map', 'keren', 'muncul', 'bandle', 'garena', 'sg', 'gratis', 'emot', 'baju']","['lawan', 'kayak', 'pro', 'player', 'jago', 'ff', 'lawan', 'jago', 'lone', 'wolf', 'rank', 'seru', 'map', 'keren', 'muncul', 'bandle', 'sg', 'gratis', 'emot', 'baju']",lawan kayak pro player jago ff lawan jago lone wolf rank seru map keren muncul bandle sg gratis emot baju,7.478388786315918,11.71146297454834,1,1
game itu bagus tapi kenapa pas login selalu di kasih karakter gosong dari senjata karakter lain itu semua gosong padahal sudah di download semua anjing kayak gitu dong min,2,Negatif,"['game', 'itu', 'bagus', 'tapi', 'kenapa', 'pas', 'login', 'selalu', 'di', 'kasih', 'karakter', 'gosong', 'dari', 'senjata', 'karakter', 'lain', 'itu', 'semua', 'gosong', 'padahal', 'sudah', 'di', 'download', 'semua', 'anjing', 'kayak', 'gitu', 'dong', 'min']","['game', 'itu', 'bagus', 'tapi', 'kenapa', 'pas', 'login', 'selalu', 'di', 'kasih', 'karakter', 'gosong', 'dari', 'senjata', 'karakter', 'lain', 'itu', 'semua', 'gosong', 'padahal', 'sudah', 'di', 'download', 'semua', 'anjing', 'kayak', 'gitu', 'dong', 'min']","['game', 'bagus', 'pas', 'login', 'kasih', 'karakter', 'gosong', 'senjata', 'karakter', 'gosong', 'download', 'anjing', 'kayak', 'gitu', 'min']","['pas', 'login', 'karakter', 'gosong', 'senjata', 'karakter', 'gosong', 'download', 'anjing', 'kayak', 'gitu', 'min']",pas login karakter gosong senjata karakter gosong download anjing kayak gitu min,8.599960327148438,11.405163764953613,2,0
garena tolong la kasih tim yang benar di cs rank yang serius main itu jangan yang bot terus lose trik tambah di kasih tim yang bot main itu suka troll jadi tolong lah di perbaiki sistem tim di cs rank,1,Negatif,"['garena', 'tolong', 'la', 'kasih', 'tim', 'yang', 'benar', 'di', 'cs', 'rank', 'yang', 'serius', 'main', 'itu', 'jangan', 'yang', 'bot', 'terus', 'lose', 'trik', 'tambah', 'di', 'kasih', 'tim', 'yang', 'bot', 'main', 'itu', 'suka', 'troll', 'jadi', 'tolong', 'lah', 'di', 'perbaiki', 'sistem', 'tim', 'di', 'cs', 'rank']","['garena', 'tolong', 'la', 'kasih', 'tim', 'yang', 'benar', 'di', 'cs', 'rank', 'yang', 'serius', 'main', 'itu', 'jangan', 'yang', 'bot', 'terus', 'lose', 'trik', 'tambah', 'di', 'kasih', 'tim', 'yang', 'bot', 'main', 'itu', 'suka', 'troll', 'jadi', 'tolong', 'lah', 'di', 'perbaiki', 'sistem', 'tim', 'di', 'cs', 'rank']","['garena', 'la', 'kasih', 'tim', 'cs', 'rank', 'serius', 'main', 'bot', 'lose', 'trik', 'kasih', 'tim', 'bot', 'main', 'suka', 'troll', 'perbaiki', 'sistem', 'tim', 'cs', 'rank']","['la', 'tim', 'cs', 'rank', 'serius', 'bot', 'lose', 'trik', 'tim', 'bot', 'suka', 'troll', 'sistem', 'tim', 'cs', 'rank']",la tim cs rank serius bot lose trik tim bot suka troll sistem tim cs rank,5.675662040710449,10.908340454101562,1,1
wajar player banyak pensi semakin lama semakin jelek map itu aja selalu bermuda padahal sudah download semua itu map game yang membosankan,1,Negatif,"['wajar', 'player', 'banyak', 'pensi', 'semakin', 'lama', 'semakin', 'jelek', 'map', 'itu', 'aja', 'selalu', 'bermuda', 'padahal', 'sudah', 'download', 'semua', 'itu', 'map', 'game', 'yang', 'membosankan']","['wajar', 'player', 'banyak', 'pensi', 'semakin', 'lama', 'semakin', 'jelek', 'map', 'itu', 'aja', 'selalu', 'muda', 'padahal', 'sudah', 'download', 'semua', 'itu', 'map', 'game', 'yang', 'bosan']","['wajar', 'player', 'pensi', 'jelek', 'map', 'aja', 'muda', 'download', 'map', 'game', 'bosan']","['wajar', 'player', 'pensi', 'jelek', 'map', 'muda', 'download', 'map', 'bosan']",wajar player pensi jelek map muda download map bosan,4.90244197845459,12.133319854736328,3,0
