content,score,Label,textToken,textLemma,textSWR,textStemm,textStemmSTR,umap_1,umap_2,Cluster_KMeans,Cluster_H_Ward
memang sampah sistem game kamu tencent tk kotoran iya mungkin ada feeding tapi itu nggak di sengaja karena masalah jaringan ilang tepat waktu mau push ke tower musuh sistem kamu sampah tk,1,Negatif,"['memang', 'sampah', 'sistem', 'game', 'kamu', 'tencent', 'tk', 'kotoran', 'iya', 'mungkin', 'ada', 'feeding', 'tapi', 'itu', 'nggak', 'di', 'sengaja', 'karena', 'masalah', 'jaringan', 'ilang', 'tepat', 'waktu', 'mau', 'push', 'ke', 'tower', 'musuh', 'sistem', 'kamu', 'sampah', 'tk']","['memang', 'sampah', 'sistem', 'game', 'kamu', 'tencent', 'tk', 'kotor', 'iya', 'mungkin', 'ada', 'feeding', 'tapi', 'itu', 'nggak', 'di', 'sengaja', 'karena', 'masalah', 'jaring', 'ilang', 'tepat', 'waktu', 'mau', 'push', 'ke', 'tower', 'musuh', 'sistem', 'kamu', 'sampah', 'tk']","['sampah', 'sistem', 'game', 'tencent', 'tk', 'kotor', 'iya', 'feeding', 'sengaja', 'jaring', 'ilang', 'push', 'tower', 'musuh', 'sistem', 'sampah', 'tk']","['sampah', 'tencent', 'tk', 'kotor', 'iya', 'feeding', 'sengaja', 'jaring', 'ilang', 'push', 'tower', 'musuh', 'sampah', 'tk']",sampah tencent tk kotor iya feeding sengaja jaring ilang push tower musuh sampah tk,8.789422035217285,11.227034568786621,4,0
saya sudah memainkan honor of kings lebih dari bulan dan saya selalu dapat tim lawan yang lebih hebat dari tim saya saya sudah capek memainkan game lucu ini saya akan segera menghapus game tidak ngotak ini im comeback to mobile legends,1,Negatif,"['saya', 'sudah', 'memainkan', 'honor', 'of', 'kings', 'lebih', 'dari', 'bulan', 'dan', 'saya', 'selalu', 'dapat', 'tim', 'lawan', 'yang', 'lebih', 'hebat', 'dari', 'tim', 'saya', 'saya', 'sudah', 'capek', 'memainkan', 'game', 'lucu', 'ini', 'saya', 'akan', 'segera', 'menghapus', 'game', 'tidak', 'ngotak', 'ini', 'im', 'comeback', 'to', 'mobile', 'legends']","['saya', 'sudah', 'main', 'honor', 'of', 'kings', 'lebih', 'dari', 'bulan', 'dan', 'saya', 'selalu', 'dapat', 'tim', 'lawan', 'yang', 'lebih', 'hebat', 'dari', 'tim', 'saya', 'saya', 'sudah', 'capek', 'main', 'game', 'lucu', 'ini', 'saya', 'akan', 'segera', 'hapus', 'game', 'tidak', 'ngotak', 'ini', 'im', 'comeback', 'to', 'mobile', 'legends']","['main', 'honor', 'of', 'kings', 'tim', 'lawan', 'hebat', 'tim', 'capek', 'main', 'game', 'lucu', 'hapus', 'game', 'ngotak', 'im', 'comeback', 'to', 'mobile', 'legends']","['honor', 'kings', 'lawan', 'hebat', 'capek', 'lucu', 'hapus', 'ngotak', 'im', 'comeback', 'mobile', 'legends']",honor kings lawan hebat capek lucu hapus ngotak im comeback mobile legends,8.118306159973145,10.621984481811523,0,0
matching tidak imbang tiap main ranked selalu satu tim sama pemain yang akun nya bawah level aneh banget ini game kalau di klasik malah imbang ketemu tim nya buat pihak honor tolong di baik supaya pengguna puas jangan penting kualitas doang collab dan hal semacamnya itu saja saran dari saya semoga kau respon,1,Negatif,"['matching', 'tidak', 'imbang', 'tiap', 'main', 'ranked', 'selalu', 'satu', 'tim', 'sama', 'pemain', 'yang', 'akun', 'nya', 'bawah', 'level', 'aneh', 'banget', 'ini', 'game', 'kalau', 'di', 'klasik', 'malah', 'imbang', 'ketemu', 'tim', 'nya', 'buat', 'pihak', 'honor', 'tolong', 'di', 'baik', 'supaya', 'pengguna', 'puas', 'jangan', 'penting', 'kualitas', 'doang', 'collab', 'dan', 'hal', 'semacamnya', 'itu', 'saja', 'saran', 'dari', 'saya', 'semoga', 'kau', 'respon']","['matching', 'tidak', 'imbang', 'tiap', 'main', 'ranked', 'selalu', 'satu', 'tim', 'sama', 'main', 'yang', 'akun', 'nya', 'bawah', 'level', 'aneh', 'banget', 'ini', 'game', 'kalau', 'di', 'klasik', 'malah', 'imbang', 'ketemu', 'tim', 'nya', 'buat', 'pihak', 'honor', 'tolong', 'di', 'baik', 'supaya', 'guna', 'puas', 'jangan', 'penting', 'kualitas', 'doang', 'collab', 'dan', 'hal', 'macam', 'itu', 'saja', 'saran', 'dari', 'saya', 'semoga', 'kau', 'respon']","['matching', 'imbang', 'main', 'ranked', 'tim', 'main', 'akun', 'nya', 'level', 'aneh', 'banget', 'game', 'klasik', 'imbang', 'ketemu', 'tim', 'nya', 'honor', 'puas', 'kualitas', 'doang', 'collab', 'saran', 'semoga', 'kau', 'respon']","['matching', 'imbang', 'ranked', 'akun', 'level', 'aneh', 'klasik', 'imbang', 'ketemu', 'honor', 'puas', 'kualitas', 'doang', 'collab', 'saran', 'moga', 'kau', 'respon']",matching imbang ranked akun level aneh klasik imbang ketemu honor puas kualitas doang collab saran moga kau respon,8.659476280212402,10.360599517822266,4,0
tolong lah di baik buat hero sesuai karakter lane hapus untuk seperti mid lane bisa pakai hero frame buat sesuai agar frame tidak bisa pilih hero mid lane biar tidak banyak pelanggaran bos admin,1,Negatif,"['tolong', 'lah', 'di', 'baik', 'buat', 'hero', 'sesuai', 'karakter', 'lane', 'hapus', 'untuk', 'seperti', 'mid', 'lane', 'bisa', 'pakai', 'hero', 'frame', 'buat', 'sesuai', 'agar', 'frame', 'tidak', 'bisa', 'pilih', 'hero', 'mid', 'lane', 'biar', 'tidak', 'banyak', 'pelanggaran', 'bos', 'admin']","['tolong', 'lah', 'di', 'baik', 'buat', 'hero', 'sesuai', 'karakter', 'lane', 'hapus', 'untuk', 'seperti', 'mid', 'lane', 'bisa', 'pakai', 'hero', 'frame', 'buat', 'sesuai', 'agar', 'frame', 'tidak', 'bisa', 'pilih', 'hero', 'mid', 'lane', 'biar', 'tidak', 'banyak', 'langgar', 'bos', 'admin']","['hero', 'sesuai', 'karakter', 'lane', 'hapus', 'mid', 'lane', 'pakai', 'hero', 'frame', 'sesuai', 'frame', 'pilih', 'hero', 'mid', 'lane', 'biar', 'langgar', 'bos', 'admin']","['sesuai', 'karakter', 'lane', 'hapus', 'mid', 'lane', 'pakai', 'frame', 'sesuai', 'frame', 'pilih', 'mid', 'lane', 'biar', 'langgar', 'bos', 'admin']",sesuai karakter lane hapus mid lane pakai frame sesuai frame pilih mid lane biar langgar bos admin,9.98740005493164,8.413847923278809,5,0
game semua sudah bagus cuma yang harus di atur lagi pembagian timnya masa iya tier mythic masih pada buta map,1,Negatif,"['game', 'semua', 'sudah', 'bagus', 'cuma', 'yang', 'harus', 'di', 'atur', 'lagi', 'pembagian', 'timnya', 'masa', 'iya', 'tier', 'mythic', 'masih', 'pada', 'buta', 'map']","['game', 'semua', 'sudah', 'bagus', 'cuma', 'yang', 'harus', 'di', 'atur', 'lagi', 'bagi', 'tim', 'masa', 'iya', 'tier', 'mythic', 'masih', 'pada', 'buta', 'map']","['game', 'bagus', 'atur', 'tim', 'iya', 'tier', 'mythic', 'buta', 'map']","['atur', 'iya', 'tier', 'mythic', 'buta', 'map']",atur iya tier mythic buta map,8.148213386535645,9.851101875305176,5,0
rusak game nya banyak bot mau naik rank aja setengah mati ketemu bot terus sudah gitu ada aja ketemu pemain bodoh saran bagi yang belum download tidak usah kamu download game nya rusak tidak jelas menang kali bisa kali stuck terus aja itu wkwk,1,Negatif,"['rusak', 'game', 'nya', 'banyak', 'bot', 'mau', 'naik', 'rank', 'aja', 'setengah', 'mati', 'ketemu', 'bot', 'terus', 'sudah', 'gitu', 'ada', 'aja', 'ketemu', 'pemain', 'bodoh', 'saran', 'bagi', 'yang', 'belum', 'download', 'tidak', 'usah', 'kamu', 'download', 'game', 'nya', 'rusak', 'tidak', 'jelas', 'menang', 'kali', 'bisa', 'kali', 'stuck', 'terus', 'aja', 'itu', 'wkwk']","['rusak', 'game', 'nya', 'banyak', 'bot', 'mau', 'naik', 'rank', 'aja', 'setengah', 'mati', 'ketemu', 'bot', 'terus', 'sudah', 'gitu', 'ada', 'aja', 'ketemu', 'main', 'bodoh', 'saran', 'bagi', 'yang', 'belum', 'download', 'tidak', 'usah', 'kamu', 'download', 'game', 'nya', 'rusak', 'tidak', 'jelas', 'menang', 'kali', 'bisa', 'kali', 'stuck', 'terus', 'aja', 'itu', 'wkwk']","['rusak', 'game', 'nya', 'bot', 'rank', 'aja', 'mati', 'ketemu', 'bot', 'gitu', 'aja', 'ketemu', 'main', 'bodoh', 'saran', 'download', 'download', 'game', 'nya', 'rusak', 'menang', 'kali', 'kali', 'stuck', 'aja', 'wkwk']","['rusak', 'bot', 'mati', 'ketemu', 'bot', 'gitu', 'ketemu', 'bodoh', 'saran', 'download', 'download', 'rusak', 'menang', 'kali', 'kali', 'stuck', 'wkwk']",rusak bot mati ketemu bot gitu ketemu bodoh saran download download rusak menang kali kali stuck wkwk,7.384947299957275,11.77279281616211,4,0
game haram yang pernah saya download kira bakal bagus dari pada mobile legend bang bang malah lebih buruk tidak bisa beli hero match lama banget tim tolol semua mau main lane yang lain tidak boleh bug juga banyak najis ini game saran sih di uninstall aja ini game game babi,1,Negatif,"['game', 'haram', 'yang', 'pernah', 'saya', 'download', 'kira', 'bakal', 'bagus', 'dari', 'pada', 'mobile', 'legend', 'bang', 'bang', 'malah', 'lebih', 'buruk', 'tidak', 'bisa', 'beli', 'hero', 'match', 'lama', 'banget', 'tim', 'tolol', 'semua', 'mau', 'main', 'lane', 'yang', 'lain', 'tidak', 'boleh', 'bug', 'juga', 'banyak', 'najis', 'ini', 'game', 'saran', 'sih', 'di', 'uninstall', 'aja', 'ini', 'game', 'game', 'babi']","['game', 'haram', 'yang', 'pernah', 'saya', 'download', 'kira', 'bakal', 'bagus', 'dari', 'pada', 'mobile', 'legend', 'bang', 'bang', 'malah', 'lebih', 'buruk', 'tidak', 'bisa', 'beli', 'hero', 'match', 'lama', 'banget', 'tim', 'tolol', 'semua', 'mau', 'main', 'lane', 'yang', 'lain', 'tidak', 'boleh', 'bug', 'juga', 'banyak', 'najis', 'ini', 'game', 'saran', 'sih', 'di', 'uninstall', 'aja', 'ini', 'game', 'game', 'babi']","['game', 'haram', 'download', 'bagus', 'mobile', 'legend', 'bang', 'bang', 'buruk', 'beli', 'hero', 'match', 'banget', 'tim', 'tolol', 'main', 'lane', 'bug', 'najis', 'game', 'saran', 'sih', 'uninstall', 'aja', 'game', 'game', 'babi']","['haram', 'download', 'mobile', 'legend', 'bang', 'bang', 'buruk', 'beli', 'tolol', 'lane', 'bug', 'najis', 'saran', 'sih', 'uninstall', 'babi']",haram download mobile legend bang bang buruk beli tolol lane bug najis saran sih uninstall babi,6.75637674331665,9.749427795410156,5,0
jujur aja suka sama game tapi akhir akhir ini sering lag frame pas di di game akhirnya milih moba lain yang stabil di di game kayak ml,1,Negatif,"['jujur', 'aja', 'suka', 'sama', 'game', 'tapi', 'akhir', 'akhir', 'ini', 'sering', 'lag', 'frame', 'pas', 'di', 'di', 'game', 'akhirnya', 'milih', 'moba', 'lain', 'yang', 'stabil', 'di', 'di', 'game', 'kayak', 'ml']","['jujur', 'aja', 'suka', 'sama', 'game', 'tapi', 'akhir', 'akhir', 'ini', 'sering', 'lag', 'frame', 'pas', 'di', 'di', 'game', 'akhirnya', 'milih', 'moba', 'lain', 'yang', 'stabil', 'di', 'di', 'game', 'kayak', 'ml']","['jujur', 'aja', 'suka', 'game', 'lag', 'frame', 'pas', 'game', 'milih', 'moba', 'stabil', 'game', 'kayak', 'ml']","['jujur', 'lag', 'frame', 'milih', 'moba', 'stabil', 'kayak', 'ml']",jujur lag frame milih moba stabil kayak ml,6.64323616027832,8.872328758239746,1,0
hai pembuat game tolong lah kurang dark sistemnya sudah capek kalah mulu jadi susah naik rank kalau saya main hok pas pertama liris di indonesia masih sedikit yang dark sistemnya sampai saya yang masih bocil bisa naik rank master sekarang sudah banyak dark sistem satu bintang lagi naik rank kalah turun biasanya kalau naik rank itu kasih proteksi bintang lah bukannya kalau satu lagi naik rank kalau kalah tidak turun tapi ini malah turun aneh ini game,1,Negatif,"['hai', 'pembuat', 'game', 'tolong', 'lah', 'kurang', 'dark', 'sistemnya', 'sudah', 'capek', 'kalah', 'mulu', 'jadi', 'susah', 'naik', 'rank', 'kalau', 'saya', 'main', 'hok', 'pas', 'pertama', 'liris', 'di', 'indonesia', 'masih', 'sedikit', 'yang', 'dark', 'sistemnya', 'sampai', 'saya', 'yang', 'masih', 'bocil', 'bisa', 'naik', 'rank', 'master', 'sekarang', 'sudah', 'banyak', 'dark', 'sistem', 'satu', 'bintang', 'lagi', 'naik', 'rank', 'kalah', 'turun', 'biasanya', 'kalau', 'naik', 'rank', 'itu', 'kasih', 'proteksi', 'bintang', 'lah', 'bukannya', 'kalau', 'satu', 'lagi', 'naik', 'rank', 'kalau', 'kalah', 'tidak', 'turun', 'tapi', 'ini', 'malah', 'turun', 'aneh', 'ini', 'game']","['hai', 'buat', 'game', 'tolong', 'lah', 'kurang', 'dark', 'sistem', 'sudah', 'capek', 'kalah', 'mulu', 'jadi', 'susah', 'naik', 'rank', 'kalau', 'saya', 'main', 'hok', 'pas', 'pertama', 'liris', 'di', 'indonesia', 'masih', 'sedikit', 'yang', 'dark', 'sistem', 'sampai', 'saya', 'yang', 'masih', 'bocil', 'bisa', 'naik', 'rank', 'master', 'sekarang', 'sudah', 'banyak', 'dark', 'sistem', 'satu', 'bintang', 'lagi', 'naik', 'rank', 'kalah', 'turun', 'biasanya', 'kalau', 'naik', 'rank', 'itu', 'kasih', 'proteksi', 'bintang', 'lah', 'bukannya', 'kalau', 'satu', 'lagi', 'naik', 'rank', 'kalau', 'kalah', 'tidak', 'turun', 'tapi', 'ini', 'malah', 'turun', 'aneh', 'ini', 'game']","['hai', 'game', 'dark', 'sistem', 'capek', 'kalah', 'mulu', 'susah', 'rank', 'main', 'hok', 'pas', 'liris', 'indonesia', 'dark', 'sistem', 'bocil', 'rank', 'master', 'dark', 'sistem', 'bintang', 'rank', 'kalah', 'turun', 'rank', 'kasih', 'proteksi', 'bintang', 'rank', 'kalah', 'turun', 'turun', 'aneh', 'game']","['hai', 'dark', 'capek', 'kalah', 'mulu', 'susah', 'hok', 'liris', 'indonesia', 'dark', 'bocil', 'master', 'dark', 'bintang', 'kalah', 'turun', 'proteksi', 'bintang', 'kalah', 'turun', 'turun', 'aneh']",hai dark capek kalah mulu susah hok liris indonesia dark bocil master dark bintang kalah turun proteksi bintang kalah turun turun aneh,8.347201347351074,9.969903945922852,4,0
kecewa ketika teman afk atau tidak bermain serius ditemukan setiap match berturut hukuman nya tidak sebanding dengan kekalahan hilang nya bintang kadang kita akan mendapatkan musuh yang balik nya sehingga kita menang berturut apakah ini adil atau main random ketika kekurangan pemain akan lengkap dengan pemain npc saran kan main game ini random,1,Negatif,"['kecewa', 'ketika', 'teman', 'afk', 'atau', 'tidak', 'bermain', 'serius', 'ditemukan', 'setiap', 'match', 'berturut', 'hukuman', 'nya', 'tidak', 'sebanding', 'dengan', 'kekalahan', 'hilang', 'nya', 'bintang', 'kadang', 'kita', 'akan', 'mendapatkan', 'musuh', 'yang', 'balik', 'nya', 'sehingga', 'kita', 'menang', 'berturut', 'apakah', 'ini', 'adil', 'atau', 'main', 'random', 'ketika', 'kekurangan', 'pemain', 'akan', 'lengkap', 'dengan', 'pemain', 'npc', 'saran', 'kan', 'main', 'game', 'ini', 'random']","['kecewa', 'ketika', 'teman', 'afk', 'atau', 'tidak', 'main', 'serius', 'temu', 'setiap', 'match', 'turut', 'hukum', 'nya', 'tidak', 'banding', 'dengan', 'kalah', 'hilang', 'nya', 'bintang', 'kadang', 'kita', 'akan', 'dapat', 'musuh', 'yang', 'balik', 'nya', 'sehingga', 'kita', 'menang', 'turut', 'apakah', 'ini', 'adil', 'atau', 'main', 'random', 'ketika', 'kurang', 'main', 'akan', 'lengkap', 'dengan', 'main', 'npc', 'saran', 'kan', 'main', 'game', 'ini', 'random']","['kecewa', 'teman', 'afk', 'main', 'serius', 'temu', 'match', 'hukum', 'nya', 'banding', 'kalah', 'hilang', 'nya', 'bintang', 'kadang', 'musuh', 'nya', 'menang', 'adil', 'main', 'random', 'main', 'lengkap', 'main', 'npc', 'saran', 'main', 'game', 'random']","['kecewa', 'teman', 'afk', 'serius', 'temu', 'hukum', 'banding', 'kalah', 'hilang', 'bintang', 'kadang', 'musuh', 'menang', 'adil', 'random', 'lengkap', 'npc', 'saran', 'random']",kecewa teman afk serius temu hukum banding kalah hilang bintang kadang musuh menang adil random lengkap npc saran random,7.515890121459961,9.073798179626465,4,0
