content,score,Label,textToken,textLemma,textSWR,textStemm,textStemmSTR,umap_1,umap_2,Cluster_KMeans,Cluster_H_Ward
kak admin yang baik hati dan tidak sombong masalahnya ini sejak update sudah bulan lebih untuk pengguna hp ram gb itu baru masuk game cuma bisa sampai tulisan moonton sama mobile legend doang bolak balik terus tidak bisa masuk menu itu sudah tulis sangat jelas kalo admin moonton otak pinter pasti tau apa yang saya keluh saat ini makasih tunggu kabar baik untuk hp ram gb,1,Negatif,"['kak', 'admin', 'yang', 'baik', 'hati', 'dan', 'tidak', 'sombong', 'masalahnya', 'ini', 'sejak', 'update', 'sudah', 'bulan', 'lebih', 'untuk', 'pengguna', 'hp', 'ram', 'gb', 'itu', 'baru', 'masuk', 'game', 'cuma', 'bisa', 'sampai', 'tulisan', 'moonton', 'sama', 'mobile', 'legend', 'doang', 'bolak', 'balik', 'terus', 'tidak', 'bisa', 'masuk', 'menu', 'itu', 'sudah', 'tulis', 'sangat', 'jelas', 'kalo', 'admin', 'moonton', 'otak', 'pinter', 'pasti', 'tau', 'apa', 'yang', 'saya', 'keluh', 'saat', 'ini', 'makasih', 'tunggu', 'kabar', 'baik', 'untuk', 'hp', 'ram', 'gb']","['kak', 'admin', 'yang', 'baik', 'hati', 'dan', 'tidak', 'sombong', 'masalah', 'ini', 'sejak', 'update', 'sudah', 'bulan', 'lebih', 'untuk', 'guna', 'hp', 'ram', 'gb', 'itu', 'baru', 'masuk', 'game', 'cuma', 'bisa', 'sampai', 'tulis', 'moonton', 'sama', 'mobile', 'legend', 'doang', 'bolak', 'balik', 'terus', 'tidak', 'bisa', 'masuk', 'menu', 'itu', 'sudah', 'tulis', 'sangat', 'jelas', 'kalo', 'admin', 'moonton', 'otak', 'pinter', 'pasti', 'tau', 'apa', 'yang', 'saya', 'keluh', 'saat', 'ini', 'makasih', 'tunggu', 'kabar', 'baik', 'untuk', 'hp', 'ram', 'gb']","['kak', 'admin', 'hati', 'sombong', 'update', 'hp', 'ram', 'gb', 'masuk', 'game', 'tulis', 'moonton', 'mobile', 'legend', 'doang', 'bolak', 'masuk', 'menu', 'tulis', 'kalo', 'admin', 'moonton', 'otak', 'pinter', 'tau', 'keluh', 'makasih', 'tunggu', 'kabar', 'hp', 'ram', 'gb']","['kak', 'admin', 'hati', 'sombong', 'update', 'hp', 'ram', 'gb', 'masuk', 'tulis', 'mobile', 'legend', 'doang', 'bolak', 'masuk', 'menu', 'tulis', 'kalo', 'admin', 'otak', 'pinter', 'tau', 'keluh', 'makasih', 'tunggu', 'kabar', 'hp', 'ram', 'gb']",kak admin hati sombong update hp ram gb masuk tulis mobile legend doang bolak masuk menu tulis kalo admin otak pinter tau keluh makasih tunggu kabar hp ram gb,4.678025245666504,5.529398441314697,1,0
makin lama mlbb makin bikin emosi jaringan ping tinggi banget selalu lag padahal youtube dan semua sosial media lancar login lag aja delay banget boro boro bisa main tolong game ini di baik kualitas jaringannya saya sudah lama main mlbb sudah tahun tapi makin lama kualitas jaringan makin buruk,2,Negatif,"['makin', 'lama', 'mlbb', 'makin', 'bikin', 'emosi', 'jaringan', 'ping', 'tinggi', 'banget', 'selalu', 'lag', 'padahal', 'youtube', 'dan', 'semua', 'sosial', 'media', 'lancar', 'login', 'lag', 'aja', 'delay', 'banget', 'boro', 'boro', 'bisa', 'main', 'tolong', 'game', 'ini', 'di', 'baik', 'kualitas', 'jaringannya', 'saya', 'sudah', 'lama', 'main', 'mlbb', 'sudah', 'tahun', 'tapi', 'makin', 'lama', 'kualitas', 'jaringan', 'makin', 'buruk']","['makin', 'lama', 'mlbb', 'makin', 'bikin', 'emosi', 'jaring', 'ping', 'tinggi', 'banget', 'selalu', 'lag', 'padahal', 'youtube', 'dan', 'semua', 'sosial', 'media', 'lancar', 'login', 'lag', 'aja', 'delay', 'banget', 'boro', 'boro', 'bisa', 'main', 'tolong', 'game', 'ini', 'di', 'baik', 'kualitas', 'jaring', 'saya', 'sudah', 'lama', 'main', 'mlbb', 'sudah', 'tahun', 'tapi', 'makin', 'lama', 'kualitas', 'jaring', 'makin', 'buruk']","['mlbb', 'bikin', 'emosi', 'jaring', 'ping', 'banget', 'lag', 'youtube', 'sosial', 'media', 'lancar', 'login', 'lag', 'aja', 'delay', 'banget', 'boro', 'boro', 'main', 'game', 'kualitas', 'jaring', 'main', 'mlbb', 'kualitas', 'jaring', 'buruk']","['mlbb', 'bikin', 'emosi', 'jaring', 'ping', 'banget', 'lag', 'youtube', 'sosial', 'media', 'lancar', 'login', 'lag', 'delay', 'banget', 'boro', 'boro', 'kualitas', 'jaring', 'mlbb', 'kualitas', 'jaring', 'buruk']",mlbb bikin emosi jaring ping banget lag youtube sosial media lancar login lag delay banget boro boro kualitas jaring mlbb kualitas jaring buruk,3.8487324714660645,7.11962366104126,0,4
setelah update jadi freeze tidak bisa bergerak saat di dalam permainan tolong di benar lagi moonton saya afk kali gara freeze dan di report teman saya sendiri,1,Negatif,"['setelah', 'update', 'jadi', 'freeze', 'tidak', 'bisa', 'bergerak', 'saat', 'di', 'dalam', 'permainan', 'tolong', 'di', 'benar', 'lagi', 'moonton', 'saya', 'afk', 'kali', 'gara', 'freeze', 'dan', 'di', 'report', 'teman', 'saya', 'sendiri']","['setelah', 'update', 'jadi', 'freeze', 'tidak', 'bisa', 'gerak', 'saat', 'di', 'dalam', 'main', 'tolong', 'di', 'benar', 'lagi', 'moonton', 'saya', 'afk', 'kali', 'gara', 'freeze', 'dan', 'di', 'report', 'teman', 'saya', 'sendiri']","['update', 'freeze', 'gerak', 'main', 'moonton', 'afk', 'kali', 'gara', 'freeze', 'report', 'teman']","['update', 'freeze', 'gerak', 'afk', 'kali', 'gara', 'freeze', 'report', 'teman']",update freeze gerak afk kali gara freeze report teman,4.639754295349121,5.77531623840332,1,0
jujur aku kecewa kepada moonton karena sudah lama aku main mlbb baru kali ini aku kecewa ini jadi aku harap mlbb akan lebih berkembang agar pemain mlbb tidak pindah ke game belah iya memang lebih gampang main hok sih,2,Negatif,"['jujur', 'aku', 'kecewa', 'kepada', 'moonton', 'karena', 'sudah', 'lama', 'aku', 'main', 'mlbb', 'baru', 'kali', 'ini', 'aku', 'kecewa', 'ini', 'jadi', 'aku', 'harap', 'mlbb', 'akan', 'lebih', 'berkembang', 'agar', 'pemain', 'mlbb', 'tidak', 'pindah', 'ke', 'game', 'belah', 'iya', 'memang', 'lebih', 'gampang', 'main', 'hok', 'sih']","['jujur', 'aku', 'kecewa', 'kepada', 'moonton', 'karena', 'sudah', 'lama', 'aku', 'main', 'mlbb', 'baru', 'kali', 'ini', 'aku', 'kecewa', 'ini', 'jadi', 'aku', 'harap', 'mlbb', 'akan', 'lebih', 'kembang', 'agar', 'main', 'mlbb', 'tidak', 'pindah', 'ke', 'game', 'belah', 'iya', 'memang', 'lebih', 'gampang', 'main', 'hok', 'sih']","['jujur', 'kecewa', 'moonton', 'main', 'mlbb', 'kali', 'kecewa', 'harap', 'mlbb', 'kembang', 'main', 'mlbb', 'pindah', 'game', 'belah', 'iya', 'gampang', 'main', 'hok', 'sih']","['jujur', 'kecewa', 'mlbb', 'kali', 'kecewa', 'harap', 'mlbb', 'kembang', 'mlbb', 'pindah', 'belah', 'iya', 'gampang', 'hok', 'sih']",jujur kecewa mlbb kali kecewa harap mlbb kembang mlbb pindah belah iya gampang hok sih,5.57965087890625,5.796067237854004,1,1
game tidak otak yang baru download di satu sama yang sudah lama tolong lah baik capek saya di satu sama yang jauh level nya tapi musuh nya pada gg tidak otak memang game nya burik,1,Negatif,"['game', 'tidak', 'otak', 'yang', 'baru', 'download', 'di', 'satu', 'sama', 'yang', 'sudah', 'lama', 'tolong', 'lah', 'baik', 'capek', 'saya', 'di', 'satu', 'sama', 'yang', 'jauh', 'level', 'nya', 'tapi', 'musuh', 'nya', 'pada', 'gg', 'tidak', 'otak', 'memang', 'game', 'nya', 'burik']","['game', 'tidak', 'otak', 'yang', 'baru', 'download', 'di', 'satu', 'sama', 'yang', 'sudah', 'lama', 'tolong', 'lah', 'baik', 'capek', 'saya', 'di', 'satu', 'sama', 'yang', 'jauh', 'level', 'nya', 'tapi', 'musuh', 'nya', 'pada', 'gg', 'tidak', 'otak', 'memang', 'game', 'nya', 'burik']","['game', 'otak', 'download', 'capek', 'level', 'nya', 'musuh', 'nya', 'gg', 'otak', 'game', 'nya', 'burik']","['otak', 'download', 'capek', 'level', 'musuh', 'gg', 'otak', 'burik']",otak download capek level musuh gg otak burik,6.194131374359131,5.763439655303955,1,2
gila ini game di kasih tim tidak jelas dapat mvp kendali gold tetap kalah menang terus rank pun tidak pernah naik mantap banget setting sistemnya kayak game slot,1,Negatif,"['gila', 'ini', 'game', 'di', 'kasih', 'tim', 'tidak', 'jelas', 'dapat', 'mvp', 'kendali', 'gold', 'tetap', 'kalah', 'menang', 'terus', 'rank', 'pun', 'tidak', 'pernah', 'naik', 'mantap', 'banget', 'setting', 'sistemnya', 'kayak', 'game', 'slot']","['gila', 'ini', 'game', 'di', 'kasih', 'tim', 'tidak', 'jelas', 'dapat', 'mvp', 'kendali', 'gold', 'tetap', 'kalah', 'menang', 'terus', 'rank', 'pun', 'tidak', 'pernah', 'naik', 'mantap', 'banget', 'setting', 'sistem', 'kayak', 'game', 'slot']","['gila', 'game', 'kasih', 'tim', 'mvp', 'kendali', 'gold', 'kalah', 'menang', 'rank', 'mantap', 'banget', 'setting', 'sistem', 'kayak', 'game', 'slot']","['gila', 'mvp', 'kendali', 'gold', 'kalah', 'menang', 'rank', 'mantap', 'banget', 'setting', 'kayak', 'slot']",gila mvp kendali gold kalah menang rank mantap banget setting kayak slot,6.786185264587402,3.5734505653381348,1,1
tolong terkhusus buat moonton iya dari waktu ke waktu saya push rank dapat tim nya bot semua gimana si tolol bego kasih tim dan lawan tuh yang setara paham tidak capek tau push tiap hari tapi tidak dapat hasil yang bagus,1,Negatif,"['tolong', 'terkhusus', 'buat', 'moonton', 'iya', 'dari', 'waktu', 'ke', 'waktu', 'saya', 'push', 'rank', 'dapat', 'tim', 'nya', 'bot', 'semua', 'gimana', 'si', 'tolol', 'bego', 'kasih', 'tim', 'dan', 'lawan', 'tuh', 'yang', 'setara', 'paham', 'tidak', 'capek', 'tau', 'push', 'tiap', 'hari', 'tapi', 'tidak', 'dapat', 'hasil', 'yang', 'bagus']","['tolong', 'khusus', 'buat', 'moonton', 'iya', 'dari', 'waktu', 'ke', 'waktu', 'saya', 'push', 'rank', 'dapat', 'tim', 'nya', 'bot', 'semua', 'gimana', 'si', 'tolol', 'bego', 'kasih', 'tim', 'dan', 'lawan', 'tuh', 'yang', 'setara', 'paham', 'tidak', 'capek', 'tau', 'push', 'tiap', 'hari', 'tapi', 'tidak', 'dapat', 'hasil', 'yang', 'bagus']","['khusus', 'moonton', 'iya', 'push', 'rank', 'tim', 'nya', 'bot', 'gimana', 'si', 'tolol', 'bego', 'kasih', 'tim', 'lawan', 'tuh', 'setara', 'paham', 'capek', 'tau', 'push', 'hasil', 'bagus']","['khusus', 'iya', 'push', 'rank', 'bot', 'gimana', 'si', 'tolol', 'bego', 'lawan', 'tuh', 'tara', 'paham', 'capek', 'tau', 'push', 'hasil']",khusus iya push rank bot gimana si tolol bego lawan tuh tara paham capek tau push hasil,6.938002586364746,5.544897556304932,1,1
bagi saya apk nya bagus tapi masak lawannya kasih yang jago giliran temen satu tim di kasih yang bot mana anak kecil lagi yang main tolong lah moonton kasih teman atau lawan yang setara lah kalau kayak gini pindah game aja lah masak kasih dark sistem melu semoga kritikan dari saya di terima dan baik lagi game,2,Negatif,"['bagi', 'saya', 'apk', 'nya', 'bagus', 'tapi', 'masak', 'lawannya', 'kasih', 'yang', 'jago', 'giliran', 'temen', 'satu', 'tim', 'di', 'kasih', 'yang', 'bot', 'mana', 'anak', 'kecil', 'lagi', 'yang', 'main', 'tolong', 'lah', 'moonton', 'kasih', 'teman', 'atau', 'lawan', 'yang', 'setara', 'lah', 'kalau', 'kayak', 'gini', 'pindah', 'game', 'aja', 'lah', 'masak', 'kasih', 'dark', 'sistem', 'melu', 'semoga', 'kritikan', 'dari', 'saya', 'di', 'terima', 'dan', 'baik', 'lagi', 'game']","['bagi', 'saya', 'apk', 'nya', 'bagus', 'tapi', 'masak', 'lawan', 'kasih', 'yang', 'jago', 'gilir', 'temen', 'satu', 'tim', 'di', 'kasih', 'yang', 'bot', 'mana', 'anak', 'kecil', 'lagi', 'yang', 'main', 'tolong', 'lah', 'moonton', 'kasih', 'teman', 'atau', 'lawan', 'yang', 'setara', 'lah', 'kalau', 'kayak', 'gini', 'pindah', 'game', 'aja', 'lah', 'masak', 'kasih', 'dark', 'sistem', 'melu', 'semoga', 'kritik', 'dari', 'saya', 'di', 'terima', 'dan', 'baik', 'lagi', 'game']","['apk', 'nya', 'bagus', 'masak', 'lawan', 'kasih', 'jago', 'gilir', 'temen', 'tim', 'kasih', 'bot', 'anak', 'main', 'moonton', 'kasih', 'teman', 'lawan', 'setara', 'kayak', 'gini', 'pindah', 'game', 'aja', 'masak', 'kasih', 'dark', 'sistem', 'melu', 'semoga', 'kritik', 'terima', 'game']","['apk', 'masak', 'lawan', 'jago', 'gilir', 'temen', 'bot', 'anak', 'teman', 'lawan', 'tara', 'kayak', 'gin', 'pindah', 'masak', 'dark', 'melu', 'moga', 'kritik', 'terima']",apk masak lawan jago gilir temen bot anak teman lawan tara kayak gin pindah masak dark melu moga kritik terima,6.773141860961914,5.062119483947754,1,2
saya sumpah demi allah moonton bangkrut bikin rugi saya aja kalo main pasti gendong tim beban maksud lu apa sih kasih tim beban apa karena saya terlalu jago atau karena moonton nya aja yang lagi tidak mood gue sampai yah kalo bikin game itu jangan buat orang kecewa nanti banyak orang yang tidak suka sama game lu saya cuma inget ya kalo bikin game jangan sampai bikin orang lain kecewa dan buat orang lain pindah game belah,1,Negatif,"['saya', 'sumpah', 'demi', 'allah', 'moonton', 'bangkrut', 'bikin', 'rugi', 'saya', 'aja', 'kalo', 'main', 'pasti', 'gendong', 'tim', 'beban', 'maksud', 'lu', 'apa', 'sih', 'kasih', 'tim', 'beban', 'apa', 'karena', 'saya', 'terlalu', 'jago', 'atau', 'karena', 'moonton', 'nya', 'aja', 'yang', 'lagi', 'tidak', 'mood', 'gue', 'sampai', 'yah', 'kalo', 'bikin', 'game', 'itu', 'jangan', 'buat', 'orang', 'kecewa', 'nanti', 'banyak', 'orang', 'yang', 'tidak', 'suka', 'sama', 'game', 'lu', 'saya', 'cuma', 'inget', 'ya', 'kalo', 'bikin', 'game', 'jangan', 'sampai', 'bikin', 'orang', 'lain', 'kecewa', 'dan', 'buat', 'orang', 'lain', 'pindah', 'game', 'belah']","['saya', 'sumpah', 'demi', 'allah', 'moonton', 'bangkrut', 'bikin', 'rugi', 'saya', 'aja', 'kalo', 'main', 'pasti', 'gendong', 'tim', 'beban', 'maksud', 'lu', 'apa', 'sih', 'kasih', 'tim', 'beban', 'apa', 'karena', 'saya', 'terlalu', 'jago', 'atau', 'karena', 'moonton', 'nya', 'aja', 'yang', 'lagi', 'tidak', 'mood', 'gue', 'sampai', 'yah', 'kalo', 'bikin', 'game', 'itu', 'jangan', 'buat', 'orang', 'kecewa', 'nanti', 'banyak', 'orang', 'yang', 'tidak', 'suka', 'sama', 'game', 'lu', 'saya', 'cuma', 'inget', 'ya', 'kalo', 'bikin', 'game', 'jangan', 'sampai', 'bikin', 'orang', 'lain', 'kecewa', 'dan', 'buat', 'orang', 'lain', 'pindah', 'game', 'belah']","['sumpah', 'allah', 'moonton', 'bangkrut', 'bikin', 'rugi', 'aja', 'kalo', 'main', 'gendong', 'tim', 'beban', 'maksud', 'lu', 'sih', 'kasih', 'tim', 'beban', 'jago', 'moonton', 'nya', 'aja', 'mood', 'gue', 'yah', 'kalo', 'bikin', 'game', 'orang', 'kecewa', 'orang', 'suka', 'game', 'lu', 'inget', 'kalo', 'bikin', 'game', 'bikin', 'orang', 'kecewa', 'orang', 'pindah', 'game', 'belah']","['sumpah', 'allah', 'bangkrut', 'bikin', 'rugi', 'kalo', 'gendong', 'beban', 'maksud', 'lu', 'sih', 'beban', 'jago', 'mood', 'gue', 'yah', 'kalo', 'bikin', 'orang', 'kecewa', 'orang', 'lu', 'inget', 'kalo', 'bikin', 'bikin', 'orang', 'kecewa', 'orang', 'pindah', 'belah']",sumpah allah bangkrut bikin rugi kalo gendong beban maksud lu sih beban jago mood gue yah kalo bikin orang kecewa orang lu inget kalo bikin bikin orang kecewa orang pindah belah,7.466599464416504,4.403212547302246,1,1
dark sistem nya parah tidak naik dari awal season parah lebih parah nya sistem untuk solo rank tidak bagus pembagian tim tidak merata jadi nya yang baru main di kumpul di satu tim lawan rank atas yang bener aja not so rekomen,2,Negatif,"['dark', 'sistem', 'nya', 'parah', 'tidak', 'naik', 'dari', 'awal', 'season', 'parah', 'lebih', 'parah', 'nya', 'sistem', 'untuk', 'solo', 'rank', 'tidak', 'bagus', 'pembagian', 'tim', 'tidak', 'merata', 'jadi', 'nya', 'yang', 'baru', 'main', 'di', 'kumpul', 'di', 'satu', 'tim', 'lawan', 'rank', 'atas', 'yang', 'bener', 'aja', 'not', 'so', 'rekomen']","['dark', 'sistem', 'nya', 'parah', 'tidak', 'naik', 'dari', 'awal', 'season', 'parah', 'lebih', 'parah', 'nya', 'sistem', 'untuk', 'solo', 'rank', 'tidak', 'bagus', 'bagi', 'tim', 'tidak', 'rata', 'jadi', 'nya', 'yang', 'baru', 'main', 'di', 'kumpul', 'di', 'satu', 'tim', 'lawan', 'rank', 'atas', 'yang', 'bener', 'aja', 'not', 'so', 'rekomen']","['dark', 'sistem', 'nya', 'parah', 'season', 'parah', 'parah', 'nya', 'sistem', 'solo', 'rank', 'bagus', 'tim', 'nya', 'main', 'kumpul', 'tim', 'lawan', 'rank', 'bener', 'aja', 'not', 'so', 'rekomen']","['dark', 'parah', 'season', 'parah', 'parah', 'solo', 'rank', 'kumpul', 'lawan', 'rank', 'bener', 'rekomen']",dark parah season parah parah solo rank kumpul lawan rank bener rekomen,6.1241021156311035,6.649015426635742,1,5
