content,score,Label,textToken,textLemma,textSWR,textStemm,textStemmSTR,umap_1,umap_2,Cluster_KMeans,Cluster_H_Average
tolong dong kok kalau log in pakai jaringan wifi bisa masuk ya padahal buat aplikasi yang lain lancar banget,2,Negatif,"['tolong', 'dong', 'kok', 'kalau', 'log', 'in', 'pakai', 'jaringan', 'wifi', 'bisa', 'masuk', 'ya', 'padahal', 'buat', 'aplikasi', 'yang', 'lain', 'lancar', 'banget']","['tolong', 'dong', 'kok', 'kalau', 'log', 'in', 'pakai', 'jaring', 'wifi', 'bisa', 'masuk', 'ya', 'padahal', 'buat', 'aplikasi', 'yang', 'lain', 'lancar', 'banget']","['log', 'in', 'pakai', 'jaring', 'wifi', 'masuk', 'aplikasi', 'lancar', 'banget']","['log', 'pakai', 'jaring', 'wifi', 'masuk', 'aplikasi', 'lancar']",log pakai jaring wifi masuk aplikasi lancar,3.028123140335083,15.560834884643555,4,0
pubg mobile sekarang sudah sepi masuk match making nunggu sampai menit tidak bisa masuk lobi udah sepi tapi masih pelit dan tidak lama akan pailit,2,Negatif,"['pubg', 'mobile', 'sekarang', 'sudah', 'sepi', 'masuk', 'match', 'making', 'nunggu', 'sampai', 'menit', 'tidak', 'bisa', 'masuk', 'lobi', 'udah', 'sepi', 'tapi', 'masih', 'pelit', 'dan', 'tidak', 'lama', 'akan', 'pailit']","['pubg', 'mobile', 'sekarang', 'sudah', 'sepi', 'masuk', 'match', 'making', 'nunggu', 'sampai', 'menit', 'tidak', 'bisa', 'masuk', 'lobi', 'udah', 'sepi', 'tapi', 'masih', 'pelit', 'dan', 'tidak', 'lama', 'akan', 'pailit']","['pubg', 'mobile', 'sepi', 'masuk', 'match', 'making', 'nunggu', 'menit', 'masuk', 'lobi', 'udah', 'sepi', 'pelit', 'pailit']","['pubg', 'mobile', 'sepi', 'masuk', 'making', 'nunggu', 'menit', 'masuk', 'lobi', 'sepi', 'pelit', 'pailit']",pubg mobile sepi masuk making nunggu menit masuk lobi sepi pelit pailit,2.9581756591796875,14.952651023864746,0,0
server selalu bermasalah ketika login,1,Negatif,"['server', 'selalu', 'bermasalah', 'ketika', 'login']","['server', 'selalu', 'masalah', 'ketika', 'login']","['server', 'login']","['server', 'login']",server login,2.273082971572876,15.6669340133667,3,0
game terlalu berat sering mati hp pas nembak maaf bintang satu karena kecewa,1,Negatif,"['game', 'terlalu', 'berat', 'sering', 'mati', 'hp', 'pas', 'nembak', 'maaf', 'bintang', 'satu', 'karena', 'kecewa']","['game', 'terlalu', 'berat', 'sering', 'mati', 'hp', 'pas', 'nembak', 'maaf', 'bintang', 'satu', 'karena', 'kecewa']","['game', 'berat', 'mati', 'hp', 'pas', 'nembak', 'maaf', 'bintang', 'kecewa']","['berat', 'mati', 'nembak', 'maaf', 'bintang', 'kecewa']",berat mati nembak maaf bintang kecewa,5.02442741394043,16.732328414916992,0,0
gyroscope pas arah ke bawa pelan malah naik sendiri arah ke atas pelan juga sama malah turun sendiri padahal pengaturan gyroscope udah bener tidak balik gyroscope sudah di kalibrasi dan game pubg juga sudah klik perbaiki di awal tapi sama saja,1,Negatif,"['gyroscope', 'pas', 'arah', 'ke', 'bawa', 'pelan', 'malah', 'naik', 'sendiri', 'arah', 'ke', 'atas', 'pelan', 'juga', 'sama', 'malah', 'turun', 'sendiri', 'padahal', 'pengaturan', 'gyroscope', 'udah', 'bener', 'tidak', 'balik', 'gyroscope', 'sudah', 'di', 'kalibrasi', 'dan', 'game', 'pubg', 'juga', 'sudah', 'klik', 'perbaiki', 'di', 'awal', 'tapi', 'sama', 'saja']","['gyroscope', 'pas', 'arah', 'ke', 'bawa', 'pelan', 'malah', 'naik', 'sendiri', 'arah', 'ke', 'atas', 'pelan', 'juga', 'sama', 'malah', 'turun', 'sendiri', 'padahal', 'atur', 'gyroscope', 'udah', 'bener', 'tidak', 'balik', 'gyroscope', 'sudah', 'di', 'kalibrasi', 'dan', 'game', 'pubg', 'juga', 'sudah', 'klik', 'perbaiki', 'di', 'awal', 'tapi', 'sama', 'saja']","['gyroscope', 'pas', 'arah', 'bawa', 'pelan', 'arah', 'pelan', 'turun', 'atur', 'gyroscope', 'udah', 'bener', 'gyroscope', 'kalibrasi', 'game', 'pubg', 'klik', 'perbaiki']","['gyroscope', 'arah', 'bawa', 'pelan', 'arah', 'pelan', 'turun', 'atur', 'gyroscope', 'bener', 'gyroscope', 'kalibrasi', 'pubg', 'klik']",gyroscope arah bawa pelan arah pelan turun atur gyroscope bener gyroscope kalibrasi pubg klik,4.428318500518799,18.107784271240234,0,6
dulu masalah frame dah atas sekarang masalah banyak nya bot di rank udah tidak seru sumpah map bot tidak ada orang,2,Negatif,"['dulu', 'masalah', 'frame', 'dah', 'atas', 'sekarang', 'masalah', 'banyak', 'nya', 'bot', 'di', 'rank', 'udah', 'tidak', 'seru', 'sumpah', 'map', 'bot', 'tidak', 'ada', 'orang']","['dulu', 'masalah', 'frame', 'dah', 'atas', 'sekarang', 'masalah', 'banyak', 'nya', 'bot', 'di', 'rank', 'udah', 'tidak', 'seru', 'sumpah', 'map', 'bot', 'tidak', 'ada', 'orang']","['frame', 'dah', 'nya', 'bot', 'rank', 'udah', 'seru', 'sumpah', 'map', 'bot', 'orang']","['frame', 'dah', 'bot', 'seru', 'sumpah', 'map', 'bot', 'orang']",frame dah bot seru sumpah map bot orang,3.097681999206543,17.976585388183594,5,0
pubg game haram masa saya login terus download data pertama mb ke dua gb terus saya mau login ini akun google malah bisa terus saya login ulang malah download lagi itu mb sama gb parah coy kesal,1,Negatif,"['pubg', 'game', 'haram', 'masa', 'saya', 'login', 'terus', 'download', 'data', 'pertama', 'mb', 'ke', 'dua', 'gb', 'terus', 'saya', 'mau', 'login', 'ini', 'akun', 'google', 'malah', 'bisa', 'terus', 'saya', 'login', 'ulang', 'malah', 'download', 'lagi', 'itu', 'mb', 'sama', 'gb', 'parah', 'coy', 'kesal']","['pubg', 'game', 'haram', 'masa', 'saya', 'login', 'terus', 'download', 'data', 'pertama', 'mb', 'ke', 'dua', 'gb', 'terus', 'saya', 'mau', 'login', 'ini', 'akun', 'google', 'malah', 'bisa', 'terus', 'saya', 'login', 'ulang', 'malah', 'download', 'lagi', 'itu', 'mb', 'sama', 'gb', 'parah', 'coy', 'kesal']","['pubg', 'game', 'haram', 'login', 'download', 'data', 'mb', 'gb', 'login', 'akun', 'google', 'login', 'ulang', 'download', 'mb', 'gb', 'parah', 'coy', 'kesal']","['pubg', 'haram', 'login', 'download', 'data', 'mb', 'gb', 'login', 'akun', 'google', 'login', 'ulang', 'download', 'mb', 'gb', 'parah', 'coy', 'kesal']",pubg haram login download data mb gb login akun google login ulang download mb gb parah coy kesal,2.1377382278442383,15.4027738571167,3,0
bangsat bug jalan pelan bener anjing update terus bug tidak di perbaiki bug di benar anjing masa jaringan saya bagus jadi lag banget match anjing,1,Negatif,"['bangsat', 'bug', 'jalan', 'pelan', 'bener', 'anjing', 'update', 'terus', 'bug', 'tidak', 'di', 'perbaiki', 'bug', 'di', 'benar', 'anjing', 'masa', 'jaringan', 'saya', 'bagus', 'jadi', 'lag', 'banget', 'match', 'anjing']","['bangsat', 'bug', 'jalan', 'pelan', 'bener', 'anjing', 'update', 'terus', 'bug', 'tidak', 'di', 'perbaiki', 'bug', 'di', 'benar', 'anjing', 'masa', 'jaring', 'saya', 'bagus', 'jadi', 'lag', 'banget', 'match', 'anjing']","['bangsat', 'bug', 'jalan', 'pelan', 'bener', 'anjing', 'update', 'bug', 'perbaiki', 'bug', 'anjing', 'jaring', 'bagus', 'lag', 'banget', 'match', 'anjing']","['bangsat', 'bug', 'jalan', 'pelan', 'bener', 'anjing', 'bug', 'bug', 'anjing', 'jaring', 'lag', 'anjing']",bangsat bug jalan pelan bener anjing bug bug anjing jaring lag anjing,4.810583591461182,14.398985862731934,2,0
haha dapat musuh nya sulit sekali sedangkan tim yang di dapatkan seperti pemula ataupun yang ke player tengah sedangkan teman saya yang bermain game ini yang tier nya lumayan tinggi sama dengan saya di mudah untuk di tingkatkan poin tier nya karena mendapatkan musuh yang non player seperti tidak adil haha funny momen kalau sudah dominator silah saja mendapatkan musuh yang pro player padahal kualitas kemampuan bermain saya lumayan jelek tetapi musuh sulit sekali,1,Negatif,"['haha', 'dapat', 'musuh', 'nya', 'sulit', 'sekali', 'sedangkan', 'tim', 'yang', 'di', 'dapatkan', 'seperti', 'pemula', 'ataupun', 'yang', 'ke', 'player', 'tengah', 'sedangkan', 'teman', 'saya', 'yang', 'bermain', 'game', 'ini', 'yang', 'tier', 'nya', 'lumayan', 'tinggi', 'sama', 'dengan', 'saya', 'di', 'mudah', 'untuk', 'di', 'tingkatkan', 'poin', 'tier', 'nya', 'karena', 'mendapatkan', 'musuh', 'yang', 'non', 'player', 'seperti', 'tidak', 'adil', 'haha', 'funny', 'momen', 'kalau', 'sudah', 'dominator', 'silah', 'saja', 'mendapatkan', 'musuh', 'yang', 'pro', 'player', 'padahal', 'kualitas', 'kemampuan', 'bermain', 'saya', 'lumayan', 'jelek', 'tetapi', 'musuh', 'sulit', 'sekali']","['haha', 'dapat', 'musuh', 'nya', 'sulit', 'sekali', 'sedangkan', 'tim', 'yang', 'di', 'dapat', 'seperti', 'mula', 'ataupun', 'yang', 'ke', 'player', 'tengah', 'sedangkan', 'teman', 'saya', 'yang', 'main', 'game', 'ini', 'yang', 'tier', 'nya', 'lumayan', 'tinggi', 'sama', 'dengan', 'saya', 'di', 'mudah', 'untuk', 'di', 'tingkat', 'poin', 'tier', 'nya', 'karena', 'dapat', 'musuh', 'yang', 'non', 'player', 'seperti', 'tidak', 'adil', 'haha', 'funny', 'momen', 'kalau', 'sudah', 'dominator', 'silah', 'saja', 'dapat', 'musuh', 'yang', 'pro', 'player', 'padahal', 'kualitas', 'mampu', 'main', 'saya', 'lumayan', 'jelek', 'tetapi', 'musuh', 'sulit', 'sekali']","['haha', 'musuh', 'nya', 'sulit', 'tim', 'player', 'teman', 'main', 'game', 'tier', 'nya', 'lumayan', 'mudah', 'tingkat', 'poin', 'tier', 'nya', 'musuh', 'non', 'player', 'adil', 'haha', 'funny', 'momen', 'dominator', 'silah', 'musuh', 'pro', 'player', 'kualitas', 'main', 'lumayan', 'jelek', 'musuh', 'sulit']","['haha', 'musuh', 'sulit', 'teman', 'tier', 'lumayan', 'mudah', 'tingkat', 'poin', 'tier', 'musuh', 'non', 'adil', 'haha', 'funny', 'momen', 'dominator', 'silah', 'musuh', 'pro', 'kualitas', 'lumayan', 'jelek', 'musuh', 'sulit']",haha musuh sulit teman tier lumayan mudah tingkat poin tier musuh non adil haha funny momen dominator silah musuh pro kualitas lumayan jelek musuh sulit,5.542004585266113,18.784936904907227,5,0
game nya seru tapi game nya juga sangat berat alam saya main pubg selalu di bantu script smooth ultra tolong ringan kan lagi game nya agar hp neng ke bawah bisa main lebih enak dan lancar,2,Negatif,"['game', 'nya', 'seru', 'tapi', 'game', 'nya', 'juga', 'sangat', 'berat', 'alam', 'saya', 'main', 'pubg', 'selalu', 'di', 'bantu', 'script', 'smooth', 'ultra', 'tolong', 'ringan', 'kan', 'lagi', 'game', 'nya', 'agar', 'hp', 'neng', 'ke', 'bawah', 'bisa', 'main', 'lebih', 'enak', 'dan', 'lancar']","['game', 'nya', 'seru', 'tapi', 'game', 'nya', 'juga', 'sangat', 'berat', 'alam', 'saya', 'main', 'pubg', 'selalu', 'di', 'bantu', 'script', 'smooth', 'ultra', 'tolong', 'ringan', 'kan', 'lagi', 'game', 'nya', 'agar', 'hp', 'neng', 'ke', 'bawah', 'bisa', 'main', 'lebih', 'enak', 'dan', 'lancar']","['game', 'nya', 'seru', 'game', 'nya', 'berat', 'alam', 'main', 'pubg', 'bantu', 'script', 'smooth', 'ultra', 'ringan', 'game', 'nya', 'hp', 'neng', 'main', 'enak', 'lancar']","['seru', 'berat', 'alam', 'pubg', 'bantu', 'script', 'smooth', 'ultra', 'ringan', 'neng', 'enak', 'lancar']",seru berat alam pubg bantu script smooth ultra ringan neng enak lancar,2.4740607738494873,17.8708438873291,0,0
