content,score,Label,textToken,textLemma,textSWR,textStemm,textStemmSTR,umap_1,umap_2
game itu seru tapi banyak yang rusak tidak kayak dulu oh ya kembalikan peak yang lama saran aku itu aja tolong di perbaikan yang bug damage itu,1,Negatif,"['game', 'itu', 'seru', 'tapi', 'banyak', 'yang', 'rusak', 'tidak', 'kayak', 'dulu', 'oh', 'ya', 'kembalikan', 'peak', 'yang', 'lama', 'saran', 'aku', 'itu', 'aja', 'tolong', 'di', 'perbaikan', 'yang', 'bug', 'damage', 'itu']","['game', 'itu', 'seru', 'tapi', 'banyak', 'yang', 'rusak', 'tidak', 'kayak', 'dulu', 'oh', 'ya', 'kembali', 'peak', 'yang', 'lama', 'saran', 'aku', 'itu', 'aja', 'tolong', 'di', 'baik', 'yang', 'bug', 'damage', 'itu']","['game', 'seru', 'rusak', 'kayak', 'peak', 'saran', 'aja', 'bug', 'damage']","['seru', 'rusak', 'kayak', 'peak', 'saran', 'bug', 'damage']",seru rusak kayak peak saran bug damage,5.8846545,9.228397
kadang kalau deket sama musuh lag jaringannya tapi pas tidak musuh jaringannya bagus bawah ini bug atau apa mohon di perbaiki,4,Positif,"['kadang', 'kalau', 'deket', 'sama', 'musuh', 'lag', 'jaringannya', 'tapi', 'pas', 'tidak', 'musuh', 'jaringannya', 'bagus', 'bawah', 'ini', 'bug', 'atau', 'apa', 'mohon', 'di', 'perbaiki']","['kadang', 'kalau', 'deket', 'sama', 'musuh', 'lag', 'jaring', 'tapi', 'pas', 'tidak', 'musuh', 'jaring', 'bagus', 'bawah', 'ini', 'bug', 'atau', 'apa', 'mohon', 'di', 'perbaiki']","['kadang', 'deket', 'musuh', 'lag', 'jaring', 'pas', 'musuh', 'jaring', 'bagus', 'bug', 'mohon', 'perbaiki']","['kadang', 'deket', 'musuh', 'pas', 'musuh', 'bagus', 'mohon', 'baik']",kadang deket musuh pas musuh bagus mohon baik,5.6988964,12.107735
game game tidak jelas bug darah sudah kena atau lebih tapi musuh tetap saja tidak mati tolong dong developer game ini main sudah hasil damage yang besar tapi sama saja tidak mati tolong di perbaiki game ini terutama bug darah itu,1,Negatif,"['game', 'game', 'tidak', 'jelas', 'bug', 'darah', 'sudah', 'kena', 'atau', 'lebih', 'tapi', 'musuh', 'tetap', 'saja', 'tidak', 'mati', 'tolong', 'dong', 'developer', 'game', 'ini', 'main', 'sudah', 'hasil', 'damage', 'yang', 'besar', 'tapi', 'sama', 'saja', 'tidak', 'mati', 'tolong', 'di', 'perbaiki', 'game', 'ini', 'terutama', 'bug', 'darah', 'itu']","['game', 'game', 'tidak', 'jelas', 'bug', 'darah', 'sudah', 'kena', 'atau', 'lebih', 'tapi', 'musuh', 'tetap', 'saja', 'tidak', 'mati', 'tolong', 'dong', 'developer', 'game', 'ini', 'main', 'sudah', 'hasil', 'damage', 'yang', 'besar', 'tapi', 'sama', 'saja', 'tidak', 'mati', 'tolong', 'di', 'perbaiki', 'game', 'ini', 'utama', 'bug', 'darah', 'itu']","['game', 'game', 'bug', 'darah', 'kena', 'musuh', 'mati', 'developer', 'game', 'main', 'hasil', 'damage', 'mati', 'perbaiki', 'game', 'utama', 'bug', 'darah']","['bug', 'darah', 'kena', 'musuh', 'mati', 'developer', 'hasil', 'damage', 'mati', 'utama', 'bug', 'darah']",bug darah kena musuh mati developer hasil damage mati utama bug darah,4.699751,9.418499
game bagus tapi banyak masalah itu terutama sering bug damage jaringan yang tadi baik saja buruk pas main buka tiktok youtube fb lancar aja,2,Negatif,"['game', 'bagus', 'tapi', 'banyak', 'masalah', 'itu', 'terutama', 'sering', 'bug', 'damage', 'jaringan', 'yang', 'tadi', 'baik', 'saja', 'buruk', 'pas', 'main', 'buka', 'tiktok', 'youtube', 'fb', 'lancar', 'aja']","['game', 'bagus', 'tapi', 'banyak', 'masalah', 'itu', 'utama', 'sering', 'bug', 'damage', 'jaring', 'yang', 'tadi', 'baik', 'saja', 'buruk', 'pas', 'main', 'buka', 'tiktok', 'youtube', 'fb', 'lancar', 'aja']","['game', 'bagus', 'utama', 'bug', 'damage', 'jaring', 'buruk', 'pas', 'main', 'buka', 'tiktok', 'youtube', 'fb', 'lancar', 'aja']","['utama', 'bug', 'damage', 'jaring', 'buruk', 'pas', 'buka', 'tiktok', 'youtube', 'fb']",utama bug damage jaring buruk pas buka tiktok youtube fb,6.3981385,8.718376
garena curang signal itu di cut agar musuh leluasa menang intinya garena ambil alih kemenangan ini enggak satu atau dua kali sering,1,Negatif,"['garena', 'curang', 'signal', 'itu', 'di', 'cut', 'agar', 'musuh', 'leluasa', 'menang', 'intinya', 'garena', 'ambil', 'alih', 'kemenangan', 'ini', 'enggak', 'satu', 'atau', 'dua', 'kali', 'sering']","['garena', 'curang', 'signal', 'itu', 'di', 'cut', 'agar', 'musuh', 'leluasa', 'menang', 'inti', 'garena', 'ambil', 'alih', 'menang', 'ini', 'enggak', 'satu', 'atau', 'dua', 'kali', 'sering']","['garena', 'curang', 'signal', 'cut', 'musuh', 'leluasa', 'menang', 'inti', 'garena', 'ambil', 'alih', 'menang', 'kali']","['curang', 'signal', 'cut', 'musuh', 'leluasa', 'menang', 'inti', 'ambil', 'alih', 'menang', 'kali']",curang signal cut musuh leluasa menang inti ambil alih menang kali,6.151307,10.762714
apa garena kami main br rank kok mode itu cuma di bermuda terus padahal map sudah download semua lucu buat apa download map kalau tidak ada yang bisa pakai otak cok garena,1,Negatif,"['apa', 'garena', 'kami', 'main', 'br', 'rank', 'kok', 'mode', 'itu', 'cuma', 'di', 'bermuda', 'terus', 'padahal', 'map', 'sudah', 'download', 'semua', 'lucu', 'buat', 'apa', 'download', 'map', 'kalau', 'tidak', 'ada', 'yang', 'bisa', 'pakai', 'otak', 'cok', 'garena']","['apa', 'garena', 'kami', 'main', 'br', 'rank', 'kok', 'mode', 'itu', 'cuma', 'di', 'muda', 'terus', 'padahal', 'map', 'sudah', 'download', 'semua', 'lucu', 'buat', 'apa', 'download', 'map', 'kalau', 'tidak', 'ada', 'yang', 'bisa', 'pakai', 'otak', 'cok', 'garena']","['garena', 'main', 'br', 'rank', 'mode', 'muda', 'map', 'download', 'lucu', 'download', 'map', 'pakai', 'otak', 'cok', 'garena']","['br', 'rank', 'mode', 'muda', 'map', 'download', 'lucu', 'download', 'map', 'pakai', 'otak', 'cok']",br rank mode muda map download lucu download map pakai otak cok,4.8454866,12.159286
game paling tidak jelas cheat bug damage banget ini game sistemnya kebanyakan urus event sampai hal yang bisa rugi player lain tidak di gubris,1,Negatif,"['game', 'paling', 'tidak', 'jelas', 'cheat', 'bug', 'damage', 'banget', 'ini', 'game', 'sistemnya', 'kebanyakan', 'urus', 'event', 'sampai', 'hal', 'yang', 'bisa', 'rugi', 'player', 'lain', 'tidak', 'di', 'gubris']","['game', 'paling', 'tidak', 'jelas', 'cheat', 'bug', 'damage', 'banget', 'ini', 'game', 'sistem', 'banyak', 'urus', 'event', 'sampai', 'hal', 'yang', 'bisa', 'rugi', 'player', 'lain', 'tidak', 'di', 'gubris']","['game', 'cheat', 'bug', 'damage', 'banget', 'game', 'sistem', 'urus', 'event', 'rugi', 'player', 'gubris']","['cheat', 'bug', 'damage', 'banget', 'sistem', 'urus', 'event', 'rugi', 'player', 'gubris']",cheat bug damage banget sistem urus event rugi player gubris,7.2983623,9.649868
game apa ini lawannya kayak pro player jago semua saya baru main ff masa lawannya jago lone wolf ada rank garena kenapa perbaiki dong tidak seru karena tidak ada map keren muncul bandle baru garena dan sg gratis dan emot dan baju,2,Negatif,"['game', 'apa', 'ini', 'lawannya', 'kayak', 'pro', 'player', 'jago', 'semua', 'saya', 'baru', 'main', 'ff', 'masa', 'lawannya', 'jago', 'lone', 'wolf', 'ada', 'rank', 'garena', 'kenapa', 'perbaiki', 'dong', 'tidak', 'seru', 'karena', 'tidak', 'ada', 'map', 'keren', 'muncul', 'bandle', 'baru', 'garena', 'dan', 'sg', 'gratis', 'dan', 'emot', 'dan', 'baju']","['game', 'apa', 'ini', 'lawan', 'kayak', 'pro', 'player', 'jago', 'semua', 'saya', 'baru', 'main', 'ff', 'masa', 'lawan', 'jago', 'lone', 'wolf', 'ada', 'rank', 'garena', 'kenapa', 'perbaiki', 'dong', 'tidak', 'seru', 'karena', 'tidak', 'ada', 'map', 'keren', 'muncul', 'bandle', 'baru', 'garena', 'dan', 'sg', 'gratis', 'dan', 'emot', 'dan', 'baju']","['game', 'lawan', 'kayak', 'pro', 'player', 'jago', 'main', 'ff', 'lawan', 'jago', 'lone', 'wolf', 'rank', 'garena', 'perbaiki', 'seru', 'map', 'keren', 'muncul', 'bandle', 'garena', 'sg', 'gratis', 'emot', 'baju']","['lawan', 'kayak', 'pro', 'player', 'jago', 'ff', 'lawan', 'jago', 'lone', 'wolf', 'rank', 'seru', 'map', 'keren', 'muncul', 'bandle', 'sg', 'gratis', 'emot', 'baju']",lawan kayak pro player jago ff lawan jago lone wolf rank seru map keren muncul bandle sg gratis emot baju,7.478389,11.711463
glowall nova bermuda kini penuh dengan glowall gunakan alat glowall baru untuk membantu tarung update map factory di bermuda kini penuh dengan glowall gunakan properti unik ini untuk membantu main karakter baru lila lila bisa memperlambat musuh dan kendaraan dengan rifle dan jika dia menjatuhkan musuh yang pelan dia mendapatkan glowall wall ekstra update profil halaman profil kini bisa kamu ubah tunjukkan konten favorit kamu dan buat profil kamu yang unik,5,Positif,"['glowall', 'nova', 'bermuda', 'kini', 'penuh', 'dengan', 'glowall', 'gunakan', 'alat', 'glowall', 'baru', 'untuk', 'membantu', 'tarung', 'update', 'map', 'factory', 'di', 'bermuda', 'kini', 'penuh', 'dengan', 'glowall', 'gunakan', 'properti', 'unik', 'ini', 'untuk', 'membantu', 'main', 'karakter', 'baru', 'lila', 'lila', 'bisa', 'memperlambat', 'musuh', 'dan', 'kendaraan', 'dengan', 'rifle', 'dan', 'jika', 'dia', 'menjatuhkan', 'musuh', 'yang', 'pelan', 'dia', 'mendapatkan', 'glowall', 'wall', 'ekstra', 'update', 'profil', 'halaman', 'profil', 'kini', 'bisa', 'kamu', 'ubah', 'tunjukkan', 'konten', 'favorit', 'kamu', 'dan', 'buat', 'profil', 'kamu', 'yang', 'unik']","['glowall', 'nova', 'muda', 'kini', 'penuh', 'dengan', 'glowall', 'guna', 'alat', 'glowall', 'baru', 'untuk', 'bantu', 'tarung', 'update', 'map', 'factory', 'di', 'muda', 'kini', 'penuh', 'dengan', 'glowall', 'guna', 'properti', 'unik', 'ini', 'untuk', 'bantu', 'main', 'karakter', 'baru', 'lila', 'lila', 'bisa', 'lambat', 'musuh', 'dan', 'kendara', 'dengan', 'rifle', 'dan', 'jika', 'dia', 'jatuh', 'musuh', 'yang', 'pelan', 'dia', 'dapat', 'glowall', 'wall', 'ekstra', 'update', 'profil', 'halaman', 'profil', 'kini', 'bisa', 'kamu', 'ubah', 'tunjuk', 'konten', 'favorit', 'kamu', 'dan', 'buat', 'profil', 'kamu', 'yang', 'unik']","['glowall', 'nova', 'muda', 'penuh', 'glowall', 'alat', 'glowall', 'bantu', 'tarung', 'update', 'map', 'factory', 'muda', 'penuh', 'glowall', 'properti', 'unik', 'bantu', 'main', 'karakter', 'lila', 'lila', 'lambat', 'musuh', 'kendara', 'rifle', 'jatuh', 'musuh', 'pelan', 'glowall', 'wall', 'ekstra', 'update', 'profil', 'halaman', 'profil', 'ubah', 'konten', 'favorit', 'profil', 'unik']","['glowall', 'nova', 'muda', 'penuh', 'glowall', 'alat', 'glowall', 'bantu', 'tarung', 'map', 'factory', 'muda', 'penuh', 'glowall', 'properti', 'unik', 'bantu', 'karakter', 'lila', 'lila', 'lambat', 'musuh', 'kendara', 'rifle', 'jatuh', 'musuh', 'pelan', 'glowall', 'wall', 'ekstra', 'profil', 'halaman', 'profil', 'ubah', 'konten', 'favorit', 'profil', 'unik']",glowall nova muda penuh glowall alat glowall bantu tarung map factory muda penuh glowall properti unik bantu karakter lila lila lambat musuh kendara rifle jatuh musuh pelan glowall wall ekstra profil halaman profil ubah konten favorit profil unik,5.526345,10.132904
game itu bagus tapi kenapa pas login selalu di kasih karakter gosong dari senjata karakter lain itu semua gosong padahal sudah di download semua anjing kayak gitu dong min,2,Negatif,"['game', 'itu', 'bagus', 'tapi', 'kenapa', 'pas', 'login', 'selalu', 'di', 'kasih', 'karakter', 'gosong', 'dari', 'senjata', 'karakter', 'lain', 'itu', 'semua', 'gosong', 'padahal', 'sudah', 'di', 'download', 'semua', 'anjing', 'kayak', 'gitu', 'dong', 'min']","['game', 'itu', 'bagus', 'tapi', 'kenapa', 'pas', 'login', 'selalu', 'di', 'kasih', 'karakter', 'gosong', 'dari', 'senjata', 'karakter', 'lain', 'itu', 'semua', 'gosong', 'padahal', 'sudah', 'di', 'download', 'semua', 'anjing', 'kayak', 'gitu', 'dong', 'min']","['game', 'bagus', 'pas', 'login', 'kasih', 'karakter', 'gosong', 'senjata', 'karakter', 'gosong', 'download', 'anjing', 'kayak', 'gitu', 'min']","['pas', 'login', 'karakter', 'gosong', 'senjata', 'karakter', 'gosong', 'download', 'anjing', 'kayak', 'gitu', 'min']",pas login karakter gosong senjata karakter gosong download anjing kayak gitu min,8.59996,11.405164
