content,score,Label,textToken,textLemma,textSWR,textStemm,textStemmSTR,umap_1,umap_2
memang sampah sistem game kamu tencent tk kotoran iya mungkin ada feeding tapi itu nggak di sengaja karena masalah jaringan ilang tepat waktu mau push ke tower musuh sistem kamu sampah tk,1,Negatif,"['memang', 'sampah', 'sistem', 'game', 'kamu', 'tencent', 'tk', 'kotoran', 'iya', 'mungkin', 'ada', 'feeding', 'tapi', 'itu', 'nggak', 'di', 'sengaja', 'karena', 'masalah', 'jaringan', 'ilang', 'tepat', 'waktu', 'mau', 'push', 'ke', 'tower', 'musuh', 'sistem', 'kamu', 'sampah', 'tk']","['memang', 'sampah', 'sistem', 'game', 'kamu', 'tencent', 'tk', 'kotor', 'iya', 'mungkin', 'ada', 'feeding', 'tapi', 'itu', 'nggak', 'di', 'sengaja', 'karena', 'masalah', 'jaring', 'ilang', 'tepat', 'waktu', 'mau', 'push', 'ke', 'tower', 'musuh', 'sistem', 'kamu', 'sampah', 'tk']","['sampah', 'sistem', 'game', 'tencent', 'tk', 'kotor', 'iya', 'feeding', 'sengaja', 'jaring', 'ilang', 'push', 'tower', 'musuh', 'sistem', 'sampah', 'tk']","['sampah', 'tencent', 'tk', 'kotor', 'iya', 'feeding', 'sengaja', 'jaring', 'ilang', 'push', 'tower', 'musuh', 'sampah', 'tk']",sampah tencent tk kotor iya feeding sengaja jaring ilang push tower musuh sampah tk,8.789422,11.227035
saya sudah memainkan honor of kings lebih dari bulan dan saya selalu dapat tim lawan yang lebih hebat dari tim saya saya sudah capek memainkan game lucu ini saya akan segera menghapus game tidak ngotak ini im comeback to mobile legends,1,Negatif,"['saya', 'sudah', 'memainkan', 'honor', 'of', 'kings', 'lebih', 'dari', 'bulan', 'dan', 'saya', 'selalu', 'dapat', 'tim', 'lawan', 'yang', 'lebih', 'hebat', 'dari', 'tim', 'saya', 'saya', 'sudah', 'capek', 'memainkan', 'game', 'lucu', 'ini', 'saya', 'akan', 'segera', 'menghapus', 'game', 'tidak', 'ngotak', 'ini', 'im', 'comeback', 'to', 'mobile', 'legends']","['saya', 'sudah', 'main', 'honor', 'of', 'kings', 'lebih', 'dari', 'bulan', 'dan', 'saya', 'selalu', 'dapat', 'tim', 'lawan', 'yang', 'lebih', 'hebat', 'dari', 'tim', 'saya', 'saya', 'sudah', 'capek', 'main', 'game', 'lucu', 'ini', 'saya', 'akan', 'segera', 'hapus', 'game', 'tidak', 'ngotak', 'ini', 'im', 'comeback', 'to', 'mobile', 'legends']","['main', 'honor', 'of', 'kings', 'tim', 'lawan', 'hebat', 'tim', 'capek', 'main', 'game', 'lucu', 'hapus', 'game', 'ngotak', 'im', 'comeback', 'to', 'mobile', 'legends']","['honor', 'kings', 'lawan', 'hebat', 'capek', 'lucu', 'hapus', 'ngotak', 'im', 'comeback', 'mobile', 'legends']",honor kings lawan hebat capek lucu hapus ngotak im comeback mobile legends,8.118306,10.6219845
matching tidak imbang tiap main ranked selalu satu tim sama pemain yang akun nya bawah level aneh banget ini game kalau di klasik malah imbang ketemu tim nya buat pihak honor tolong di baik supaya pengguna puas jangan penting kualitas doang collab dan hal semacamnya itu saja saran dari saya semoga kau respon,1,Negatif,"['matching', 'tidak', 'imbang', 'tiap', 'main', 'ranked', 'selalu', 'satu', 'tim', 'sama', 'pemain', 'yang', 'akun', 'nya', 'bawah', 'level', 'aneh', 'banget', 'ini', 'game', 'kalau', 'di', 'klasik', 'malah', 'imbang', 'ketemu', 'tim', 'nya', 'buat', 'pihak', 'honor', 'tolong', 'di', 'baik', 'supaya', 'pengguna', 'puas', 'jangan', 'penting', 'kualitas', 'doang', 'collab', 'dan', 'hal', 'semacamnya', 'itu', 'saja', 'saran', 'dari', 'saya', 'semoga', 'kau', 'respon']","['matching', 'tidak', 'imbang', 'tiap', 'main', 'ranked', 'selalu', 'satu', 'tim', 'sama', 'main', 'yang', 'akun', 'nya', 'bawah', 'level', 'aneh', 'banget', 'ini', 'game', 'kalau', 'di', 'klasik', 'malah', 'imbang', 'ketemu', 'tim', 'nya', 'buat', 'pihak', 'honor', 'tolong', 'di', 'baik', 'supaya', 'guna', 'puas', 'jangan', 'penting', 'kualitas', 'doang', 'collab', 'dan', 'hal', 'macam', 'itu', 'saja', 'saran', 'dari', 'saya', 'semoga', 'kau', 'respon']","['matching', 'imbang', 'main', 'ranked', 'tim', 'main', 'akun', 'nya', 'level', 'aneh', 'banget', 'game', 'klasik', 'imbang', 'ketemu', 'tim', 'nya', 'honor', 'puas', 'kualitas', 'doang', 'collab', 'saran', 'semoga', 'kau', 'respon']","['matching', 'imbang', 'ranked', 'akun', 'level', 'aneh', 'klasik', 'imbang', 'ketemu', 'honor', 'puas', 'kualitas', 'doang', 'collab', 'saran', 'moga', 'kau', 'respon']",matching imbang ranked akun level aneh klasik imbang ketemu honor puas kualitas doang collab saran moga kau respon,8.659476,10.3605995
tolong lah di baik buat hero sesuai karakter lane hapus untuk seperti mid lane bisa pakai hero frame buat sesuai agar frame tidak bisa pilih hero mid lane biar tidak banyak pelanggaran bos admin,1,Negatif,"['tolong', 'lah', 'di', 'baik', 'buat', 'hero', 'sesuai', 'karakter', 'lane', 'hapus', 'untuk', 'seperti', 'mid', 'lane', 'bisa', 'pakai', 'hero', 'frame', 'buat', 'sesuai', 'agar', 'frame', 'tidak', 'bisa', 'pilih', 'hero', 'mid', 'lane', 'biar', 'tidak', 'banyak', 'pelanggaran', 'bos', 'admin']","['tolong', 'lah', 'di', 'baik', 'buat', 'hero', 'sesuai', 'karakter', 'lane', 'hapus', 'untuk', 'seperti', 'mid', 'lane', 'bisa', 'pakai', 'hero', 'frame', 'buat', 'sesuai', 'agar', 'frame', 'tidak', 'bisa', 'pilih', 'hero', 'mid', 'lane', 'biar', 'tidak', 'banyak', 'langgar', 'bos', 'admin']","['hero', 'sesuai', 'karakter', 'lane', 'hapus', 'mid', 'lane', 'pakai', 'hero', 'frame', 'sesuai', 'frame', 'pilih', 'hero', 'mid', 'lane', 'biar', 'langgar', 'bos', 'admin']","['sesuai', 'karakter', 'lane', 'hapus', 'mid', 'lane', 'pakai', 'frame', 'sesuai', 'frame', 'pilih', 'mid', 'lane', 'biar', 'langgar', 'bos', 'admin']",sesuai karakter lane hapus mid lane pakai frame sesuai frame pilih mid lane biar langgar bos admin,9.9874,8.413848
game semua sudah bagus cuma yang harus di atur lagi pembagian timnya masa iya tier mythic masih pada buta map,1,Negatif,"['game', 'semua', 'sudah', 'bagus', 'cuma', 'yang', 'harus', 'di', 'atur', 'lagi', 'pembagian', 'timnya', 'masa', 'iya', 'tier', 'mythic', 'masih', 'pada', 'buta', 'map']","['game', 'semua', 'sudah', 'bagus', 'cuma', 'yang', 'harus', 'di', 'atur', 'lagi', 'bagi', 'tim', 'masa', 'iya', 'tier', 'mythic', 'masih', 'pada', 'buta', 'map']","['game', 'bagus', 'atur', 'tim', 'iya', 'tier', 'mythic', 'buta', 'map']","['atur', 'iya', 'tier', 'mythic', 'buta', 'map']",atur iya tier mythic buta map,8.148213,9.851102
untuk developer game sudah bagus segi grafik maupun keseluruhan game cuma ada satu masalah lag jaringan dalam game,4,Positif,"['untuk', 'developer', 'game', 'sudah', 'bagus', 'segi', 'grafik', 'maupun', 'keseluruhan', 'game', 'cuma', 'ada', 'satu', 'masalah', 'lag', 'jaringan', 'dalam', 'game']","['untuk', 'developer', 'game', 'sudah', 'bagus', 'segi', 'grafik', 'maupun', 'keseluruhan', 'game', 'cuma', 'ada', 'satu', 'masalah', 'lag', 'jaring', 'dalam', 'game']","['developer', 'game', 'bagus', 'segi', 'grafik', 'game', 'lag', 'jaring', 'game']","['developer', 'bagus', 'segi', 'grafik', 'jaring']",developer bagus segi grafik jaring,7.382335,7.5651245
untuk pihak tencent secara teknis game sudah bagus cuman kekurangannya ada lag setiap war dan juga banyak sekali orang yang troll atau feed berkeliaran banyak juga banyak pakai cheat lag mohon pihak hok kok memperbaiki masalah ini,4,Positif,"['untuk', 'pihak', 'tencent', 'secara', 'teknis', 'game', 'sudah', 'bagus', 'cuman', 'kekurangannya', 'ada', 'lag', 'setiap', 'war', 'dan', 'juga', 'banyak', 'sekali', 'orang', 'yang', 'troll', 'atau', 'feed', 'berkeliaran', 'banyak', 'juga', 'banyak', 'pakai', 'cheat', 'lag', 'mohon', 'pihak', 'hok', 'kok', 'memperbaiki', 'masalah', 'ini']","['untuk', 'pihak', 'tencent', 'secara', 'teknis', 'game', 'sudah', 'bagus', 'cuman', 'kurang', 'ada', 'lag', 'setiap', 'war', 'dan', 'juga', 'banyak', 'sekali', 'orang', 'yang', 'troll', 'atau', 'feed', 'liar', 'banyak', 'juga', 'banyak', 'pakai', 'cheat', 'lag', 'mohon', 'pihak', 'hok', 'kok', 'baik', 'masalah', 'ini']","['tencent', 'teknis', 'game', 'bagus', 'cuman', 'lag', 'war', 'orang', 'troll', 'feed', 'liar', 'pakai', 'cheat', 'lag', 'mohon', 'hok']","['tencent', 'teknis', 'bagus', 'cuman', 'war', 'orang', 'troll', 'feed', 'liar', 'pakai', 'cheat', 'mohon', 'hok']",tencent teknis bagus cuman war orang troll feed liar pakai cheat mohon hok,7.487113,8.950992
rusak game nya banyak bot mau naik rank aja setengah mati ketemu bot terus sudah gitu ada aja ketemu pemain bodoh saran bagi yang belum download tidak usah kamu download game nya rusak tidak jelas menang kali bisa kali stuck terus aja itu wkwk,1,Negatif,"['rusak', 'game', 'nya', 'banyak', 'bot', 'mau', 'naik', 'rank', 'aja', 'setengah', 'mati', 'ketemu', 'bot', 'terus', 'sudah', 'gitu', 'ada', 'aja', 'ketemu', 'pemain', 'bodoh', 'saran', 'bagi', 'yang', 'belum', 'download', 'tidak', 'usah', 'kamu', 'download', 'game', 'nya', 'rusak', 'tidak', 'jelas', 'menang', 'kali', 'bisa', 'kali', 'stuck', 'terus', 'aja', 'itu', 'wkwk']","['rusak', 'game', 'nya', 'banyak', 'bot', 'mau', 'naik', 'rank', 'aja', 'setengah', 'mati', 'ketemu', 'bot', 'terus', 'sudah', 'gitu', 'ada', 'aja', 'ketemu', 'main', 'bodoh', 'saran', 'bagi', 'yang', 'belum', 'download', 'tidak', 'usah', 'kamu', 'download', 'game', 'nya', 'rusak', 'tidak', 'jelas', 'menang', 'kali', 'bisa', 'kali', 'stuck', 'terus', 'aja', 'itu', 'wkwk']","['rusak', 'game', 'nya', 'bot', 'rank', 'aja', 'mati', 'ketemu', 'bot', 'gitu', 'aja', 'ketemu', 'main', 'bodoh', 'saran', 'download', 'download', 'game', 'nya', 'rusak', 'menang', 'kali', 'kali', 'stuck', 'aja', 'wkwk']","['rusak', 'bot', 'mati', 'ketemu', 'bot', 'gitu', 'ketemu', 'bodoh', 'saran', 'download', 'download', 'rusak', 'menang', 'kali', 'kali', 'stuck', 'wkwk']",rusak bot mati ketemu bot gitu ketemu bodoh saran download download rusak menang kali kali stuck wkwk,7.3849473,11.772793
game haram yang pernah saya download kira bakal bagus dari pada mobile legend bang bang malah lebih buruk tidak bisa beli hero match lama banget tim tolol semua mau main lane yang lain tidak boleh bug juga banyak najis ini game saran sih di uninstall aja ini game game babi,1,Negatif,"['game', 'haram', 'yang', 'pernah', 'saya', 'download', 'kira', 'bakal', 'bagus', 'dari', 'pada', 'mobile', 'legend', 'bang', 'bang', 'malah', 'lebih', 'buruk', 'tidak', 'bisa', 'beli', 'hero', 'match', 'lama', 'banget', 'tim', 'tolol', 'semua', 'mau', 'main', 'lane', 'yang', 'lain', 'tidak', 'boleh', 'bug', 'juga', 'banyak', 'najis', 'ini', 'game', 'saran', 'sih', 'di', 'uninstall', 'aja', 'ini', 'game', 'game', 'babi']","['game', 'haram', 'yang', 'pernah', 'saya', 'download', 'kira', 'bakal', 'bagus', 'dari', 'pada', 'mobile', 'legend', 'bang', 'bang', 'malah', 'lebih', 'buruk', 'tidak', 'bisa', 'beli', 'hero', 'match', 'lama', 'banget', 'tim', 'tolol', 'semua', 'mau', 'main', 'lane', 'yang', 'lain', 'tidak', 'boleh', 'bug', 'juga', 'banyak', 'najis', 'ini', 'game', 'saran', 'sih', 'di', 'uninstall', 'aja', 'ini', 'game', 'game', 'babi']","['game', 'haram', 'download', 'bagus', 'mobile', 'legend', 'bang', 'bang', 'buruk', 'beli', 'hero', 'match', 'banget', 'tim', 'tolol', 'main', 'lane', 'bug', 'najis', 'game', 'saran', 'sih', 'uninstall', 'aja', 'game', 'game', 'babi']","['haram', 'download', 'mobile', 'legend', 'bang', 'bang', 'buruk', 'beli', 'tolol', 'lane', 'bug', 'najis', 'saran', 'sih', 'uninstall', 'babi']",haram download mobile legend bang bang buruk beli tolol lane bug najis saran sih uninstall babi,6.7563767,9.749428
jujur aja suka sama game tapi akhir akhir ini sering lag frame pas di di game akhirnya milih moba lain yang stabil di di game kayak ml,1,Negatif,"['jujur', 'aja', 'suka', 'sama', 'game', 'tapi', 'akhir', 'akhir', 'ini', 'sering', 'lag', 'frame', 'pas', 'di', 'di', 'game', 'akhirnya', 'milih', 'moba', 'lain', 'yang', 'stabil', 'di', 'di', 'game', 'kayak', 'ml']","['jujur', 'aja', 'suka', 'sama', 'game', 'tapi', 'akhir', 'akhir', 'ini', 'sering', 'lag', 'frame', 'pas', 'di', 'di', 'game', 'akhirnya', 'milih', 'moba', 'lain', 'yang', 'stabil', 'di', 'di', 'game', 'kayak', 'ml']","['jujur', 'aja', 'suka', 'game', 'lag', 'frame', 'pas', 'game', 'milih', 'moba', 'stabil', 'game', 'kayak', 'ml']","['jujur', 'lag', 'frame', 'milih', 'moba', 'stabil', 'kayak', 'ml']",jujur lag frame milih moba stabil kayak ml,6.643236,8.872329
