content,score,Label,textToken,textLemma,textSWR,textStemm,textStemmSTR,umap_1,umap_2
saya sudah tahun main mlbb tapi sekarang kecewa kali jaringan bisa pula hilang tiba padahal jaringan hp saya bagus dan pas mulai itu pun kayak lag jaringan nya saya hyper jadi lama waktu farming jadi nya tolong lah di baik dan hilangkan lah dark sistem nya sering lose streak saya di buat nya makasih,5,Positif,"['saya', 'sudah', 'tahun', 'main', 'mlbb', 'tapi', 'sekarang', 'kecewa', 'kali', 'jaringan', 'bisa', 'pula', 'hilang', 'tiba', 'padahal', 'jaringan', 'hp', 'saya', 'bagus', 'dan', 'pas', 'mulai', 'itu', 'pun', 'kayak', 'lag', 'jaringan', 'nya', 'saya', 'hyper', 'jadi', 'lama', 'waktu', 'farming', 'jadi', 'nya', 'tolong', 'lah', 'di', 'baik', 'dan', 'hilangkan', 'lah', 'dark', 'sistem', 'nya', 'sering', 'lose', 'streak', 'saya', 'di', 'buat', 'nya', 'makasih']","['saya', 'sudah', 'tahun', 'main', 'mlbb', 'tapi', 'sekarang', 'kecewa', 'kali', 'jaring', 'bisa', 'pula', 'hilang', 'tiba', 'padahal', 'jaring', 'hp', 'saya', 'bagus', 'dan', 'pas', 'mulai', 'itu', 'pun', 'kayak', 'lag', 'jaring', 'nya', 'saya', 'hyper', 'jadi', 'lama', 'waktu', 'farming', 'jadi', 'nya', 'tolong', 'lah', 'di', 'baik', 'dan', 'hilang', 'lah', 'dark', 'sistem', 'nya', 'sering', 'lose', 'streak', 'saya', 'di', 'buat', 'nya', 'makasih']","['main', 'mlbb', 'kecewa', 'kali', 'jaring', 'hilang', 'jaring', 'hp', 'bagus', 'pas', 'kayak', 'lag', 'jaring', 'nya', 'hyper', 'farming', 'nya', 'hilang', 'dark', 'sistem', 'nya', 'lose', 'streak', 'nya', 'makasih']","['mlbb', 'kecewa', 'kali', 'jaring', 'hilang', 'jaring', 'hp', 'bagus', 'pas', 'kayak', 'jaring', 'hyper', 'farming', 'hilang', 'dark', 'lose', 'streak', 'makasih']",mlbb kecewa kali jaring hilang jaring hp bagus pas kayak jaring hyper farming hilang dark lose streak makasih,3.2477705,6.1776495
kak admin yang baik hati dan tidak sombong masalahnya ini sejak update sudah bulan lebih untuk pengguna hp ram gb itu baru masuk game cuma bisa sampai tulisan moonton sama mobile legend doang bolak balik terus tidak bisa masuk menu itu sudah tulis sangat jelas kalo admin moonton otak pinter pasti tau apa yang saya keluh saat ini makasih tunggu kabar baik untuk hp ram gb,1,Negatif,"['kak', 'admin', 'yang', 'baik', 'hati', 'dan', 'tidak', 'sombong', 'masalahnya', 'ini', 'sejak', 'update', 'sudah', 'bulan', 'lebih', 'untuk', 'pengguna', 'hp', 'ram', 'gb', 'itu', 'baru', 'masuk', 'game', 'cuma', 'bisa', 'sampai', 'tulisan', 'moonton', 'sama', 'mobile', 'legend', 'doang', 'bolak', 'balik', 'terus', 'tidak', 'bisa', 'masuk', 'menu', 'itu', 'sudah', 'tulis', 'sangat', 'jelas', 'kalo', 'admin', 'moonton', 'otak', 'pinter', 'pasti', 'tau', 'apa', 'yang', 'saya', 'keluh', 'saat', 'ini', 'makasih', 'tunggu', 'kabar', 'baik', 'untuk', 'hp', 'ram', 'gb']","['kak', 'admin', 'yang', 'baik', 'hati', 'dan', 'tidak', 'sombong', 'masalah', 'ini', 'sejak', 'update', 'sudah', 'bulan', 'lebih', 'untuk', 'guna', 'hp', 'ram', 'gb', 'itu', 'baru', 'masuk', 'game', 'cuma', 'bisa', 'sampai', 'tulis', 'moonton', 'sama', 'mobile', 'legend', 'doang', 'bolak', 'balik', 'terus', 'tidak', 'bisa', 'masuk', 'menu', 'itu', 'sudah', 'tulis', 'sangat', 'jelas', 'kalo', 'admin', 'moonton', 'otak', 'pinter', 'pasti', 'tau', 'apa', 'yang', 'saya', 'keluh', 'saat', 'ini', 'makasih', 'tunggu', 'kabar', 'baik', 'untuk', 'hp', 'ram', 'gb']","['kak', 'admin', 'hati', 'sombong', 'update', 'hp', 'ram', 'gb', 'masuk', 'game', 'tulis', 'moonton', 'mobile', 'legend', 'doang', 'bolak', 'masuk', 'menu', 'tulis', 'kalo', 'admin', 'moonton', 'otak', 'pinter', 'tau', 'keluh', 'makasih', 'tunggu', 'kabar', 'hp', 'ram', 'gb']","['kak', 'admin', 'hati', 'sombong', 'update', 'hp', 'ram', 'gb', 'masuk', 'tulis', 'mobile', 'legend', 'doang', 'bolak', 'masuk', 'menu', 'tulis', 'kalo', 'admin', 'otak', 'pinter', 'tau', 'keluh', 'makasih', 'tunggu', 'kabar', 'hp', 'ram', 'gb']",kak admin hati sombong update hp ram gb masuk tulis mobile legend doang bolak masuk menu tulis kalo admin otak pinter tau keluh makasih tunggu kabar hp ram gb,4.6780252,5.5293984
makin lama mlbb makin bikin emosi jaringan ping tinggi banget selalu lag padahal youtube dan semua sosial media lancar login lag aja delay banget boro boro bisa main tolong game ini di baik kualitas jaringannya saya sudah lama main mlbb sudah tahun tapi makin lama kualitas jaringan makin buruk,2,Negatif,"['makin', 'lama', 'mlbb', 'makin', 'bikin', 'emosi', 'jaringan', 'ping', 'tinggi', 'banget', 'selalu', 'lag', 'padahal', 'youtube', 'dan', 'semua', 'sosial', 'media', 'lancar', 'login', 'lag', 'aja', 'delay', 'banget', 'boro', 'boro', 'bisa', 'main', 'tolong', 'game', 'ini', 'di', 'baik', 'kualitas', 'jaringannya', 'saya', 'sudah', 'lama', 'main', 'mlbb', 'sudah', 'tahun', 'tapi', 'makin', 'lama', 'kualitas', 'jaringan', 'makin', 'buruk']","['makin', 'lama', 'mlbb', 'makin', 'bikin', 'emosi', 'jaring', 'ping', 'tinggi', 'banget', 'selalu', 'lag', 'padahal', 'youtube', 'dan', 'semua', 'sosial', 'media', 'lancar', 'login', 'lag', 'aja', 'delay', 'banget', 'boro', 'boro', 'bisa', 'main', 'tolong', 'game', 'ini', 'di', 'baik', 'kualitas', 'jaring', 'saya', 'sudah', 'lama', 'main', 'mlbb', 'sudah', 'tahun', 'tapi', 'makin', 'lama', 'kualitas', 'jaring', 'makin', 'buruk']","['mlbb', 'bikin', 'emosi', 'jaring', 'ping', 'banget', 'lag', 'youtube', 'sosial', 'media', 'lancar', 'login', 'lag', 'aja', 'delay', 'banget', 'boro', 'boro', 'main', 'game', 'kualitas', 'jaring', 'main', 'mlbb', 'kualitas', 'jaring', 'buruk']","['mlbb', 'bikin', 'emosi', 'jaring', 'ping', 'banget', 'lag', 'youtube', 'sosial', 'media', 'lancar', 'login', 'lag', 'delay', 'banget', 'boro', 'boro', 'kualitas', 'jaring', 'mlbb', 'kualitas', 'jaring', 'buruk']",mlbb bikin emosi jaring ping banget lag youtube sosial media lancar login lag delay banget boro boro kualitas jaring mlbb kualitas jaring buruk,3.8487325,7.1196237
setelah update jadi freeze tidak bisa bergerak saat di dalam permainan tolong di benar lagi moonton saya afk kali gara freeze dan di report teman saya sendiri,1,Negatif,"['setelah', 'update', 'jadi', 'freeze', 'tidak', 'bisa', 'bergerak', 'saat', 'di', 'dalam', 'permainan', 'tolong', 'di', 'benar', 'lagi', 'moonton', 'saya', 'afk', 'kali', 'gara', 'freeze', 'dan', 'di', 'report', 'teman', 'saya', 'sendiri']","['setelah', 'update', 'jadi', 'freeze', 'tidak', 'bisa', 'gerak', 'saat', 'di', 'dalam', 'main', 'tolong', 'di', 'benar', 'lagi', 'moonton', 'saya', 'afk', 'kali', 'gara', 'freeze', 'dan', 'di', 'report', 'teman', 'saya', 'sendiri']","['update', 'freeze', 'gerak', 'main', 'moonton', 'afk', 'kali', 'gara', 'freeze', 'report', 'teman']","['update', 'freeze', 'gerak', 'afk', 'kali', 'gara', 'freeze', 'report', 'teman']",update freeze gerak afk kali gara freeze report teman,4.6397543,5.775316
jujur aku kecewa kepada moonton karena sudah lama aku main mlbb baru kali ini aku kecewa ini jadi aku harap mlbb akan lebih berkembang agar pemain mlbb tidak pindah ke game belah iya memang lebih gampang main hok sih,2,Negatif,"['jujur', 'aku', 'kecewa', 'kepada', 'moonton', 'karena', 'sudah', 'lama', 'aku', 'main', 'mlbb', 'baru', 'kali', 'ini', 'aku', 'kecewa', 'ini', 'jadi', 'aku', 'harap', 'mlbb', 'akan', 'lebih', 'berkembang', 'agar', 'pemain', 'mlbb', 'tidak', 'pindah', 'ke', 'game', 'belah', 'iya', 'memang', 'lebih', 'gampang', 'main', 'hok', 'sih']","['jujur', 'aku', 'kecewa', 'kepada', 'moonton', 'karena', 'sudah', 'lama', 'aku', 'main', 'mlbb', 'baru', 'kali', 'ini', 'aku', 'kecewa', 'ini', 'jadi', 'aku', 'harap', 'mlbb', 'akan', 'lebih', 'kembang', 'agar', 'main', 'mlbb', 'tidak', 'pindah', 'ke', 'game', 'belah', 'iya', 'memang', 'lebih', 'gampang', 'main', 'hok', 'sih']","['jujur', 'kecewa', 'moonton', 'main', 'mlbb', 'kali', 'kecewa', 'harap', 'mlbb', 'kembang', 'main', 'mlbb', 'pindah', 'game', 'belah', 'iya', 'gampang', 'main', 'hok', 'sih']","['jujur', 'kecewa', 'mlbb', 'kali', 'kecewa', 'harap', 'mlbb', 'kembang', 'mlbb', 'pindah', 'belah', 'iya', 'gampang', 'hok', 'sih']",jujur kecewa mlbb kali kecewa harap mlbb kembang mlbb pindah belah iya gampang hok sih,5.579651,5.796067
game lagend awet sampai tahun banyak bug tapi developer rajin perbaiki game dibuat lebih ringan soalnya demi main game ini saya sudah banyak mengorbankan hp kentang lama semakin berat tahun bermain mulai force close dan macet tidak bisa gerak hp restart sendiri,5,Positif,"['game', 'lagend', 'awet', 'sampai', 'tahun', 'banyak', 'bug', 'tapi', 'developer', 'rajin', 'perbaiki', 'game', 'dibuat', 'lebih', 'ringan', 'soalnya', 'demi', 'main', 'game', 'ini', 'saya', 'sudah', 'banyak', 'mengorbankan', 'hp', 'kentang', 'lama', 'semakin', 'berat', 'tahun', 'bermain', 'mulai', 'force', 'close', 'dan', 'macet', 'tidak', 'bisa', 'gerak', 'hp', 'restart', 'sendiri']","['game', 'lagend', 'awet', 'sampai', 'tahun', 'banyak', 'bug', 'tapi', 'developer', 'rajin', 'perbaiki', 'game', 'buat', 'lebih', 'ringan', 'soal', 'demi', 'main', 'game', 'ini', 'saya', 'sudah', 'banyak', 'korban', 'hp', 'kentang', 'lama', 'semakin', 'berat', 'tahun', 'main', 'mulai', 'force', 'close', 'dan', 'macet', 'tidak', 'bisa', 'gerak', 'hp', 'restart', 'sendiri']","['game', 'lagend', 'awet', 'bug', 'developer', 'rajin', 'perbaiki', 'game', 'ringan', 'main', 'game', 'korban', 'hp', 'kentang', 'berat', 'main', 'force', 'close', 'macet', 'gerak', 'hp', 'restart']","['lagend', 'awet', 'developer', 'rajin', 'baik', 'ringan', 'korban', 'hp', 'kentang', 'berat', 'force', 'close', 'macet', 'gerak', 'hp', 'restart']",lagend awet developer rajin baik ringan korban hp kentang berat force close macet gerak hp restart,5.238598,5.4841332
game tidak otak yang baru download di satu sama yang sudah lama tolong lah baik capek saya di satu sama yang jauh level nya tapi musuh nya pada gg tidak otak memang game nya burik,1,Negatif,"['game', 'tidak', 'otak', 'yang', 'baru', 'download', 'di', 'satu', 'sama', 'yang', 'sudah', 'lama', 'tolong', 'lah', 'baik', 'capek', 'saya', 'di', 'satu', 'sama', 'yang', 'jauh', 'level', 'nya', 'tapi', 'musuh', 'nya', 'pada', 'gg', 'tidak', 'otak', 'memang', 'game', 'nya', 'burik']","['game', 'tidak', 'otak', 'yang', 'baru', 'download', 'di', 'satu', 'sama', 'yang', 'sudah', 'lama', 'tolong', 'lah', 'baik', 'capek', 'saya', 'di', 'satu', 'sama', 'yang', 'jauh', 'level', 'nya', 'tapi', 'musuh', 'nya', 'pada', 'gg', 'tidak', 'otak', 'memang', 'game', 'nya', 'burik']","['game', 'otak', 'download', 'capek', 'level', 'nya', 'musuh', 'nya', 'gg', 'otak', 'game', 'nya', 'burik']","['otak', 'download', 'capek', 'level', 'musuh', 'gg', 'otak', 'burik']",otak download capek level musuh gg otak burik,6.1941314,5.7634397
gila ini game di kasih tim tidak jelas dapat mvp kendali gold tetap kalah menang terus rank pun tidak pernah naik mantap banget setting sistemnya kayak game slot,1,Negatif,"['gila', 'ini', 'game', 'di', 'kasih', 'tim', 'tidak', 'jelas', 'dapat', 'mvp', 'kendali', 'gold', 'tetap', 'kalah', 'menang', 'terus', 'rank', 'pun', 'tidak', 'pernah', 'naik', 'mantap', 'banget', 'setting', 'sistemnya', 'kayak', 'game', 'slot']","['gila', 'ini', 'game', 'di', 'kasih', 'tim', 'tidak', 'jelas', 'dapat', 'mvp', 'kendali', 'gold', 'tetap', 'kalah', 'menang', 'terus', 'rank', 'pun', 'tidak', 'pernah', 'naik', 'mantap', 'banget', 'setting', 'sistem', 'kayak', 'game', 'slot']","['gila', 'game', 'kasih', 'tim', 'mvp', 'kendali', 'gold', 'kalah', 'menang', 'rank', 'mantap', 'banget', 'setting', 'sistem', 'kayak', 'game', 'slot']","['gila', 'mvp', 'kendali', 'gold', 'kalah', 'menang', 'rank', 'mantap', 'banget', 'setting', 'kayak', 'slot']",gila mvp kendali gold kalah menang rank mantap banget setting kayak slot,6.7861853,3.5734506
kalo buat game yang bener banget jangan yang tidak bisa main mlbb di gabung sama yang sudah bisa yang ada malah yang bisa jadi tidak bisa gara gara ada yang tidak bisa update lebih bagus jangan sini lebih stres game nya,5,Positif,"['kalo', 'buat', 'game', 'yang', 'bener', 'banget', 'jangan', 'yang', 'tidak', 'bisa', 'main', 'mlbb', 'di', 'gabung', 'sama', 'yang', 'sudah', 'bisa', 'yang', 'ada', 'malah', 'yang', 'bisa', 'jadi', 'tidak', 'bisa', 'gara', 'gara', 'ada', 'yang', 'tidak', 'bisa', 'update', 'lebih', 'bagus', 'jangan', 'sini', 'lebih', 'stres', 'game', 'nya']","['kalo', 'buat', 'game', 'yang', 'bener', 'banget', 'jangan', 'yang', 'tidak', 'bisa', 'main', 'mlbb', 'di', 'gabung', 'sama', 'yang', 'sudah', 'bisa', 'yang', 'ada', 'malah', 'yang', 'bisa', 'jadi', 'tidak', 'bisa', 'gara', 'gara', 'ada', 'yang', 'tidak', 'bisa', 'update', 'lebih', 'bagus', 'jangan', 'sini', 'lebih', 'stres', 'game', 'nya']","['kalo', 'game', 'bener', 'banget', 'main', 'mlbb', 'gabung', 'gara', 'gara', 'update', 'bagus', 'stres', 'game', 'nya']","['kalo', 'bener', 'banget', 'mlbb', 'gabung', 'gara', 'gara', 'update', 'bagus', 'stres']",kalo bener banget mlbb gabung gara gara update bagus stres,5.5262094,6.1944613
tolong terkhusus buat moonton iya dari waktu ke waktu saya push rank dapat tim nya bot semua gimana si tolol bego kasih tim dan lawan tuh yang setara paham tidak capek tau push tiap hari tapi tidak dapat hasil yang bagus,1,Negatif,"['tolong', 'terkhusus', 'buat', 'moonton', 'iya', 'dari', 'waktu', 'ke', 'waktu', 'saya', 'push', 'rank', 'dapat', 'tim', 'nya', 'bot', 'semua', 'gimana', 'si', 'tolol', 'bego', 'kasih', 'tim', 'dan', 'lawan', 'tuh', 'yang', 'setara', 'paham', 'tidak', 'capek', 'tau', 'push', 'tiap', 'hari', 'tapi', 'tidak', 'dapat', 'hasil', 'yang', 'bagus']","['tolong', 'khusus', 'buat', 'moonton', 'iya', 'dari', 'waktu', 'ke', 'waktu', 'saya', 'push', 'rank', 'dapat', 'tim', 'nya', 'bot', 'semua', 'gimana', 'si', 'tolol', 'bego', 'kasih', 'tim', 'dan', 'lawan', 'tuh', 'yang', 'setara', 'paham', 'tidak', 'capek', 'tau', 'push', 'tiap', 'hari', 'tapi', 'tidak', 'dapat', 'hasil', 'yang', 'bagus']","['khusus', 'moonton', 'iya', 'push', 'rank', 'tim', 'nya', 'bot', 'gimana', 'si', 'tolol', 'bego', 'kasih', 'tim', 'lawan', 'tuh', 'setara', 'paham', 'capek', 'tau', 'push', 'hasil', 'bagus']","['khusus', 'iya', 'push', 'rank', 'bot', 'gimana', 'si', 'tolol', 'bego', 'lawan', 'tuh', 'tara', 'paham', 'capek', 'tau', 'push', 'hasil']",khusus iya push rank bot gimana si tolol bego lawan tuh tara paham capek tau push hasil,6.9380026,5.5448976
