content,score,Label,textToken,textLemma,textSWR,textStemm,textStemmSTR,umap_1,umap_2
tolong dong kok kalau log in pakai jaringan wifi bisa masuk ya padahal buat aplikasi yang lain lancar banget,2,Negatif,"['tolong', 'dong', 'kok', 'kalau', 'log', 'in', 'pakai', 'jaringan', 'wifi', 'bisa', 'masuk', 'ya', 'padahal', 'buat', 'aplikasi', 'yang', 'lain', 'lancar', 'banget']","['tolong', 'dong', 'kok', 'kalau', 'log', 'in', 'pakai', 'jaring', 'wifi', 'bisa', 'masuk', 'ya', 'padahal', 'buat', 'aplikasi', 'yang', 'lain', 'lancar', 'banget']","['log', 'in', 'pakai', 'jaring', 'wifi', 'masuk', 'aplikasi', 'lancar', 'banget']","['log', 'pakai', 'jaring', 'wifi', 'masuk', 'aplikasi', 'lancar']",log pakai jaring wifi masuk aplikasi lancar,3.0281231,15.560835
pubg mobile sekarang sudah sepi masuk match making nunggu sampai menit tidak bisa masuk lobi udah sepi tapi masih pelit dan tidak lama akan pailit,2,Negatif,"['pubg', 'mobile', 'sekarang', 'sudah', 'sepi', 'masuk', 'match', 'making', 'nunggu', 'sampai', 'menit', 'tidak', 'bisa', 'masuk', 'lobi', 'udah', 'sepi', 'tapi', 'masih', 'pelit', 'dan', 'tidak', 'lama', 'akan', 'pailit']","['pubg', 'mobile', 'sekarang', 'sudah', 'sepi', 'masuk', 'match', 'making', 'nunggu', 'sampai', 'menit', 'tidak', 'bisa', 'masuk', 'lobi', 'udah', 'sepi', 'tapi', 'masih', 'pelit', 'dan', 'tidak', 'lama', 'akan', 'pailit']","['pubg', 'mobile', 'sepi', 'masuk', 'match', 'making', 'nunggu', 'menit', 'masuk', 'lobi', 'udah', 'sepi', 'pelit', 'pailit']","['pubg', 'mobile', 'sepi', 'masuk', 'making', 'nunggu', 'menit', 'masuk', 'lobi', 'sepi', 'pelit', 'pailit']",pubg mobile sepi masuk making nunggu menit masuk lobi sepi pelit pailit,2.9581757,14.952651
server selalu bermasalah ketika login,1,Negatif,"['server', 'selalu', 'bermasalah', 'ketika', 'login']","['server', 'selalu', 'masalah', 'ketika', 'login']","['server', 'login']","['server', 'login']",server login,2.273083,15.666934
game terlalu berat sering mati hp pas nembak maaf bintang satu karena kecewa,1,Negatif,"['game', 'terlalu', 'berat', 'sering', 'mati', 'hp', 'pas', 'nembak', 'maaf', 'bintang', 'satu', 'karena', 'kecewa']","['game', 'terlalu', 'berat', 'sering', 'mati', 'hp', 'pas', 'nembak', 'maaf', 'bintang', 'satu', 'karena', 'kecewa']","['game', 'berat', 'mati', 'hp', 'pas', 'nembak', 'maaf', 'bintang', 'kecewa']","['berat', 'mati', 'nembak', 'maaf', 'bintang', 'kecewa']",berat mati nembak maaf bintang kecewa,5.0244274,16.732328
gyroscope pas arah ke bawa pelan malah naik sendiri arah ke atas pelan juga sama malah turun sendiri padahal pengaturan gyroscope udah bener tidak balik gyroscope sudah di kalibrasi dan game pubg juga sudah klik perbaiki di awal tapi sama saja,1,Negatif,"['gyroscope', 'pas', 'arah', 'ke', 'bawa', 'pelan', 'malah', 'naik', 'sendiri', 'arah', 'ke', 'atas', 'pelan', 'juga', 'sama', 'malah', 'turun', 'sendiri', 'padahal', 'pengaturan', 'gyroscope', 'udah', 'bener', 'tidak', 'balik', 'gyroscope', 'sudah', 'di', 'kalibrasi', 'dan', 'game', 'pubg', 'juga', 'sudah', 'klik', 'perbaiki', 'di', 'awal', 'tapi', 'sama', 'saja']","['gyroscope', 'pas', 'arah', 'ke', 'bawa', 'pelan', 'malah', 'naik', 'sendiri', 'arah', 'ke', 'atas', 'pelan', 'juga', 'sama', 'malah', 'turun', 'sendiri', 'padahal', 'atur', 'gyroscope', 'udah', 'bener', 'tidak', 'balik', 'gyroscope', 'sudah', 'di', 'kalibrasi', 'dan', 'game', 'pubg', 'juga', 'sudah', 'klik', 'perbaiki', 'di', 'awal', 'tapi', 'sama', 'saja']","['gyroscope', 'pas', 'arah', 'bawa', 'pelan', 'arah', 'pelan', 'turun', 'atur', 'gyroscope', 'udah', 'bener', 'gyroscope', 'kalibrasi', 'game', 'pubg', 'klik', 'perbaiki']","['gyroscope', 'arah', 'bawa', 'pelan', 'arah', 'pelan', 'turun', 'atur', 'gyroscope', 'bener', 'gyroscope', 'kalibrasi', 'pubg', 'klik']",gyroscope arah bawa pelan arah pelan turun atur gyroscope bener gyroscope kalibrasi pubg klik,4.4283185,18.107784
ini game paling bagus menurut saya cuma sayangnya device saya cuma bisa mentok di hd high frame parah guys,4,Positif,"['ini', 'game', 'paling', 'bagus', 'menurut', 'saya', 'cuma', 'sayangnya', 'device', 'saya', 'cuma', 'bisa', 'mentok', 'di', 'hd', 'high', 'frame', 'parah', 'guys']","['ini', 'game', 'paling', 'bagus', 'menurut', 'saya', 'cuma', 'sayang', 'device', 'saya', 'cuma', 'bisa', 'mentok', 'di', 'hd', 'high', 'frame', 'parah', 'guys']","['game', 'bagus', 'sayang', 'device', 'mentok', 'hd', 'high', 'frame', 'parah', 'guys']","['bagus', 'sayang', 'device', 'mentok', 'hd', 'high', 'frame', 'parah', 'guys']",bagus sayang device mentok hd high frame parah guys,5.061961,19.426588
dulu masalah frame dah atas sekarang masalah banyak nya bot di rank udah tidak seru sumpah map bot tidak ada orang,2,Negatif,"['dulu', 'masalah', 'frame', 'dah', 'atas', 'sekarang', 'masalah', 'banyak', 'nya', 'bot', 'di', 'rank', 'udah', 'tidak', 'seru', 'sumpah', 'map', 'bot', 'tidak', 'ada', 'orang']","['dulu', 'masalah', 'frame', 'dah', 'atas', 'sekarang', 'masalah', 'banyak', 'nya', 'bot', 'di', 'rank', 'udah', 'tidak', 'seru', 'sumpah', 'map', 'bot', 'tidak', 'ada', 'orang']","['frame', 'dah', 'nya', 'bot', 'rank', 'udah', 'seru', 'sumpah', 'map', 'bot', 'orang']","['frame', 'dah', 'bot', 'seru', 'sumpah', 'map', 'bot', 'orang']",frame dah bot seru sumpah map bot orang,3.097682,17.976585
dari tahun sampai sekarang akun masih bisa digunakan walaupun hp sempat ke reset tetap aman tapi mengapa sekarang terlalu banyak bot dibandingkan dengan tahun sebelumnya saya ingin pihak developer kurang bot dan temu player asli sebanyak lebih dari bot dalam mode apa dan seluruh map,5,Positif,"['dari', 'tahun', 'sampai', 'sekarang', 'akun', 'masih', 'bisa', 'digunakan', 'walaupun', 'hp', 'sempat', 'ke', 'reset', 'tetap', 'aman', 'tapi', 'mengapa', 'sekarang', 'terlalu', 'banyak', 'bot', 'dibandingkan', 'dengan', 'tahun', 'sebelumnya', 'saya', 'ingin', 'pihak', 'developer', 'kurang', 'bot', 'dan', 'temu', 'player', 'asli', 'sebanyak', 'lebih', 'dari', 'bot', 'dalam', 'mode', 'apa', 'dan', 'seluruh', 'map']","['dari', 'tahun', 'sampai', 'sekarang', 'akun', 'masih', 'bisa', 'digunakan', 'walaupun', 'hp', 'sempat', 'ke', 'reset', 'tetap', 'aman', 'tapi', 'mengapa', 'sekarang', 'terlalu', 'banyak', 'bot', 'banding', 'dengan', 'tahun', 'sebelumnya', 'saya', 'ingin', 'pihak', 'developer', 'kurang', 'bot', 'dan', 'temu', 'player', 'asli', 'sebanyak', 'lebih', 'dari', 'bot', 'dalam', 'mode', 'apa', 'dan', 'seluruh', 'map']","['akun', 'hp', 'reset', 'aman', 'bot', 'banding', 'developer', 'bot', 'temu', 'player', 'asli', 'bot', 'mode', 'map']","['akun', 'reset', 'aman', 'bot', 'banding', 'developer', 'bot', 'temu', 'asli', 'bot', 'mode', 'map']",akun reset aman bot banding developer bot temu asli bot mode map,3.0825214,17.991291
pubg game haram masa saya login terus download data pertama mb ke dua gb terus saya mau login ini akun google malah bisa terus saya login ulang malah download lagi itu mb sama gb parah coy kesal,1,Negatif,"['pubg', 'game', 'haram', 'masa', 'saya', 'login', 'terus', 'download', 'data', 'pertama', 'mb', 'ke', 'dua', 'gb', 'terus', 'saya', 'mau', 'login', 'ini', 'akun', 'google', 'malah', 'bisa', 'terus', 'saya', 'login', 'ulang', 'malah', 'download', 'lagi', 'itu', 'mb', 'sama', 'gb', 'parah', 'coy', 'kesal']","['pubg', 'game', 'haram', 'masa', 'saya', 'login', 'terus', 'download', 'data', 'pertama', 'mb', 'ke', 'dua', 'gb', 'terus', 'saya', 'mau', 'login', 'ini', 'akun', 'google', 'malah', 'bisa', 'terus', 'saya', 'login', 'ulang', 'malah', 'download', 'lagi', 'itu', 'mb', 'sama', 'gb', 'parah', 'coy', 'kesal']","['pubg', 'game', 'haram', 'login', 'download', 'data', 'mb', 'gb', 'login', 'akun', 'google', 'login', 'ulang', 'download', 'mb', 'gb', 'parah', 'coy', 'kesal']","['pubg', 'haram', 'login', 'download', 'data', 'mb', 'gb', 'login', 'akun', 'google', 'login', 'ulang', 'download', 'mb', 'gb', 'parah', 'coy', 'kesal']",pubg haram login download data mb gb login akun google login ulang download mb gb parah coy kesal,2.1377382,15.402774
bangsat bug jalan pelan bener anjing update terus bug tidak di perbaiki bug di benar anjing masa jaringan saya bagus jadi lag banget match anjing,1,Negatif,"['bangsat', 'bug', 'jalan', 'pelan', 'bener', 'anjing', 'update', 'terus', 'bug', 'tidak', 'di', 'perbaiki', 'bug', 'di', 'benar', 'anjing', 'masa', 'jaringan', 'saya', 'bagus', 'jadi', 'lag', 'banget', 'match', 'anjing']","['bangsat', 'bug', 'jalan', 'pelan', 'bener', 'anjing', 'update', 'terus', 'bug', 'tidak', 'di', 'perbaiki', 'bug', 'di', 'benar', 'anjing', 'masa', 'jaring', 'saya', 'bagus', 'jadi', 'lag', 'banget', 'match', 'anjing']","['bangsat', 'bug', 'jalan', 'pelan', 'bener', 'anjing', 'update', 'bug', 'perbaiki', 'bug', 'anjing', 'jaring', 'bagus', 'lag', 'banget', 'match', 'anjing']","['bangsat', 'bug', 'jalan', 'pelan', 'bener', 'anjing', 'bug', 'bug', 'anjing', 'jaring', 'lag', 'anjing']",bangsat bug jalan pelan bener anjing bug bug anjing jaring lag anjing,4.8105836,14.398986
developer aku mau permintaan nanti setelah update tolong ditambahkan senjatanya seperti svd mg dan garand terima kasih,5,Positif,"['developer', 'aku', 'mau', 'permintaan', 'nanti', 'setelah', 'update', 'tolong', 'ditambahkan', 'senjatanya', 'seperti', 'svd', 'mg', 'dan', 'garand', 'terima', 'kasih']","['developer', 'aku', 'mau', 'minta', 'nanti', 'setelah', 'update', 'tolong', 'tambah', 'senjata', 'seperti', 'svd', 'mg', 'dan', 'garand', 'terima', 'kasih']","['developer', 'update', 'senjata', 'svd', 'mg', 'garand', 'terima', 'kasih']","['developer', 'senjata', 'svd', 'mg', 'garand', 'terima']",developer senjata svd mg garand terima,4.580063,17.777998
