term,replacement
game,game
nya,itu
seru,seru
tpi,tapi
yg,yang
rusak,rusak
gak,tidak
kayak,kayak
dlu,dulu
peak,peak
saran,saran
ku,aku
aja,aja
bug,bug
damage,damage
terkadang,kadang
kalo,kalau
deket,deket
sma,sama
musuh,musuh
ngeleg,lag
jaring,jaring
pas,pas
gakada,tidak
bagus,bagus
kebawah,bawah
mohon,mohon
perbaiki,perbaiki
gjgame,game
gk,tidak
jelassuka,jelas
darah,darah
udh,sudah
kena,kena
mati,mati
developer,developer
inisaya,ini
main,main
ngasilin,hasil
demege,damage
utama,utama
ngebug,bug
demag,damage
baik²,baik
sajatiba²,saja
buruk,buruk
buka,buka
tiktok,tiktok
yt,youtube
fb,fb
lancar,lancar
garena,garena
curang,curang
signal,signal
cut,cut
leluasa,leluasa
menang,menang
inti,inti
ambil,ambil
alih,alih
kali,kali
apalah,apa
maen,main
br,br
rank,rank
mode,mode
muda,muda
trusss,terus
map,map
didownload,download
kocak,lucu
download,download
kepake,pakai
ngotak,otak
cokkk,cok
garentoll,garena
ga,tidak
jelasbanyak,jelas
cheater,cheat
berkeliaranbug,bug
damagegajelas,damage
bgt,banget
ni,ini
sistem,sistem
ngurusin,urus
event,event
sampe,sampai
ngerugiin,rugi
player,player
gubris,gubris
lawan,lawan
pro,pro
jago,jago
ff,ff
lone,lone
wolf,wolf
ranked,rank
keren,keren
munculin,muncul
bandle,bandle
sg,sg
gratis,gratis
emot,emot
baju,baju
gloo,glowall
nova,nova
penuh,penuh
alat,alat
bantu,bantu
pertarunganmu,tarung
update,update
factory,factory
properti,properti
unik,unik
permainanmu,main
karakter,karakter
lila,lila
lambat,lambat
kendara,kendaraan
rifle,rifle
jatuh,jatuh
pelan,pelan
wall,wall
ekstra,ekstra
profil,profil
halaman,halaman
ubah,ubah
kontgen,konten
favorit,favorit
knp,kenapa
login,login
kasi,kasih
gosong,gosong
senjata,senjata
jeng,anjing
kek,kayak
gitu,gitu
mimin,min
la,la
kasih,kasih
tim,tim
cs,cs
serius,serius
bot,bot
lose,lose
trik,trik
suka,suka
ngetrol,troll
rankend,rank
wajar,wajar
pensi,pensi
burik,jelek
mapnya,map
gime,game
bosan,bosan
playernya,player
toxic,toxic
bugnya,bug
benerin,benar
nembak,nembak
tembus,tembus
arah,arah
croshair,croshair
autoaim,autoaim
ngotaak,otak
glowall,glowall
kepencet,pencet
pencet,pencet
berkali,kali
bedah,bedah
aneh,aneh
bagusss,bagus
banget,banget
temen,temen
hina,hina
kroco,kroco
seruu,seru
bangettt,banget
lohh,loh
clash,clash
squad,squad
battle,battle
royale,royal
akuuu,aku
skaa,suka
bgtt,banget
hedsot,headshot
nambah,tambah
kerenn,keren
sumpah,sumpah
tlong,tolong
wifi,wifi
tuh,tuh
sinyal,sinyal
jdi,jadi
brcs,brcs
knock,knock
trus,terus
deh,deh
udah,sudah
yaa,iya
segitu,gitu
ajaa,aja
babaaay,bay
super,super
duper,duper
sukakenapa,suka
lag,lag
pintu,pintu
hp,hp
kentang,kentang
ngelag,lag
pindah,pindah
ml,ml
bit,bit
aplikasi,aplikasi
mendonload,download
data,data
otomatis,otomatis
karna,karena
simpan,simpan
habis,habis
iniiiiiiii,ini
sangatttttt,sangat
susah,susah
turun,turun
cari,cari
lootingan,looting
rumah,rumah
gamenya,game
langsung,langsung
kenok,kenok
ngeselinnnnnnnnnnnnnnn,kesal
mudah,mudah
foto,foto
bugil,bugil
gadis,gadis
cantik,cantik
hasil,hasil
proses,proses
tubuh,tubuh
manusia,manusia
sehat,sehat
impian,mimpi
orang,orang
menyapamu,sapa
indonesia,indonesia
harga,harga
ukur,ukur
tingkat,tingkat
nasional,nasional
gebrak,gebrak
kulit,kulit
cerah,cerah
wajah,wajah
orangorang,orang
outlaw,outlaw
nuansa,nuansa
alam,alam
liarhutan,liar
luas,luas
senapan,senapan
sniper,sniper
dinding,dinding
scope,scope
