term,replacement
emang,memang
sampah,sampah
sistem,sistem
game,game
loe,kamu
tencent,tencent
tk,tk
kotor,kotor
iye,iya
feeding,feeding
sengaja,sengaja
jaring,jaring
ilang,ilang
mw,mau
push,push
tower,tower
musuh,musuh
main,main
honor,honor
of,of
kings,kings
slalu,selalu
tim,tim
lawan,lawan
hebat,hebat
cape,capek
kocak,lucu
hapus,hapus
gak,tidak
ngotak,ngotak
im,im
comeback,comeback
to,to
mobile,mobile
legends,legends
maching,matching
ngga,tidak
seimbang,imbang
ranked,ranked
disatu,satu
team,tim
player,pemain
yg,yang
akun,akun
nya,nya
dibawah,bawah
level,level
aneh,aneh
banget,banget
klasik,klasik
ketemu,ketemu
berbaiki,baik
puas,puas
mementikan,penting
kualitas,kualitas
doang,doang
collab,collab
hal²,hal
saran,saran
semoga,semoga
kau,kau
respon,respon
perbaiki,baik
hero,hero
sesuai,sesuai
karakter,karakter
lane,lane
mid,mid
pke,pakai
fram,frame
frame,frame
pilih,pilih
biar,biar
langgar,langgar
bos,bos
admin,admin
gamenya,game
overal,semua
udah,sudah
bagus,bagus
sihcuman,cuma
atur,atur
sihmasa,masa
iya,iya
tier,tier
mytic,mythic
buta,buta
map,map
developer,developer
bagusdari,bagus
segi,segi
grafik,grafik
lag,lag
teknis,teknis
cuman,cuman
war,war
orang,orang
troll,troll
feed,feed
liar,liar
pakai,pakai
cheat,cheat
mohon,mohon
hok,hok
kog,kok
rusak,rusak
bot,bot
rank,rank
aja,aja
mati,mati
gitu,gitu
bodoh,bodoh
download,download
ga,tidak
lu,kamu
menang,menang
kali,kali
stuck,stuck
wkwowkwo,wkwk
haram,haram
gua,saya
kirain,kira
legend,legend
bang,bang
buruk,buruk
beli,beli
herolah,hero
match,match
tolol,tolol
dilane,lane
gk,tidak
bug,bug
nazis,najis
sih,sih
uninstall,uninstall
babi,babi
jujur,jujur
suka,suka
ama,sama
nyatapi,tapi
pas,pas
in,di
milih,milih
moba,moba
stabil,stabil
kayak,kayak
ml,ml
hei,hai
hoktolong,tolong
dikurangi,kurang
dark,dark
capek,capek
kalah,kalah
mulu,mulu
susah,susah
ranknya,rank
liris,liris
indonesia,indonesia
bocil,bocil
mastertapi,master
sistemnyasaat,sistem
bintang,bintang
rankkan,rank
kalahmalah,kalah
turuntapi,turun
dikasih,kasih
proteksi,proteksi
turun,turun
udh,udah
grandmaster,grandmaster
matchmaking,match
solo,solo
event,event
digame,game
tarik,tarik
