term,replacement
udah,sudah
main,main
ml,mlbb
tpi,tapi
kecewa,kecewa
kli,kali
jaring,jaring
hilang,hilang
hp,hp
bgus,bagus
pas,pas
kayak,kayak
ngeleg,lag
nya,nya
hyper,hyper
jdi,jadi
farming,farming
lh,lah
perbaiki,baik
dark,dark
sistem,sistem
lose,lose
strek,streak
makasih,makasih
kak,kak
admin,admin
yg,yang
hati,hati
sombong,sombong
semenjak,sejak
update,update
penguna,pengguna
ram,ram
gb,gb
masuk,masuk
game,game
sampe,sampai
tulis,tulis
moonton,moonton
mobile,mobile
legend,legend
doang,doang
bolak,bolak
gk,tidak
menunya,menu
udh,sudah
kalo,kalo
otakny,otak
pinter,pinter
tau,tau
keluhkan,keluh
trimakasih,makasih
tunggu,tunggu
kabar,kabar
baikny,baik
mlbb,mlbb
bikin,bikin
emosi,emosi
jasingan,jaringan
ping,ping
banget,banget
lag,lag
youtube,youtube
sosial,sosial
media,media
lancar,lancar
login,login
lage,lag
aja,aja
delay,delay
boro,boro
dimainin,main
kualitas,kualitas
buruk,buruk
ngefreez,freeze
gerak,gerak
benerin,benar
afk,afk
kali,kali
gara²,gara
report,report
teman,teman
jujur,jujur
karna,karena
sekecewa,kecewa
harap,harap
kembang,kembang
pindah,pindah
sebelah,belah
iya,iya
gampang,gampang
hok,hok
sih,sih
lagendaris,lagend
awet,awet
tahunwalau,tahun
bug,bug
developernya,developer
rajin,rajin
memperbaikisemoga,perbaiki
gamenya,game
ringan,ringan
korban,korban
kentangsemakin,kentang
berat,berat
force,force
close,close
macet,macet
gak,tidak
bida,bisa
geraktau,gerak
hpnya,hp
ngerestart,restart
ga,tidak
ngotak,otak
download,download
satuin,satu
sma,sama
cape,capek
gw,saya
level,level
tp,tapi
musuh,musuh
gg,gg
emang,memang
burik,burik
gila,gila
kasih,kasih
tim,tim
mvp,mvp
mendali,kendali
gold,gold
tetep,tetap
kalah,kalah
menag,menang
rank,rank
mantep,mantap
setingan,setting
kek,kayak
slot,slot
gm,game
bener,bener
bang,banget
gabungin,gabung
gara,gara
bagus,bagus
kesini,sini
setres,stres
khusus,khusus
moontonmasa,moonton
push,push
dpt,dapat
bot,bot
gmna,gimana
si,si
tolol,tolol
begokalo,bego
ngasih,kasih
lawan,lawan
tuh,tuh
setara,setara
paham,paham
sicapek,capek
hasil,hasil
pusat,pusat
meta,meta
legends,legend
strategi,strategi
metode,metode
menang,menang
tanding,tanding
berubahubah,ubah
seiring,iring
rilis,rilis
hero,hero
ubah,ubah
skill,skill
itemitem,item
tersedia,sedia
pilih,pilih
favorit,favorit
profesional,profesional
aplikasi,apk
tapiiii,tapi
masak,masak
dikasih,kasih
jago,jago
gilir,gilir
temen,temen
bott,bot
mn,mana
ank,anak
lhh,lah
klu,kalau
gini,gini
gem,game
drak,dark
muluuuuui,melu
smoga,semoga
kritik,kritik
trima,terima
diperbaiki,baik
gamenyaaaaaa,game
gua,saya
sumpahin,sumpah
allah,allah
bangkrut,bangkrut
rugi,rugi
ngegendong,gendong
beban,beban
maksud,maksud
lu,lu
mood,mood
gue,gue
sampein,sampai
yah,yah
orang,orang
suka,suka
ngingetin,inget
kegame,game
aj,aja
ngelag,lag
padhl,padahal
ak,aku
kaya,kaya
klo,kalau
ngga,tidak
lihat,lihat
lagg,lag
parah,parah
nga,tidak
season,season
parahhhhhhhhhhhhhhh,parah
solo,solo
kumpulin,kumpul
ajaaaaaa,aja
not,not
so,so
recommended,rekomen
egois,egois
blunder,blunder
saranin,saran
stress,stres
ngaruh,ngaruh
henti,henti
sinyal,sinyal
menurutku,turut
stabilin,stabil
lagisinyal,sinyal
msa,masak
merahpadahal,merah
cek,cek
dlu,dulu
atur,atur
yh,yah
hijau,hijau
ampas,ampas
disarankan,saran
mudah,mudah
marah,marah
tebar,tebar
gratis,gratis
skin,skin
bayar,bayar
mah,mah
normal,normal
brawl,brawl
losetreak,losestreak
coba,coba
hapus,hapus
anjng,anjing
mls,malas
treak,teriak
mulu,mulu
bohong,bohong
menit,menit
kelar,kelar
mh,mah
isi,isi
bochil,bocah
terbit,terbit
orng,orang
males,malas
alah,alah
minimal,minimal
durasi,durasi
lamain,lama
tdi,tadi
pick,pick
natalia,natalia
johnson,johnson
milih,pilih
bingung,bingung
sempet,sempet
belajar,ajar
gamauin,tidak
otomatis,otomatis
habis,habis
player,player
detik,detik
biar,biar
mondar,mondar
mandir,mandir
kepencet,pencet
gamau,tidak
saran,saran
semoga,semoga
kedepannya,depan
lbi,lebih
dapet,dapet
system,sistem
nama,nama
bego,bodoh
loby,lobi
contoh,contoh
kesel,kesel
losstreek,losestreek
sok,sok
nyata,nyata
ngetroll,troll
gajelas,gajelas
bayangin,bayang
iv,iv
turun,turun
epik,epic
iii,iii
masalh,masalah
insha,insha
alloh,alloh
ngimbangin,imbang
syarat,syarat
lobi,lobi
maaf,maaf
bintannya,bintang
krn,karena
sambung,sambung
server,server
mohon,mohon
da,dah
bintang,bintang
mobi,mobile
kikir,kikir
serakah,serakah
loss,lose
streak,streak
jarang,jarang
kuat,kuat
muntun,moonton
seimbangkan,imbang
gameplay,gameplay
event,event
gabisa,gabisa
jalan,jalan
diawal,awal
ijo,hijau
plis,plis
paketdata,data
gimana,gimana
bg,bang
digratisin,gratis
hadeh,hadeh
lgi,lagi
jls,jelas
bgt,banget
epic,epic
ni,nih
belom,belum
selesai,selesai
adil,adil
ex,ex
glory,glory
mawi,romawi
capek,capek
bet,banget
asli,asli
ngerank,rank
classic,klasik
rissing,rissing
yahh,yah
maen,main
mental,mental
sabar,sabar
updatean,update
bgttt,banget
sihh,sih
kurangin,kurang
nyaa,nya
nyerang,serang
lawanehgabisa,lawan
gerakin,gerak
karakter,karakter
akutrus,aku
nembak,nembak
bagustruss,bagus
tolongjangan,tolong
in,ini
heronyamasa,hero
macet²,macet
stabil,stabil
sampek,sampai
kedepanya,depan
redmi,redmi
support,support
hz,hz
bukak,buka
settingan,setting
refresrate,refresh
super,super
untuknya,untuk
min,admin
seimbang,imbang
puluhan,puluh
nge,nge
stack,stuck
itupun,itu
susah,susah
mythic,mythic
trus,terus
naikin,naik
bagus²,bagus
patah²,patah
gitu,gitu
dikit,dikit
minn,admin
udahh,sudah
koo,kok
jelek,jelek
wifi,wifi
sumpah,sumpah
dikasi,kasih
stres,stres
kasihan,kasih
monton,moonton
otak,otak
dipakek,pakai
revamp,revamp
granger,granger
appstore,appstore
siang,siang
handphone,hp
asa,asa
panas,panas
matchmaking,match
pro,pro
angin,angin
afkfeedtoxic,afk
pensiun,pensiun
mobil,mobil
kasi,kasih
kawan,kawan
komputer,komputer
nyaaku,nya
serius,serius
ngasi,kasih
malas,malas
hapasaja,hapus
wr,war
match,match
an,an
mvpemas,mvp
medal,medal
obsesi,obsesi
liat,liat
komentar,komentar
cari,cari
kerja,kerja
manfaat,manfaat
buang,buang
