term,replacement
ko,kok
kalo,kalau
log,log
in,in
pake,pakai
jaring,jaringan
wifi,wifi
masuk,masuk
aplikasi,aplikasi
yg,yang
lancar,lancar
banget,banget
pubg,pubg
mobile,mobile
sepi,sepi
match,match
making,making
nunggu,nunggu
menit,menit
nga,tidak
loby,lobi
udah,udah
pelit,pelit
pailit,pailit
server,server
login,login
games,game
berat,berat
mati,mati
hp,hp
pas,pas
nembak,nembak
maaf,maaf
bintang,bintang
kecewa,kecewa
gyroscope,gyroscope
diarahin,arah
bawan,bawa
pelan,pelan
sndiri,sendiri
turun,turun
atur,atur
udh,udah
bener,bener
ga,tidak
kebalik,balik
kalibrasi,kalibrasi
game,game
klik,klik
perbaiki,baik
bagus,bagus
sayang,sayang
device,device
mentok,mentok
hd,hd
high,high
ngeframe,frame
parah,parah
gaes,guys
frame,frame
dah,dah
teratasi,atas
skrg,sekarang
bnyk,banyak
nya,nya
bot,bot
rank,rank
gak,tidak
seru,seru
sumpah,sumpah
map,map
orang,orang
akun,akun
reset,reset
nyaman,aman
boot,bot
baning,baning
developer,developer
kurangi,kurang
pertemukan,temu
player,player
asli,asli
mode,mode
apapun,apa
haram,haram
gw,saya
trus,terus
ndwonload,download
data,data
mb,mb
gb,gb
google,google
malh,malah
ulang,ulang
lagii,lagi
tuuu,itu
ama,sama
parahhh,parah
coooooooo,coy
nyesellll,kesal
bangsd,bangsat
bug,bug
jalan,jalan
asu,anjing
update,update
gk,tidak
prbaiki,perbaiki
benerinah,benar
anj,anjing
gua,saya
bgus,bagus
jdi,jadi
lag,lag
bnget,banget
senjata,senjata
svd,svd
mg,mg
garand,garand
terima,terima
kasih,kasih
coba,coba
offline,offline
kayak,kayak
online,online
biar,biar
paket,paket
main,main
dear,dear
teruntuk,untuk
aman,aman
hormat,hormat
minimal,minimal
rendom,rendom
tau,tau
chiter,cheater
sangsinya,sanksi
cuman,cuma
cari,cari
heppy,happy
pengen,ken
jago,jago
atu,atau
detail,detail
ciduk,tangkap
aja,aja
bikin,bikin
salah,salah
