review,score,Label
garena plis benerin game masak pas asik main layar ff geter gak gerakin kalok udah gak niat ff seru minimal tutup aja lahh game matibanyak bugdark sistem dll sumpah kecewa kau garena udah gak seru moga cepat tanggap,1,Negatif
update sampah login tabrak abg yg main ga reconnect gamenya trs hitung afk kocak update sampahh,1,Negatif
tolong main game free fire sampe tolong baik lag parah pakesetelan rendah aja lagpadahal sinyal bagus chipset hp bagus hio g ultimate infinix not ngelag tolong baik terimakasih admin fire com,2,Negatif
game game burik main udah nggak main bug ya pas main br rangket coba berkalikali main masuk marah garena bug ya jaring ya tolong baik pas turun tanah berkalikali gulanggulang tolong baik update depan terimakasih maaf kalo bicara kotor mohon maaf,1,Negatif
ff ga seru gk main br rank kil nya kil kil bayang turun beh gua benci turun rank,2,Negatif
games nya bagus lgi klo main suka kluar tolong lh prbaiki lgi ni games ken main pol ganggu,1,Negatif
knp ff nya udh ku download skin ku ku ceh didownloadan ngebag tolong dibenerin min jngn kyk gitu update tolol game nya,1,Negatif
ku game nya bagus pass enak nya main ehh sinyal nya beli wfi ngeliat yg tiktok gk tuhh tolong kasih dm gerat gare naaaaaaaaaaaaaaaaaaaa,5,Positif
login main lag wifi lancar ping tim harap tolong baik,1,Negatif
ya game nya sih bagus bagus aja tolong garena game nya pelit skin spin mulu gak dapet dapet game bug nya tolong garena hapus bug pliss,5,Positif
main nya enak mabar suka mes nya gk habisin duit game nya bagus asik jugak suka main nya tagih,4,Positif
update free fire rusak bug nya udh bug mic bug sinyal merah tolong sistem tim nya cs garena gk penrah adil kasoh orng afk orang main musuh nya jago heran syaa mah game ff kdang musuh nya keras gk mati,1,Negatif
min garena ya data ff kedownload tombol glowall nya hilang download hapus download hapus rugi nyaman main glowall eskepal mohon garena tolong bantu main ff tenang,2,Negatif
gamenya bagus tapitolong akun ff ngebugudah download filetapi ga gabisa dipake bajunyamalah polos doang kalo pake baju senjatanyatolong baik,4,Positif
game nya bagus main gamenya suruh teman ku download game mabar teman,5,Positif
game nya bagus anda mode ultra ngelek bagus hd gk papa hp gue yng kentang game bagus terimakasih,5,Positif
gama gak akhlak bug player makek chit aim ku merah gak mati jaring aja,1,Negatif
gamenya seru males tim musuh ngecheat bahasa toxik suka sengaja kalah ngurung orang moga aja kayak gitu kena ben,5,Positif
wei garentod plsss by one cas br bug damage sg nya bikin ngesilin tod udah neng neng dapet sg bug damage nya garentod garentod benerin banget bug damage nya biar main senang hati main udah headshot gak mati mati ngeselin nih garentod,4,Positif
sya login tulis nya error download gagal suka kyk gt sampe blm trs jedag jedug sya maw pensi sy maw ngambil akun dlu ga gt si sy ksih bntang,1,Negatif
tolong baik gems nya pas ngk musu jaring baguss pas ketemu warr ngelek jaring gua baguss tolong baik,1,Negatif
ff gmn sih data udah download tetep aja skin lawan game nampak gak bedain player bot kacau kali ni ff,1,Negatif
kalo main gak musuh gak ngeleg kalo pas musuh langsung ngelegapa login nya banget baik garena kadang main,1,Negatif
game nya bagus login jaring dah bagus knpa susah login kirim lapor loginjdi tolong baik lgi yaaaasukses,4,Positif
spinan free fire untung tingkat hoki free fire minim diamond banyak kasih menang hadiah pin rugi harga spinan mahal diamond tambah kali spin game settingan tolong baik tangan server spinan tarik hadiah spinan jamin,1,Negatif
