content,score,Label,text_clean,text_Stopword,text_tokens,text_steamindo
"Garena plis lah benerin ini game masak pas lagi asik main tiba tiba layar ff geter sendiri mana gak bisa di gerakin lagi, kalok udah gak niat buat ff seru minimal tutup aja lahh game hampir mati,banyak bug,dark sistem dll sumpah kecewa aku sama kau Garena udah gak seseru dulu. Semoga cepat di tanggapi",1,Negatif,garena plis lah benerin ini game masak pas lagi asik main tiba tiba layar ff geter sendiri mana gak bisa di gerakin lagi kalok udah gak niat buat ff seru minimal tutup aja lahh game hampir matibanyak bugdark sistem dll sumpah kecewa aku sama kau garena udah gak seseru dulu semoga cepat di tanggapi,garena plis benerin game masak pas asik main layar ff geter gak gerakin kalok udah gak niat ff seru minimal tutup aja lahh game matibanyak bugdark sistem dll sumpah kecewa kau garena udah gak seseru semoga cepat tanggapi,"['garena', 'plis', 'benerin', 'game', 'masak', 'pas', 'asik', 'main', 'layar', 'ff', 'geter', 'gak', 'gerakin', 'kalok', 'udah', 'gak', 'niat', 'ff', 'seru', 'minimal', 'tutup', 'aja', 'lahh', 'game', 'matibanyak', 'bugdark', 'sistem', 'dll', 'sumpah', 'kecewa', 'kau', 'garena', 'udah', 'gak', 'seseru', 'semoga', 'cepat', 'tanggapi']",garena plis benerin game masak pas asik main layar ff geter gak gerakin kalok udah gak niat ff seru minimal tutup aja lahh game matibanyak bugdark sistem dll sumpah kecewa kau garena udah gak seru moga cepat tanggap
"update sampah, tiap mau login terus ketabrak sama abg yg lagi main malah ga reconnect ke gamenya trs malah dihitung afk kocak, update sampahh!!",1,Negatif,update sampah tiap mau login terus ketabrak sama abg yg lagi main malah ga reconnect ke gamenya trs malah dihitung afk kocak update sampahh,update sampah login ketabrak abg yg main ga reconnect gamenya trs dihitung afk kocak update sampahh,"['update', 'sampah', 'login', 'ketabrak', 'abg', 'yg', 'main', 'ga', 'reconnect', 'gamenya', 'trs', 'dihitung', 'afk', 'kocak', 'update', 'sampahh']",update sampah login tabrak abg yg main ga reconnect gamenya trs hitung afk kocak update sampahh
"Tolong dong saya main game free fire dari 2019 sampe sekarang tolong dong perbaiki kenapa sekarang tiba tiba lag parah terus mau pake,,,setelan rendah ,tinggi sama aja lag,,padahal sinyal bagus chipset hp bagus Helio G99 ultimate infinix not 40 masa ngelag terus tolong di perbaiki terimakasih admin @free fire. com",2,Negatif,tolong dong saya main game free fire dari  sampe sekarang tolong dong perbaiki kenapa sekarang tiba tiba lag parah terus mau pakesetelan rendah tinggi sama aja lagpadahal sinyal bagus chipset hp bagus helio g ultimate infinix not  masa ngelag terus tolong di perbaiki terimakasih admin  fire com,tolong main game free fire sampe tolong perbaiki lag parah pakesetelan rendah aja lagpadahal sinyal bagus chipset hp bagus helio g ultimate infinix not ngelag tolong perbaiki terimakasih admin fire com,"['tolong', 'main', 'game', 'free', 'fire', 'sampe', 'tolong', 'perbaiki', 'lag', 'parah', 'pakesetelan', 'rendah', 'aja', 'lagpadahal', 'sinyal', 'bagus', 'chipset', 'hp', 'bagus', 'helio', 'g', 'ultimate', 'infinix', 'not', 'ngelag', 'tolong', 'perbaiki', 'terimakasih', 'admin', 'fire', 'com']",tolong main game free fire sampe tolong baik lag parah pakesetelan rendah aja lagpadahal sinyal bagus chipset hp bagus hio g ultimate infinix not ngelag tolong baik terimakasih admin fire com
Game game burik 🤬😡 baru main udah nggak bisa main malah keluar sendiri terus 1. Bug ya pas lagi main br rangket sama bapak aku malah keluar sendiri aku coba berkali-kali untuk main akhirnya masuk tapi keluar lagi itu yang membuat aku sangat marah ke Garena 2. Bug ya jaringan ya tolong di perbaiki pas mau turun di tanah berkali-kali gulang-gulang sendiri tolong di perbaiki untuk update kedepannya terimakasih Semua 🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏 maaf kalo ada pembicaraan yang kotor mohon maaf,1,Negatif,game game burik  baru main udah nggak bisa main malah keluar sendiri terus  bug ya pas lagi main br rangket sama bapak aku malah keluar sendiri aku coba berkalikali untuk main akhirnya masuk tapi keluar lagi itu yang membuat aku sangat marah ke garena  bug ya jaringan ya tolong di perbaiki pas mau turun di tanah berkalikali gulanggulang sendiri tolong di perbaiki untuk update kedepannya terimakasih semua  maaf kalo ada pembicaraan yang kotor mohon maaf,game game burik main udah nggak main bug ya pas main br rangket coba berkalikali main masuk marah garena bug ya jaringan ya tolong perbaiki pas turun tanah berkalikali gulanggulang tolong perbaiki update kedepannya terimakasih maaf kalo pembicaraan kotor mohon maaf,"['game', 'game', 'burik', 'main', 'udah', 'nggak', 'main', 'bug', 'ya', 'pas', 'main', 'br', 'rangket', 'coba', 'berkalikali', 'main', 'masuk', 'marah', 'garena', 'bug', 'ya', 'jaringan', 'ya', 'tolong', 'perbaiki', 'pas', 'turun', 'tanah', 'berkalikali', 'gulanggulang', 'tolong', 'perbaiki', 'update', 'kedepannya', 'terimakasih', 'maaf', 'kalo', 'pembicaraan', 'kotor', 'mohon', 'maaf']",game game burik main udah nggak main bug ya pas main br rangket coba berkalikali main masuk marah garena bug ya jaring ya tolong baik pas turun tanah berkalikali gulanggulang tolong baik update depan terimakasih maaf kalo bicara kotor mohon maaf
"Ff ga seru lagi ,GK seperti dulu, dulu kalau main br rank kalau kil 7 pasti naik nya 45 ,sekarang apa 25 kil 8, 17 kil 3 bayang kan kalau turun beh ini yang paling gua benci kalau turun rank pasti lebih dari 45 30",2,Negatif,ff ga seru lagi gk seperti dulu dulu kalau main br rank kalau kil  pasti naik nya  sekarang apa  kil   kil  bayang kan kalau turun beh ini yang paling gua benci kalau turun rank pasti lebih dari  ,ff ga seru gk main br rank kil nya kil kil bayang turun beh gua benci turun rank,"['ff', 'ga', 'seru', 'gk', 'main', 'br', 'rank', 'kil', 'nya', 'kil', 'kil', 'bayang', 'turun', 'beh', 'gua', 'benci', 'turun', 'rank']",ff ga seru gk main br rank kil nya kil kil bayang turun beh gua benci turun rank
Games nya bagus tapi masih kurang 1 lgi klo main suka kluar sendiri tolong lh di prbaiki lgi ni games saya pengen main pol tanpa ada gangguan,1,Negatif,games nya bagus tapi masih kurang  lgi klo main suka kluar sendiri tolong lh di prbaiki lgi ni games saya pengen main pol tanpa ada gangguan,games nya bagus lgi klo main suka kluar tolong lh prbaiki lgi ni games pengen main pol gangguan,"['games', 'nya', 'bagus', 'lgi', 'klo', 'main', 'suka', 'kluar', 'tolong', 'lh', 'prbaiki', 'lgi', 'ni', 'games', 'pengen', 'main', 'pol', 'gangguan']",games nya bagus lgi klo main suka kluar tolong lh prbaiki lgi ni games ken main pol ganggu
Ini knp ff nya udh ku download semua tapi belum kelihatan skin ku terus ku ceh didownloadan ngebag tolong dibenerin min jngn kyk gitu semakin update semakin tolol game nya,1,Negatif,ini knp ff nya udh ku download semua tapi belum kelihatan skin ku terus ku ceh didownloadan ngebag tolong dibenerin min jngn kyk gitu semakin update semakin tolol game nya,knp ff nya udh ku download skin ku ku ceh didownloadan ngebag tolong dibenerin min jngn kyk gitu update tolol game nya,"['knp', 'ff', 'nya', 'udh', 'ku', 'download', 'skin', 'ku', 'ku', 'ceh', 'didownloadan', 'ngebag', 'tolong', 'dibenerin', 'min', 'jngn', 'kyk', 'gitu', 'update', 'tolol', 'game', 'nya']",knp ff nya udh ku download skin ku ku ceh didownloadan ngebag tolong dibenerin min jngn kyk gitu update tolol game nya
Menurut ku game nya bagus. Tapi pass lagi enak nya main ehh malah sinyal nya 999+ padahal aku baru beli wfi. Ngeliat yg lain semacam tiktok gk tuhh. Dan tolong kasih aku DM geratis Gare naaaaaaaaaaaaaaaaaaaa,5,Positif,menurut ku game nya bagus tapi pass lagi enak nya main ehh malah sinyal nya  padahal aku baru beli wfi ngeliat yg lain semacam tiktok gk tuhh dan tolong kasih aku dm geratis gare naaaaaaaaaaaaaaaaaaaa,ku game nya bagus pass enak nya main ehh sinyal nya beli wfi ngeliat yg tiktok gk tuhh tolong kasih dm geratis gare naaaaaaaaaaaaaaaaaaaa,"['ku', 'game', 'nya', 'bagus', 'pass', 'enak', 'nya', 'main', 'ehh', 'sinyal', 'nya', 'beli', 'wfi', 'ngeliat', 'yg', 'tiktok', 'gk', 'tuhh', 'tolong', 'kasih', 'dm', 'geratis', 'gare', 'naaaaaaaaaaaaaaaaaaaa']",ku game nya bagus pass enak nya main ehh sinyal nya beli wfi ngeliat yg tiktok gk tuhh tolong kasih dm gerat gare naaaaaaaaaaaaaaaaaaaa
"Saya tidak bisa login dan saat main sangat lag, padahal wifi saya lancar ping di atas 100 dan mendapatkan tim yang tidak diharapkan tolong perbaiki ini",1,Negatif,saya tidak bisa login dan saat main sangat lag padahal wifi saya lancar ping di atas  dan mendapatkan tim yang tidak diharapkan tolong perbaiki ini,login main lag wifi lancar ping tim diharapkan tolong perbaiki,"['login', 'main', 'lag', 'wifi', 'lancar', 'ping', 'tim', 'diharapkan', 'tolong', 'perbaiki']",login main lag wifi lancar ping tim harap tolong baik
Ya game nya sih bagus bagus aja tapi tolong Garena game nya jangan pelit skin aku spin Mulu gak dapet dapet dan game banyak bug nya tolong Garena dihapus semua bug pliss,5,Positif,ya game nya sih bagus bagus aja tapi tolong garena game nya jangan pelit skin aku spin mulu gak dapet dapet dan game banyak bug nya tolong garena dihapus semua bug pliss,ya game nya sih bagus bagus aja tolong garena game nya pelit skin spin mulu gak dapet dapet game bug nya tolong garena dihapus bug pliss,"['ya', 'game', 'nya', 'sih', 'bagus', 'bagus', 'aja', 'tolong', 'garena', 'game', 'nya', 'pelit', 'skin', 'spin', 'mulu', 'gak', 'dapet', 'dapet', 'game', 'bug', 'nya', 'tolong', 'garena', 'dihapus', 'bug', 'pliss']",ya game nya sih bagus bagus aja tolong garena game nya pelit skin spin mulu gak dapet dapet game bug nya tolong garena hapus bug pliss
