content,score,Label
"Garena plis lah benerin ini game masak pas lagi asik main tiba tiba layar ff geter sendiri mana gak bisa di gerakin lagi, kalok udah gak niat buat ff seru minimal tutup aja lahh game hampir mati,banyak bug,dark sistem dll sumpah kecewa aku sama kau Garena udah gak seseru dulu. Semoga cepat di tanggapi",1,Negatif
"update sampah, tiap mau login terus ketabrak sama abg yg lagi main malah ga reconnect ke gamenya trs malah dihitung afk kocak, update sampahh!!",1,Negatif
"Tolong dong saya main game free fire dari 2019 sampe sekarang tolong dong perbaiki kenapa sekarang tiba tiba lag parah terus mau pake,,,setelan rendah ,tinggi sama aja lag,,padahal sinyal bagus chipset hp bagus Helio G99 ultimate infinix not 40 masa ngelag terus tolong di perbaiki terimakasih admin @free fire. com",2,Negatif
Game game burik 🤬😡 baru main udah nggak bisa main malah keluar sendiri terus 1. Bug ya pas lagi main br rangket sama bapak aku malah keluar sendiri aku coba berkali-kali untuk main akhirnya masuk tapi keluar lagi itu yang membuat aku sangat marah ke Garena 2. Bug ya jaringan ya tolong di perbaiki pas mau turun di tanah berkali-kali gulang-gulang sendiri tolong di perbaiki untuk update kedepannya terimakasih Semua 🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏 maaf kalo ada pembicaraan yang kotor mohon maaf,1,Negatif
"Ff ga seru lagi ,GK seperti dulu, dulu kalau main br rank kalau kil 7 pasti naik nya 45 ,sekarang apa 25 kil 8, 17 kil 3 bayang kan kalau turun beh ini yang paling gua benci kalau turun rank pasti lebih dari 45 30",2,Negatif
Games nya bagus tapi masih kurang 1 lgi klo main suka kluar sendiri tolong lh di prbaiki lgi ni games saya pengen main pol tanpa ada gangguan,1,Negatif
Ini knp ff nya udh ku download semua tapi belum kelihatan skin ku terus ku ceh didownloadan ngebag tolong dibenerin min jngn kyk gitu semakin update semakin tolol game nya,1,Negatif
Menurut ku game nya bagus. Tapi pass lagi enak nya main ehh malah sinyal nya 999+ padahal aku baru beli wfi. Ngeliat yg lain semacam tiktok gk tuhh. Dan tolong kasih aku DM geratis Gare naaaaaaaaaaaaaaaaaaaa,5,Positif
"Saya tidak bisa login dan saat main sangat lag, padahal wifi saya lancar ping di atas 100 dan mendapatkan tim yang tidak diharapkan tolong perbaiki ini",1,Negatif
"Woi Garena, kalian kalo ngasih musuh habis seasin itu ngotak dikit lah, gw cs baru turun ke gold 4 dikasih musuh macam heroik, tolong lah betul dikit rawat game kalian ini",3,
Ya game nya sih bagus bagus aja tapi tolong Garena game nya jangan pelit skin aku spin Mulu gak dapet dapet dan game banyak bug nya tolong Garena dihapus semua bug pliss,5,Positif
"saya suka game ini bagus, cara main nya juga bagus, gamenya juga menantang, tapi satu kekurangan yaitu saya tidak suka boyah pass sekarang, saya lebih suka ellit pass yg dulu dari pada boyah pass, dulu ff game yg bagus,sempurna,dan player player yg dulu itu sopan sopan tanpa hinaan,saya mohon kembaliin ff yg dulu sekian terima kasih.",3,
"main nya enak bisa mabar aku suka mines nya aku gk mau habisin duit , game nya bagus kok asik jugak aku suka main nya sampai ketagihan",4,Positif
"Update sekarang free fire makin rusak dan banyak bug nya lah , udh bug mic sekarang bug sinyal tiba² merah tolong sistem tim nya kalau di cs garena gk penrah adil sering di kasoh orng afk orang baru main sedangkan musuh nya jago² heran syaa mah sama game ff kdang musuh nya keras² gk mati²",1,Negatif
"min garena kenapa ya setiap data ff saya kedownload pasti tombol glowall nya hilang (tidak bisa digunakan) dari dulu selalu begitu, saya sudah sangat amat sering download hapus download hapus dan itu membuat saya rugi, saya tidak nyaman jika bermain tanpa menggunakan glowall (eskepal). MOHON GARENA TOLONG BANTU SAYA, SAYA MAU BERMAIN FF DENGAN TENANG.",2,Negatif
"Gamenya bagus tapi,Tolong akun ff saya ngebug,udah download semua file,tapi ga gabisa dipake semua bajunya,malah polos doang kalo pake baju dan senjata²nya,tolong perbaiki.",4,Positif
game nya sangat bagus sekali aku setiap hari mainkan gamenya aku juga suruh teman ku buat download game ini dan bisa Mabar sama teman.,5,Positif
game nya sangat bagus seandainya saya menggunakan mode ultra tidak ngelek pasti sangat bagus dan hd tapi gk papa ini mungkin hp gue yng kentang sekali lagi ini game sangat bagus terimakasih😊,5,Positif
Gama ini gak ada akhlaknya karena banyak bug dan player yang makek chit padahal aim ku merah tapi gak mati padahal jaringan saya biasa aja,1,Negatif
Gamenya seru juga tapi aku males sama tim juga musuhnya yang ngecheat atau bahasanya toxik juga suka sengaja kalah ngurung2 orang semoga aja yang kayak gitu kena ben,5,Positif
Saya kasih bintang tiga Karna saya membeli sebuah item yang seharga 3 ribu rupiah di dalam permainan dan item yang saya beli tidak ada atau tidak dikirim mohon untuk developer perbaiki masalah ini terimakasih,3,
"Wei Garentod plsss kita mau by one cas br itu bug damage SG nya itu bikin ngesilin tod udah seneng seneng dapet SG malah ada bug damage nya garentod , garentod benerin lah penting banget itu bug damage nya biar bisa main senang hati tadi aku main udah headshot gak mati malah aku yang mati ngeselin nih garentod",4,Positif
"sya setiap login tulisan nya ""error "" download kembali gagal"" suka kyk gt sampe sekarang blm bisa trs jedag jedug sya maw pensi tapi sy maw ngambil akun dlu malah ga bisa kok gt si. #sy ksih 1 bntang.",1,Negatif
"Tolong perbaiki gems nya, masa pas ngk ada musu jaringan baguss pas ketemu warr malah ngelek padahal jaringan gua baguss, tolong perbaiki 🙏",1,Negatif
Ff sekarang gmn sih ? Data udah ke download semua tapi tetep aja skin lawan di dalam game tak nampak. Jadi gak bisa bedain mana player mana bot. Kacau kali ni ff sekarang.,1,Negatif
Kenapa kalo main gak ada musuh gak ngeleg kalo pas ada musuh langsung ngeleg.apa lagi login nya lama banget Perbaiki dong Garena Kadang juga lagi main keluar sendiri,1,Negatif
Game nya bagus sekali tetapi masih ada masalah saat login saya jaringan dah bagus tetapi knpa susah login harus kirim laporan dulu baru bisa login.....jdi tolong diperbaiki lgi yaaaa..sukses,4,Positif
Spinan free fire kurang kurang menguntungkan tingkat kehokian free fire sangat minim meskipun harus keluar diamond sebanyak banyaknya tetap saja tidak pernah dikasih menang hadiah sepinan di mana ini sangat merugikan sekali dan juga harga untuk spinan sebagian terlalu mahal seperti diamond bertambah setiap kali spin saya kira game ini seperti settingan tolong perbaiki tangani masalah ini tidak seperti server luar spinan sangat menarik dan hadiah spinan terjamin,1,Negatif
"napa pada banya bug sii ,yang bug glowal lah,bug suaralah ,updte an nya kurang bikin para player ngeluhh tolong lah garena benerin kerusakan nya gara"" season skrang temn gw pada pensi bnyak keluhan tentang bug",2,Negatif
"Tombol glo wall ngebug, pas dipencet gk keluar padahal sinyalnya lancar, pokoknya banyak bugnya dah",1,Negatif
Mantapnya gerafik nya yang dulu burik sekarang mantap eh tapi seruan dulu terening nya misi sanggat bagus gua kasih bintang 5 soal nya mantap betul,5,Positif
"Saya tadi mau login ff, terus ff nya ga bisa di bukak udh beberapa kli sta buka ga bisa, tolong bug nyaa ini gimana yaa??",2,Negatif
Hallo! Garena aku mau ngasih saran buat yang lagi bersedih 1.kembalikan PEAK Old kami 2.kembalikan senjata Old kami 3.kembalikan training Old kami 4.kembalikan seperti dulu 5.kembalikan social island kami 6.kembalikan kendaraan digame ini Tolong garena kembalikan seperti dulu Saya mohon banget ya,4,Positif
Makin kesini makin ada bocil plat nomor Garena tolong bocil yang baru main jangan di kasih nama plat nomor soalnya nge trolll tolong di perbaikan!!!!!!!!,1,Negatif
"Oi oi oi garena kalo mau lebih bagus itu tambah in lah fitur save replay ke galery biar bisa disimpan kan tujuan nya gitu, masa cuma bisa nge save di ff nya doang. jadi intinya tolong tambahkan fitur replay game yang bisa di ekstrak ke galeri biar bisa disimpan",3,
Game patah jaringan gak lancar update bukanya menghilang bug malah tambah kenapa ya jaringan ni di lobby aman aman aja pas main br atau cs langsung ngelag lagi Astaga update juga bikin tambah rumit game nya yang di urusan bundle bukan bug nya cape jir kalah mulu untuk update kalo ini gak makin kagak jelas,1,Negatif
"Gamenya tambah sepi, spinan susah didapat padahal habis dm banyak, jaringan nya leg terus padahal sinyal bagus, event gajelas, makin kesini updateannya makin gajelas , game burik",1,Negatif
Game nya si bagus tapi agak ngeselin pas main cs rangked dan cs biasa apalagi suka ihilang akun saya dan juga suka ngebag saya udah selesai pertandingan tiba tiba eror gak masuk lobbi dulu itu aja si game tolong di perbaiki lagi ya terima kasih tapi as saya mau mau coba kode Redeem kok malah eror harus Nya kan udah konfirmasi eh malah eror Garena jangan pilih kasih dong giliran ke orang aja di kasih giliran ke saya aja kagak dapet ok terimakasih,4,Positif
"Gw kasih bintang 4 dulu karena Epep gk kayak dulu, kenapa soalnya aku main selalu patah patah padahal grafik udah smooth banget kenapa sih data free fire banyak gk kayak dulu, dulu gw main ff dari tahun 2020-2021 masih lancar main ff sekarang beda apa apa patah",4,Positif
Game burik game mati semua player bot termasuk garena bot juga honor payah di naikin udah main berkali kali gak juga naik dan keluarkan lah dm biru gratis di event untuk spin spin,2,Negatif
