review,score,Label
pantesan main rank bolak gak sistem nya pasang bot tutup sepi main nya cari matching aja butuh durasi menit detik dah game sepi banyak bot biar gak sepi nih game pantesan aja sulit rank,1,Negatif
udah main season oke dah lumayan catch up player smurf tetep ae tolong patch nya kondisi dikit buffnerf dikit rilis hero pusing anj udh dpt hero power langsung hrs nyesuaiin revamp model heroskin nya segera tolong goreng shop matchmaking nya tolong jauh bocah all role yg kaga hero power gendong nyampe gm gak bgsd udh download ulang data stuck menginstall anj,1,Negatif
game pagi ny suruh suruh jdi ny afk cmn x langsung diturunin dri poin kocak bet gabisa ngerank jdi ny males bet kontoll skrng muncul lg bug dimna mendownload data game gb tp ttp hero bulet bulet,2,Negatif
update gamenya berat udah pake ting low yg stabil fps drop fps,1,Negatif
pas ken login honor of king nya ngelag banget pas main kaya bug gitu pas main nya item nya muncul koin nya kurang ken beli,2,Negatif
tampil bagus pilih lane yg rebut timtapi kalo baik bug suara chat kadang kadang gak suara oke aja,5,Positif
game ampas masuk lobby aja ngefreeze udah ngapus memori aja niat kagak sih wifi lancar main ml lancar bet kagak download mudah apus aja bagus kagak mainin menuh menuhin memori lumayan ml ngasih skinnya ya pokok download game ampas,1,Negatif
hai mekanisme cocok dasar kuat tim kerja main game pengaruh hasil match saran komunikasi rekan tim main teman alami aplikasi hubung dukung main game aaron tim litbang hok,1,Negatif
tolong benerin matchmaking akun gw kucing putih dapet tim gbik match kalo menang gendong iya gw gendong kalo tim gw kerja mati doang maen gm kompetitif dikerjain anjg gw nih ml event tuh lawan saing lo edit aja gw dapet tim orang bot musuh player yg bener aja ngtd,1,Negatif
geme nya jlek banget kadang suka bug sinyal lancar kadang gak masuk emosi mainin geme tolong banget baik ya seru bugnya ngalangin kalo main tolong baik ya,1,Negatif
hok main yg lapor tolong jelas main harap serta profil kecewa kadang lapor alesannya main bagus suka teman team tp team musuh yg lapor berat,2,Negatif
baik serius bagi team pindah rank sulit tolong perhati player filipina banyak player nya troll dark system bot kalah game mobile legends baik,1,Negatif
game nya bagus kadang dark sistem nya kdang lag nya suka segi grafik bonus game karna gratis hadia nya semangat player hok tolong adain event hero ukhoyo tacibana carlote,5,Positif
game bagus sayang system pilih match nya buruk bagus mobile legend game rating baik lost streak nya gak ngotak,1,Negatif
tim banyak bot liahat riwayat main nama akun msby main tanding mana main tim bot tolong benerin sistem jgn kayak gamenya rame sistem,1,Negatif
bagus bahak beli hero skin worth it banget cuman tolong masukkin bot tim tolong sembarang hubung main aneh aja gitu niat ngebersihin lane gak jebol tahan anggap sengaja mati gimana sih,5,Positif
tanding peak cipta lingkung buruk ranked seringkali lawan padan rank milik kali masuk match layar tunggu aplikasi akun main bot tanda main minat kembang aplikasi baik main permai buruk,1,Negatif
bagus lumayan saing kurang hok bot mager bet ketemu bot tolol tolong kasih player aja dah asa jg udh tembus juta download sepi yg maen jg kalo dapet tim kek malay sm ph maen kek tolol ngefeed g ngechat jg pake bahasa mandarin ribet g paham mending server negara aja biar komunikasi lancar sm g ketemu orng tolol bagi team match jg ga team dng musuh beda jd ga imbang tolong baik,2,Negatif
tim yg gw dapet dark lost napasih udh kayak yg belah ngelek gw udh grand master tim dark sistem capek banget gw main solo sumpahhhh tolong don baik sistem dumpah,1,Negatif
maaf main aktif kesal sistem report mudah timbang ketat kompensasi usaha jaga team fight game belah sedia reputasi main main rank reputasi juang reputasi susah developer kalo main banyak main rank normal,1,Negatif
kasih bintang galenus bagus kasih tolong baik sizenya versi litenya unduh memori gb mb kasih tau unduh dongkel kualitas versi ful sizenya mb gitu oke sehat mohon,2,Negatif
game nya bagus banget sih gk bug sma pokok suka bgt game cuman kl naikin levelrank tuh tp gk yg game nya seru,5,Positif
cs nya bagus harap responsif lapor main opsional milik keluh main sekian terimakasih,4,Positif
kecewa jaring jumping kuning merah sinyal g full gak efek tim beda negara gimana depan tolong baik ganggu gameplay,1,Negatif
maaf salah rating bintang kali ganti rating bintang kali main koneksi terkadang lancar main terimakasih honor of kings,5,Positif
aman aman kayak main hok player jemu game sistem draf main yg imbang level tim level lawan tim level master master lawan grenmaster yg nampak bug tim gua kalah servernya random bngt inti tolong baik dark sistem yg gak masuk akal karna bikin bosan kasih bintang,2,Negatif
game update suka ngebugmasal tolong baik pencet loh,1,Negatif
matchmaking imbang naik rank sulit musuh main lihai teman main bodoh lose streak makan seharihari,1,Negatif
game buruk seru main game seru hok ml eh update buruk aja hok pas loading screen ngestuck gabisa masuk login ulang ml aja ga gitu tolong diperbaikin udah jadi malesin banget uninstall aja nih game,1,Negatif
game nya bagus suka suka matchmaking nya dikit capai legend selipin bot role roam tolong baik matchmaking nya karna main kasih bot,2,Negatif
mah kerennn banding game udah tpi gak benefit fokus bedain kasta gak mentingin skill yg top up kasta tinggi yg penting gak chat game krna server game y urus orang baper tingkat dewa salah chat ban kredit skor incar makay sy pindah game,5,Positif
tolong developer terkadang musuh dark system sentuh rank grandmaster turun master tolong lawan team nya logis mood main please read this,1,Negatif
bagus grafik nya main mudah ketemu player ranked match team imbang lawan musuh otomatis random sayang game orang main posisi tengah lawan vs mode ranked moga baik fitur ranked random match solo player duo trio full team,4,Positif
game gak minat game ngestuck bug gk cocok hp ram aja ram patah patah ngestuck hp ram game belah gitu model ramah hp ram aja game gk minat,1,Negatif
gw nyesel dah main game hok bilang pilih lanebuktinya gw pilih utama farm lane roam kasih pilih klo ngak baik gw henti main hokbilangnya milih ngak kasih pilihanmalah maksa lgi kali main kasih pilih tolong developer gw main farm lane,1,Negatif
game nya seru knp nge frame mulu pas macth gua nunggu menit kadang kaga pencet game nya tolong perbaikin sayang game seru kualitas nya ngeframe kaya gin,2,Negatif
gua ubah retingnya karna game ngebuk iya layar gamenya tutup tombol luar game aman pas lobi pas game land hilang belah,2,Negatif
kasih tim bot jago ya hero pick rekan tim milik status adept apa ngetroll sebab kalah terus rekam tim tolong baik masuk rank master kayak rank neraka deh,2,Negatif
mohon maaf developer butuh bantu aplikasi alami ganggu masuk aplikasi login notifikasi baru penginstal gagal wifi jaring lancar masalah simpan aplikasi bayang bersih login laku kali mngikuti develepor ulas aplikasi bisabisakah developer bantu atas sya rating ulang,2,Negatif
overall udah bagus ping turun respon tombol next match tombol exit kali masuk game lambat jaring stabil hero sun ce ngebug kalo tim lawan kali ulti hero serang langsung diem skin bolt hunter lam bug pov syal yg kibar banget tolong baik,4,Positif
tolong baik sistem match ny tim bot sistem draf rank buruk kalah jaring main selau buruk pakai game lancar cheater tolong basmi,1,Negatif
sebenernya ken nyoba aja game hok tuh kyk gimana pas nyoba tutorial tuh lumayan seru selesai pase tutorial nyari match aja gak udah kali coba tetep aja gk masuk lobi aja lag nya ampun ya malum hp kentang gtu aja gtu kayak mobile legend ngga berat eh berat banget sampe masuk lobi aja ngeleg parah kalo tolong ukur nya ringan kayak ml,1,Negatif
halo honores developer game buat suka game moba apresiasi usaha developer moga game keren bagus dahsyat i know you can do it terima kasih semangat,5,Positif
gw saran developersekarang pikir eventtapi tolong beda kaum top up samam kaum konten creatorseperti token hasil konten kreator beli skin shopsedangkan token top up biisa gacha event skin flawes xiao qiao gak beda gw gak minat top upmereka iri dgn token hasil kreatorsedangkan habis uang skin flawesstolong pikir,2,Negatif
gua pindah game belah kesan game gak siksa mata koneksi stabil itusi pertahanin gak enak banget udah pakai hp suport koneksi bagus kkok leg harap koneksi pertahanin oouji koneksi udah hagk jaring,5,Positif
ngasih tim tuh jgan server ph indonesia ngetroll mulu min capek gw main ngasihnya land mid mulu gw usher farm lane yg kasih farm lane ngga bsa main farm land ngga beda ama game belah gw kirain beda ajah ngasih tim,1,Negatif
mode latih yg imbang knp tim lawan ai team palyer download ga paham map ai musih paham bener main map,5,Positif
tolong baik main rank lag ga pencet spa udah spam ga ngerespon jaring lancartolong baik retting bintang,2,Negatif
bagus tolong jaring matchmaking baik,5,Positif
grafis dukung perangkat ku gameplay nya main normal bug erti herokarakter nya evaluasi imbang adil segi mampu kuat nya sekian,4,Positif
tolong tencent baik match making bintang ketemu tim bintang udahlah main ga sesuai alias wae ga,1,Negatif
tolong baik sistem matchmakingnya kesal ranked tim main feeder rugi bintang rank main pindah game menguninstall laku review buruk terimakasih hari uninstall sehat mental,1,Negatif
gamenya bagus jarang ngefreze kayak game belah developer nya hati terimakasih game minus player nya dark system main kayak bot gw curiga yg main beneran bot sih,5,Positif
stak turun master udah gm ls w bjir gak beda ama belah dark sistem ayo bro lelah roamer gak harga game sistem mvp nya aneh roamer pajang kasih protek star kontribusi,2,Negatif
bagus sih cuman durasi stun hero hero gila gak ngotak tolong durasi stuner hero hero mage timbang banyak hero mid laner skil stun milik durasi repot user jungle class tolong hapus sistem bot game please rugi bot tier rendah darksistem bot tolong hilang gameplay sesuai tiernya,5,Positif
update bantu event developer pelit moga depan nya ramai game nomer dunia moga lancar main pakai infinix smart terkadang fps drop stabil moga mode ringan stabil fps,5,Positif
game moba bagus main ndak kayak game belah developer kikir rumah dark system manusia sabar setip tisu keluar nya hok balik nya ndak temu manusia toxic hok developer kembangin hok nya biar pindah game belah sepi,5,Positif
maaff cocok apa min kali main solo dapet tim yg rank nya gak sesuai jujur aja min jaman rank diamond aja tim gold pas udh gm main solo tim master master dri tau ya main suka invt teman terima alangkah kejut cek profil inti player murni mah tolong baik aja cocok berantas tuh cheater joki resah banget minn,1,Negatif
akun kena tuduh using third party tool that harms the gaming environment maksud ya main solo rank kalah match selesai muncul pemberitahuan kena suspend astaga ganggu nyaman lu sistem buruk ga top up game disupport timbal balik gin bye,1,Negatif
kecewa bgt player barumasa kasih musuh nya yg jago jago mulu rank gold bisa lostrek main aneh bgtbikin bosen aja hrusnya player tuh kasih musuh ny yg aja player ken ngerasain menang trus gttu have fun jdinyalah stress bgt kalah trus mohon balas nya min,2,Negatif
login game nya login muat game masuk game update login screen nya ubah tolong baik,2,Negatif
apk bagus saran tolong pilih hero hero tampil hero lane masingmasing nama milady junglingmilady farm lane angela claslane hou yi midlane sunbin lane sekian terimakasih,5,Positif
tolong baik freze gamekarna ganggu macth rank setel udah ubah rendaj aja ngefreze mohon tanggap nya kalo game rame,1,Negatif
sebenernya suka game gameplay nya sistem peringkat nya sistem yg bobrok bot sistem report kurang reputasi yg aneh orang yg beneran ngefeed make hero aneh aman yg ngefeed lock musuh sengaja kena make spell yg off kaya flash ganti stun purify alas kena yg alam main masterpiece b,1,Negatif
semangat rilis pikir kog turun efek graphic main nikmat graphic efek skin senang pro player,1,Negatif
game nya bagus grafik bagusapalagi gameplaycuman kalo ketemu player philipina kalahmatchmaking darksistemnya parah nih player yg coba hero mode rank,1,Negatif
matchingnya kacau dark system sekali dapet tim bagus musuh lemah sekali dapet tim lemah lawan op gak imbang udah disetting kali kalah kali kasih menang udah milih lane masuk room lane utama farm lane lane roamer dapetnya roamer gk main maksimal intinyamatchingnya keq sampah,1,Negatif
kecewa update koneksi jelek buruk main game ml game lainny sinyal lancar gak ngeleg sinyal pakai wifi aja ngeleg kaku patah terkadang analog main gak arah musuh sulit lvl gera hero kaku update kali kali koneksi baik game,1,Negatif
lepas taut akun infinite susah fitur dukung main guna game game yg game sulit player halhal ganti akun infinitegoogle lihat game belah fitur cs fast respon tunggu jam fitur lepas akun normal hubung cs sampah developer sampah bosan game,1,Negatif
moba bagustingkatkan masuk sistem sinyal bagus biar nyaman player main senang hadiah tarik gratis player biar rame mati oohh yaaa masuk sesuai hero nerf liat hero tebel tebel hpnya bawa hero combo item item defense susah bunuh,5,Positif
gk ml gk hok aja tim begok mulu server suka lag sinyal bagus karakter nya banyak nama cina enak main detail game,1,Negatif
pas selesai sistem draf pick gak masuk main sih min relog bisagara gara point reputasi ku turun garagara cap afk relog doangitupun langsung masuk main min gak kalo jaring aman aman aja tolong min sampe ndak main classic loh,1,Negatif
fitur pilih lane kunci pas pick fokus lane pilih hero lane sistem tukar lane tetep tambah sistem kunci lane pas pick pilih hero sesuai lanenya,5,Positif
maaf kurang bintang karna gak sesuai yg tera damage mid rendah roam jangkaoan jeda sekil sesuai ultimate min sih bagi tim ok sih barat hati kasih bintang saharap baik segi skill ultimate jeda maaf henti game,2,Negatif
dear level infinite team game buruk yg scene moba tolong baik sistem pulih poin reputasi kasih x doang klo unlimited pulih poin reputasi dark system ranked nya baik sesuai tingkat tier nya ngga yg ngetroll karna kasi player yg tier nya gm atas dapetnya bot musuh tier nya,1,Negatif
upgrade downgrade jaring stabil loading match masuk terkadang force close sebab kena hukum afk diappeal rekan langgar atur sengaja susah direport bintang nilai game matchmaking buruk alam match senang,1,Negatif
semenjak rilis playstore bnyak indo darksistem tim bot main solo susah karna tim ampas dn bot gua bintang bisa ketemu bintang tim tim musuh bintang org tim gua puluh doang bintang nya kali maklum berkalikali heran dah balikin yg global aja ush pakai server indo bnyak bocah fomo beban semenjak masuk play store,1,Negatif
nya gk apdet aja pas apdet jelek main aja keluarin terus parah keluarin kalo kayak gin gimana coba main nya main ku doang gimana main sampek kayak teman yg sedih tau gk reng,1,Negatif
tolong map nya variasi biar gitu gitu aja tampil hero nya tolong hd hd frame rate hasil nya tarik tampil in game tolong bagus jelek banget matchmaking kasih milih hero cepat matchmaking hero pilih orang tampil animasi lihat tim musuh biar ok,2,Negatif
game nya seru bucin berat yaaa cowo ku main emang seru banget moga tecent kembang moga rame depan banyak event collab betah,5,Positif
mantap keren nya tolong baik mas kalo war kena genk fps ku langsung drop tolong baik min terimakasih oh yah maaf banget nih darak system a ngeri banget war player erti tetang war posisi musuh posisi tim figet posisi mebunu loard menag kena kambek mect,1,Negatif
hp ram suka ngelek main aja leg fremdrop tolong optimal unduh data pentingsaja gak skin gak download data aset lengkap bikin berat,2,Negatif
hero power imbang contoh nya hero ituitu pakai main hero imbang milik power lemah layak banding game mobile legends hero mobile legends imbang hero milik power tara hok layak ada turnamen besarbesaran,1,Negatif
segi event ama grafik nya bagus developer kikir yg gak enak nya hero stun bejibun kena stun stun tepis mari bahas game ramah anti toxic game ya main grandmaster anti toxic suka sehat game lu bocah fomo yg tinggal info asli game lawak diam bacot kesini kasih b doang,5,Positif
matchmakingnya gak imbang banyak dapet player bot stun gak balence rang efek stun main musuh full stun ya mati kocak gera klo musuhmya hpnya tebel tebelnya gak ngotak anjin kurang armor nya susah gak balence bagus game belah klo ditier rendah mah ok ana main solo tpi kalo tier gk rekomendasi main solo,1,Negatif
player solo gausah main game match making nya ga imbang gapada ngerti main rank master player solo mending gausah donlot game buang stress,1,Negatif
game bagus grafik lumayan skinnya bagus efek gak kayak game belah pelit efek plus sistem matchmakingnya jelek burik kasih skin bagus efek tipis mending skin gratis plus bagus plus efek gak pelit mantep dah cuman minus downlod data biar main lancar udh gitu aja sih,4,Positif
matchmaking nya tolong benerin uninstall ni game koar doang gedein game ampas matching gak tim bot ganti role tim kasih bot bot ph gak emang,1,Negatif
nge lag fps nya bangetdikit dikit close forcedata nya gedeanapa apan mb cuman lihat skin basicdi hapus data ilang,2,Negatif
nagus banget lane nya imbang adil tolong depan tingkat terkadang main paksa nabrak lane terap pilih salah lane example mmfarm lane tolong main hero mm overall bagus grafik aspekaspek skin tang jangkau terimakasih sukses hok,5,Positif
game bagus seru gw gak sponsorin hero skin dapetin gratis gw login langsung hero skin grafik mantap voice line nya gaul bikin relate pokok nya bintang ni game dark sistem nya parah banget woy,5,Positif
parah dark system nya x lose strike grandmaster epic aja salah team gk win strike x gk banding lose strike kalo stop main ni game parah kalo matchmaking solo pasang solo hukum curi lane berat ketimbang yg afk kalo afk kalah kalo orang pakai hero yg lanenya rugi buang,1,Negatif
game gilir main rank sinyal merah gilir main klasik kenceng pdhal pake wifi coba developer baik ni gmna cerita kecewa naek rank aja susah sinyal,2,Negatif
satusatunya kurang signifikan gameplay fitur lock hero otomatis lock hero jadi hero prioritas serang fitur pilih target terkadang bug,4,Positif
matchmaking kadang ga selevelsebanding build item bilang tpi sulit ganti ingame sulit bedain item notice warna item event bilang tarik darksystem parah dri game moba,1,Negatif
game bagus sayang tampil jalan yg uras perfome hp guna bgt dark sistem koneksi bagus koneksi putus why parah war jam pontensi tim winner jaring internet ganggu koneksi,4,Positif
matchmaking mata ampas kembang nyusul adek yg sepi cuman event bagus yg main cuman bentar main cuman pas event abis offnya on digame asal tambah bisa player gamplay kek bot nyentuh master gak habis pikir ketemu match fix season selesai dah ku hapus nih game,1,Negatif
main enak aja sih main hok ya tombol skillnya responsif kaya war mencet tombol skill sekian detik nyadar tombol skillnya ga pencet auto mundur mokad duluan aja sih amanaman aja,4,Positif
game nya bagus bgt hero gratis gk kayak game belah sulit token normal kurang tpi harap loong skin sayang bgt hero bagus gk skin senang bintang skin loong,4,Positif
game nya bagus saran masuk pas main fps drop diperbaikin fps drop trs udh disetting,5,Positif
saran gua ya hok kalo ngadain event unsur gy kaya kemaren udah tau server indo ga nerima event kaya gitu sampe bot nya tolong kendaliin min kadang gua tim ama bot menang dikit banyak kalah kadang tim musuh sampe tim nya wkwk loading screen match butek banget liat gua emel jaman purba wkwk pas selesai match suka ga langsung pencet konfirmasi optimalin,4,Positif
pasang main masalah perhati team hok batas match tentu pasang main sesuai capai suruh player pergi app langsung,1,Negatif
dark sistem imbang matching solotim nya gajelas banyak main solo dapet temen nya bot dapet tim lawan nya banyak teamingbisa duo trio partylebih mobile legend matching solo nya banding hok,1,Negatif
poin reputasi turun langgar tanding sebab tim kooperatif sungguh kecewa sistem main karna poin reputasi turun bawah tim sangkut langgar timpal,1,Negatif
ping nya tolong benerin war jumping mulu bikin gameplay hancur aja kalo gameplay hancur repot poin reputasi nya turun farming poin tolong baik,2,Negatif
cheter map aim sinyal nya gak gw main game belah aman bagus sinyal wifi gw main game battle royal kenceng main doang yg ngelag gak,1,Negatif
gamenya bagus jaring mw main gak jaring jelek apa scroll tik tok gak ngelag loh jaring tolong bug jaring baik,2,Negatif
jujur suka gameplaynya optimasi hero ping nya lancar nabrak region gamenya beneran cina sih pasar global harap hero hero gatotkaca apa nyangkut sejarah negara laen gtu bgt china chinanya overall suka ko nyaman dimainin nick game z device realme xt,5,Positif
kontrol kadang ngebug responsif kalah drpd menang tim troll coba hero dirank opsi lane hero bebas pilih pilih lane hasil report muas main yg sesuai dg report lapor valid bintang kalah kali minus,2,Negatif
segi main oke tolong history matchnya direvamp harap top hero jakartaindonesiadan asia tambah camat kota main provinsi tolong tier galeri akun direvamp jugakarena polos tarik lebih oke,5,Positif
habis tier dapet teamnya bot dark sistem diagnosa jaring stabilnormal ketemu lawan ingat jaring stabil apaapaan bilang dark sistem main match kalah rubah line main menang tolong baik botbot yg sesuai hapusban,1,Negatif
game apaankalah menang atur sistemkebanyakan tim bot kartu lindung bintangpasti bikin kalahgame asuuuuugame ga have fun have fun nyayang bikin darah ga download ni gameini game dimaninin gimanapun ga kompetitif player nya mending main moba lainevent skin utk tarik player doangsedangkan sistem in game nya busuk,1,Negatif
bagus mobile legend matching baik player duo ketemu squad aja sih baik bagus,5,Positif
main solo kalah trus tier apalgi granmaster kasih tim bot toxicx bolak turun tier master kecewa temen hapus game gara gin,1,Negatif
saran min animasi ui nya kalo hp kentang bagusin min nya bosen gitu animasi nya trus hero ny high mekanik min biar enak bikin konten,5,Positif
game rusak sistem main dasar mmr sistem matchmaking poin hero poin hero temu main poin hero rendah temu main temu main rank grandmaster epic,1,Negatif
game parah tolong setting kalo udah login tanding rank lama loadingnya udah hp hancur gara load main jaring bagus lelet patah main,5,Positif
survei real tolong sistem match nya diperbaikin bot main sistem tingkat rank beda senjang main performa main buruk tolong baik,2,Negatif
pls ya tencent ngasih lawan yg tara pas in game defeat mending mobile legend defeat kali bales win kali lu gak gw defeat kali bales defeat same kali kali bikin game yg niat player nya imbang gak tuju game player nya noob udah lose streak sampe stress menang vsclasik tolong sistem player nya update,1,Negatif
jaring lobbynya kacau gw gk masuk in gamenya ku coba game belah lancar game kacau jaring ngeklaim reward gak ngedraft nunggu jam kacau player wifi kembang mohon upgrade atur jaring,1,Negatif
nice game game salah edit main saran developer maksimal perfomance game kadang pas war tibatiba fps nya drop fps fpsagak menganggu ya sy harap atas yg hp spek tengah ram developer garis level lawan pakai execute mudah guna,5,Positif
game nya bagus thanks developer ku gamenya gak cocok hp device rendah kek gua ngelag udah grafik low tolong baik biar hp mainin game,5,Positif
turun bintang bagus hoknamun mula khusus pemulakalo coba hero mode simulasi normaljangan mode ranked efek rank karuan bot tolol tolong bagi system rank baik,2,Negatif
game gua main normal tibatiba main ngelaporin gua gua main main normal loh war gimana sih sistem ingat nya bintang rank gua turun sorry gue kasih bintang moga depan nilai ingat,1,Negatif
game nya bagus sinyal bagus matchmaking masukmenghubungkan ulang alhasilsaya kena kurang reputasi tolong developer kompensasi,1,Negatif
sistem lapor customer service matchmaking main jam hasil main kurang bintang total jam main bikin lelah ga guna kasih rating rendah game matchmaking nya dark sistem,1,Negatif
baik jaring bos game bagus game play buruk banget ping tibatiba merah sistem nya player cek koneksi jaring tanding delay login delay cek jaring bagus buruk gameplay ping nya turun game onlane jaring gak,1,Negatif
tolong baik matchhmakingnnyalawannya tara tim kitagamenya bagus sulit karna matchmaking nya pascontohnya tim main jelek musuh jago kerja,2,Negatif
keren yg atuh moba nya hero gratis skin bagus gratis mula event event nya mantap voice karakter nya battle kocak game lancar jaya ram gb,2,Negatif
udah bagus cuman ngak tau pas main tibatiba internetnya lot beli paket data pas musuh dateng gilir pas ngak musuh internetnya amanaman aja ngak kadang lancar cuman main,4,Positif
lumayan bagus matching banget kyk relog dlu bru kadang jg nyari matching jujur dr fitur hero nya udh bagus aplg voice yg bahasa cina bagus banget tolong nyari matching nya,4,Positif
sistem nya cari lawan yg master tim isi player yg tier platinum musuh isi tier master geme pilih tim musuh suka geme sya main geme geme kurang nya main mobile legends,1,Negatif
game match penuh dark system kontrol gak jlas gak lock musuhmain rank teman bot win lose mvp lose lawak nih game,5,Positif
gamenya udah ok kendala main bagi tim terkadang aja player yg gak ngerti paham tugasnyasaya nemu player kek gitupadahal ranknya udah grandmaster mikirin kill objektif peduli,4,Positif
tolong baik matchmaking nya jg ubah wilayah ubah wilayah gimmick tempel opsi ny ad ad pengaruh nya hero skin gratis sistem matchmaking nya beranta atur bendera negara sesuai yg pilih lokasi yg,1,Negatif
sistem bener ngasih team nya tolong selektif palyer rank master tolong naik untuk player bodohakun joki sulit player,2,Negatif
game moba buruk sih bug susah login in game ngelag parah skin elit jaring sulit gue pikir provider gue game moba buruk mainin ya udah habis gue topup biar colector tolong developer baik ya udah uninstal tuh gam parah sih,1,Negatif
report bug ngebuat hero stuck ngeflashdashteleport lokasi bug nya midlane batu belah kiri tower merah,4,Positif
please hok player gak maen tolong update tebal attack sakit bantu atas player buruk gameplaynya tolong hero bunuh tim,4,Positif
