content,score,Label,text_clean,text_Stopword,text_tokens,text_steamindo
pantesan main rank bolak balik gak naik2 ternyata sistem nya sudah di pasang bot buat menutupi sepi pemain nya dari pencarian matching aja butuh durasi 1 menit 50 detik dah jelas game sepi di perbanyak bot biar gak sepi nih game pantesan aja sulit naik rank,1,Negatif,pantesan main rank bolak balik gak naik ternyata sistem nya sudah di pasang bot buat menutupi sepi pemain nya dari pencarian matching aja butuh durasi  menit  detik dah jelas game sepi di perbanyak bot biar gak sepi nih game pantesan aja sulit naik rank,pantesan main rank bolak gak sistem nya pasang bot menutupi sepi pemain nya pencarian matching aja butuh durasi menit detik dah game sepi perbanyak bot biar gak sepi nih game pantesan aja sulit rank,"['pantesan', 'main', 'rank', 'bolak', 'gak', 'sistem', 'nya', 'pasang', 'bot', 'menutupi', 'sepi', 'pemain', 'nya', 'pencarian', 'matching', 'aja', 'butuh', 'durasi', 'menit', 'detik', 'dah', 'game', 'sepi', 'perbanyak', 'bot', 'biar', 'gak', 'sepi', 'nih', 'game', 'pantesan', 'aja', 'sulit', 'rank']",pantesan main rank bolak gak sistem nya pasang bot tutup sepi main nya cari matching aja butuh durasi menit detik dah game sepi banyak bot biar gak sepi nih game pantesan aja sulit rank
"Udah main 1 season. Oke lah dah lumayan bisa catch up sama player² smurf. Tapi tetep ae tolong patch nya dikondisikan, dikit² buff/nerf dan dikit² rilis hero. Pusing anj, udh dpt hero power langsung hrs nyesuaiin diri lagi. Sama revamp² model² hero/skin lama nya disegerakan tolong, bukan malah digoreng di shop. Dan 1 lagi, matchmaking nya tolong jauhkan saya dari bocah² all role yg kaga punya hero power tapi tergendong nyampe GM. GAK JADI, BGSD UDH DOWNLOAD ULANG DATA MALAH STUCK MENGINSTALL ANJ",1,Negatif,udah main  season oke lah dah lumayan bisa catch up sama player smurf tapi tetep ae tolong patch nya dikondisikan dikit buffnerf dan dikit rilis hero pusing anj udh dpt hero power langsung hrs nyesuaiin diri lagi sama revamp model heroskin lama nya disegerakan tolong bukan malah digoreng di shop dan  lagi matchmaking nya tolong jauhkan saya dari bocah all role yg kaga punya hero power tapi tergendong nyampe gm gak jadi bgsd udh download ulang data malah stuck menginstall anj,udah main season oke dah lumayan catch up player smurf tetep ae tolong patch nya dikondisikan dikit buffnerf dikit rilis hero pusing anj udh dpt hero power langsung hrs nyesuaiin revamp model heroskin nya disegerakan tolong digoreng shop matchmaking nya tolong jauhkan bocah all role yg kaga hero power tergendong nyampe gm gak bgsd udh download ulang data stuck menginstall anj,"['udah', 'main', 'season', 'oke', 'dah', 'lumayan', 'catch', 'up', 'player', 'smurf', 'tetep', 'ae', 'tolong', 'patch', 'nya', 'dikondisikan', 'dikit', 'buffnerf', 'dikit', 'rilis', 'hero', 'pusing', 'anj', 'udh', 'dpt', 'hero', 'power', 'langsung', 'hrs', 'nyesuaiin', 'revamp', 'model', 'heroskin', 'nya', 'disegerakan', 'tolong', 'digoreng', 'shop', 'matchmaking', 'nya', 'tolong', 'jauhkan', 'bocah', 'all', 'role', 'yg', 'kaga', 'hero', 'power', 'tergendong', 'nyampe', 'gm', 'gak', 'bgsd', 'udh', 'download', 'ulang', 'data', 'stuck', 'menginstall', 'anj']",udah main season oke dah lumayan catch up player smurf tetep ae tolong patch nya kondisi dikit buffnerf dikit rilis hero pusing anj udh dpt hero power langsung hrs nyesuaiin revamp model heroskin nya segera tolong goreng shop matchmaking nya tolong jauh bocah all role yg kaga hero power gendong nyampe gm gak bgsd udh download ulang data stuck menginstall anj
"apaan lah game ini, aku pagi ny disuruh suruh, jdi ny afk cmn 2x, langsung diturunin dri 100 poin ke 90 kocak bet, gabisa ngerank jdi ny, males bet kontoll, skrng muncul lg bug dimna ketika saya telah mendownload semua data game yaitu 8gb, tp ttp saja hero bulet bulet",2,Negatif,apaan lah game ini aku pagi ny disuruh suruh jdi ny afk cmn x langsung diturunin dri  poin ke  kocak bet gabisa ngerank jdi ny males bet kontoll skrng muncul lg bug dimna ketika saya telah mendownload semua data game yaitu gb tp ttp saja hero bulet bulet,game pagi ny disuruh suruh jdi ny afk cmn x langsung diturunin dri poin kocak bet gabisa ngerank jdi ny males bet kontoll skrng muncul lg bug dimna mendownload data game gb tp ttp hero bulet bulet,"['game', 'pagi', 'ny', 'disuruh', 'suruh', 'jdi', 'ny', 'afk', 'cmn', 'x', 'langsung', 'diturunin', 'dri', 'poin', 'kocak', 'bet', 'gabisa', 'ngerank', 'jdi', 'ny', 'males', 'bet', 'kontoll', 'skrng', 'muncul', 'lg', 'bug', 'dimna', 'mendownload', 'data', 'game', 'gb', 'tp', 'ttp', 'hero', 'bulet', 'bulet']",game pagi ny suruh suruh jdi ny afk cmn x langsung diturunin dri poin kocak bet gabisa ngerank jdi ny males bet kontoll skrng muncul lg bug dimna mendownload data game gb tp ttp hero bulet bulet
"setelah update gamenya malah makin berat, padahal udah pake setingan low yg tadinya bisa stabil 60fps sekarang malah sering drop fps",1,Negatif,setelah update gamenya malah makin berat padahal udah pake setingan low yg tadinya bisa stabil fps sekarang malah sering drop fps,update gamenya berat udah pake setingan low yg stabil fps drop fps,"['update', 'gamenya', 'berat', 'udah', 'pake', 'setingan', 'low', 'yg', 'stabil', 'fps', 'drop', 'fps']",update gamenya berat udah pake ting low yg stabil fps drop fps
Pas pengen login ke honor of king nya itu ngelag banget pas main juga kaya bug gitu terus pas lagi main nya itu item nya muncul terus koin aku nya jadi berkurang terus padahal aku pengen beli yang lain,2,Negatif,pas pengen login ke honor of king nya itu ngelag banget pas main juga kaya bug gitu terus pas lagi main nya itu item nya muncul terus koin aku nya jadi berkurang terus padahal aku pengen beli yang lain,pas pengen login honor of king nya ngelag banget pas main kaya bug gitu pas main nya item nya muncul koin nya berkurang pengen beli,"['pas', 'pengen', 'login', 'honor', 'of', 'king', 'nya', 'ngelag', 'banget', 'pas', 'main', 'kaya', 'bug', 'gitu', 'pas', 'main', 'nya', 'item', 'nya', 'muncul', 'koin', 'nya', 'berkurang', 'pengen', 'beli']",pas ken login honor of king nya ngelag banget pas main kaya bug gitu pas main nya item nya muncul koin nya kurang ken beli
"tampilannya bagus dan bisa pilih Lane yg diinginkan tanpa berebut dengan tim👍👌,tapi kalo bisa perbaiki bug suara chat kadang kadang gak keluar suaranya oke itu aja",5,Positif,tampilannya bagus dan bisa pilih lane yg diinginkan tanpa berebut dengan timtapi kalo bisa perbaiki bug suara chat kadang kadang gak keluar suaranya oke itu aja,tampilannya bagus pilih lane yg berebut timtapi kalo perbaiki bug suara chat kadang kadang gak suaranya oke aja,"['tampilannya', 'bagus', 'pilih', 'lane', 'yg', 'berebut', 'timtapi', 'kalo', 'perbaiki', 'bug', 'suara', 'chat', 'kadang', 'kadang', 'gak', 'suaranya', 'oke', 'aja']",tampil bagus pilih lane yg rebut timtapi kalo baik bug suara chat kadang kadang gak suara oke aja
"Game ampas, masuk lobby aja ngefreeze, udah ngapus memori sama aja niat kagak sih wifi Lancar, padahal main ml lancar bet, lebih baik kagak usah di download. Cara paling mudahnya di apus aja lebih bagus kagak bisa di mainin cuma menuh Menuhin memori. tapi lumayan ml jadi baik ngasih skinnya. Ya pokoknya jangan download lah game ampas",1,Negatif,game ampas masuk lobby aja ngefreeze udah ngapus memori sama aja niat kagak sih wifi lancar padahal main ml lancar bet lebih baik kagak usah di download cara paling mudahnya di apus aja lebih bagus kagak bisa di mainin cuma menuh menuhin memori tapi lumayan ml jadi baik ngasih skinnya ya pokoknya jangan download lah game ampas,game ampas masuk lobby aja ngefreeze udah ngapus memori aja niat kagak sih wifi lancar main ml lancar bet kagak download mudahnya apus aja bagus kagak mainin menuh menuhin memori lumayan ml ngasih skinnya ya pokoknya download game ampas,"['game', 'ampas', 'masuk', 'lobby', 'aja', 'ngefreeze', 'udah', 'ngapus', 'memori', 'aja', 'niat', 'kagak', 'sih', 'wifi', 'lancar', 'main', 'ml', 'lancar', 'bet', 'kagak', 'download', 'mudahnya', 'apus', 'aja', 'bagus', 'kagak', 'mainin', 'menuh', 'menuhin', 'memori', 'lumayan', 'ml', 'ngasih', 'skinnya', 'ya', 'pokoknya', 'download', 'game', 'ampas']",game ampas masuk lobby aja ngefreeze udah ngapus memori aja niat kagak sih wifi lancar main ml lancar bet kagak download mudah apus aja bagus kagak mainin menuh menuhin memori lumayan ml ngasih skinnya ya pokok download game ampas
"Hai, Mekanisme pencocokan didasarkan pada kekuatan keseluruhan tim, tapi kinerja pemain dalam game akan mempengaruhi hasil match. Saran kami adalah berkomunikasi lebih banyak dengan rekan tim atau bermain dengan teman. Jika kamu mengalami masalah dengan aplikasi ini, hubungi kami melalui dukungan pemain dalam game. Aaron Tim Litbang Hok",1,Negatif,hai mekanisme pencocokan didasarkan pada kekuatan keseluruhan tim tapi kinerja pemain dalam game akan mempengaruhi hasil match saran kami adalah berkomunikasi lebih banyak dengan rekan tim atau bermain dengan teman jika kamu mengalami masalah dengan aplikasi ini hubungi kami melalui dukungan pemain dalam game aaron tim litbang hok,hai mekanisme pencocokan didasarkan kekuatan tim kinerja pemain game mempengaruhi hasil match saran berkomunikasi rekan tim bermain teman mengalami aplikasi hubungi dukungan pemain game aaron tim litbang hok,"['hai', 'mekanisme', 'pencocokan', 'didasarkan', 'kekuatan', 'tim', 'kinerja', 'pemain', 'game', 'mempengaruhi', 'hasil', 'match', 'saran', 'berkomunikasi', 'rekan', 'tim', 'bermain', 'teman', 'mengalami', 'aplikasi', 'hubungi', 'dukungan', 'pemain', 'game', 'aaron', 'tim', 'litbang', 'hok']",hai mekanisme cocok dasar kuat tim kerja main game pengaruh hasil match saran komunikasi rekan tim main teman alami aplikasi hubung dukung main game aaron tim litbang hok
"Tolong benerin matchmaking akun gw {Kucing Putih}. Dapet tim pada gbIk semua hampir tiap match, kalo mau menang harus gendong2 terus. Tapi apa iya gw bisa gendong2 terus kalo tim gw kerjaannya mati doang? Maen di GM bukannya makin kompetitif malah makin dikerjain anjg. Lama2 gw balik juga nih ke ML. Lagi banyak event tuh lawan saing lo Edit: BARU AJA GW DAPET TIM TIGA ORANG BOT, MUSUHNYA PLAYER SEMUA. YG BENER AJA LAH NGTD",1,Negatif,tolong benerin matchmaking akun gw kucing putih dapet tim pada gbik semua hampir tiap match kalo mau menang harus gendong terus tapi apa iya gw bisa gendong terus kalo tim gw kerjaannya mati doang maen di gm bukannya makin kompetitif malah makin dikerjain anjg lama gw balik juga nih ke ml lagi banyak event tuh lawan saing lo edit baru aja gw dapet tim tiga orang bot musuhnya player semua yg bener aja lah ngtd,tolong benerin matchmaking akun gw kucing putih dapet tim gbik match kalo menang gendong iya gw gendong kalo tim gw kerjaannya mati doang maen gm kompetitif dikerjain anjg gw nih ml event tuh lawan saing lo edit aja gw dapet tim orang bot musuhnya player yg bener aja ngtd,"['tolong', 'benerin', 'matchmaking', 'akun', 'gw', 'kucing', 'putih', 'dapet', 'tim', 'gbik', 'match', 'kalo', 'menang', 'gendong', 'iya', 'gw', 'gendong', 'kalo', 'tim', 'gw', 'kerjaannya', 'mati', 'doang', 'maen', 'gm', 'kompetitif', 'dikerjain', 'anjg', 'gw', 'nih', 'ml', 'event', 'tuh', 'lawan', 'saing', 'lo', 'edit', 'aja', 'gw', 'dapet', 'tim', 'orang', 'bot', 'musuhnya', 'player', 'yg', 'bener', 'aja', 'ngtd']",tolong benerin matchmaking akun gw kucing putih dapet tim gbik match kalo menang gendong iya gw gendong kalo tim gw kerja mati doang maen gm kompetitif dikerjain anjg gw nih ml event tuh lawan saing lo edit aja gw dapet tim orang bot musuh player yg bener aja ngtd
Geme nya jlek banget kadang suka bug padahal sinyal lancar kadang juga gak bisa masuk aku sampai emosi mainin geme ini tolong banget di perbaiki ya padahal seru tapi bugnya ngalangin aku kalo mau main tolong di perbaiki ya🙏,1,Negatif,geme nya jlek banget kadang suka bug padahal sinyal lancar kadang juga gak bisa masuk aku sampai emosi mainin geme ini tolong banget di perbaiki ya padahal seru tapi bugnya ngalangin aku kalo mau main tolong di perbaiki ya,geme nya jlek banget kadang suka bug sinyal lancar kadang gak masuk emosi mainin geme tolong banget perbaiki ya seru bugnya ngalangin kalo main tolong perbaiki ya,"['geme', 'nya', 'jlek', 'banget', 'kadang', 'suka', 'bug', 'sinyal', 'lancar', 'kadang', 'gak', 'masuk', 'emosi', 'mainin', 'geme', 'tolong', 'banget', 'perbaiki', 'ya', 'seru', 'bugnya', 'ngalangin', 'kalo', 'main', 'tolong', 'perbaiki', 'ya']",geme nya jlek banget kadang suka bug sinyal lancar kadang gak masuk emosi mainin geme tolong banget baik ya seru bugnya ngalangin kalo main tolong baik ya
