content,score,Label
pantesan main rank bolak balik gak naik2 ternyata sistem nya sudah di pasang bot buat menutupi sepi pemain nya dari pencarian matching aja butuh durasi 1 menit 50 detik dah jelas game sepi di perbanyak bot biar gak sepi nih game pantesan aja sulit naik rank,1,Negatif
"Udah main 1 season. Oke lah dah lumayan bisa catch up sama player² smurf. Tapi tetep ae tolong patch nya dikondisikan, dikit² buff/nerf dan dikit² rilis hero. Pusing anj, udh dpt hero power langsung hrs nyesuaiin diri lagi. Sama revamp² model² hero/skin lama nya disegerakan tolong, bukan malah digoreng di shop. Dan 1 lagi, matchmaking nya tolong jauhkan saya dari bocah² all role yg kaga punya hero power tapi tergendong nyampe GM. GAK JADI, BGSD UDH DOWNLOAD ULANG DATA MALAH STUCK MENGINSTALL ANJ",1,Negatif
"apaan lah game ini, aku pagi ny disuruh suruh, jdi ny afk cmn 2x, langsung diturunin dri 100 poin ke 90 kocak bet, gabisa ngerank jdi ny, males bet kontoll, skrng muncul lg bug dimna ketika saya telah mendownload semua data game yaitu 8gb, tp ttp saja hero bulet bulet",2,Negatif
"setelah update gamenya malah makin berat, padahal udah pake setingan low yg tadinya bisa stabil 60fps sekarang malah sering drop fps",1,Negatif
Pas pengen login ke honor of king nya itu ngelag banget pas main juga kaya bug gitu terus pas lagi main nya itu item nya muncul terus koin aku nya jadi berkurang terus padahal aku pengen beli yang lain,2,Negatif
"tampilannya bagus dan bisa pilih Lane yg diinginkan tanpa berebut dengan tim👍👌,tapi kalo bisa perbaiki bug suara chat kadang kadang gak keluar suaranya oke itu aja",5,Positif
"Game ampas, masuk lobby aja ngefreeze, udah ngapus memori sama aja niat kagak sih wifi Lancar, padahal main ml lancar bet, lebih baik kagak usah di download. Cara paling mudahnya di apus aja lebih bagus kagak bisa di mainin cuma menuh Menuhin memori. tapi lumayan ml jadi baik ngasih skinnya. Ya pokoknya jangan download lah game ampas",1,Negatif
"Hai, Mekanisme pencocokan didasarkan pada kekuatan keseluruhan tim, tapi kinerja pemain dalam game akan mempengaruhi hasil match. Saran kami adalah berkomunikasi lebih banyak dengan rekan tim atau bermain dengan teman. Jika kamu mengalami masalah dengan aplikasi ini, hubungi kami melalui dukungan pemain dalam game. Aaron Tim Litbang Hok",1,Negatif
"Tolong benerin matchmaking akun gw {Kucing Putih}. Dapet tim pada gbIk semua hampir tiap match, kalo mau menang harus gendong2 terus. Tapi apa iya gw bisa gendong2 terus kalo tim gw kerjaannya mati doang? Maen di GM bukannya makin kompetitif malah makin dikerjain anjg. Lama2 gw balik juga nih ke ML. Lagi banyak event tuh lawan saing lo Edit: BARU AJA GW DAPET TIM TIGA ORANG BOT, MUSUHNYA PLAYER SEMUA. YG BENER AJA LAH NGTD",1,Negatif
Geme nya jlek banget kadang suka bug padahal sinyal lancar kadang juga gak bisa masuk aku sampai emosi mainin geme ini tolong banget di perbaiki ya padahal seru tapi bugnya ngalangin aku kalo mau main tolong di perbaiki ya🙏,1,Negatif
