review,score,Label
gamenya bagus grafik lumayan tolong kasih lawan bot yg kuat tks aja situ,1,Negatif
for moonton tolong baik bug freeze kadang ngeselin war enakenak eh tibatiba ngefreeze ga relog males relog nunggu loading screen ny lamaa tolong moonton baik server nya,1,Negatif
game kasih kalah player hp panas kasih player menang hp panasgame bagus hero habis hero tim player bilang main jujur adiltidak bagus nya bikin buang kasih tim bodoh kasih player kalah menerusya hapus game hp game online bikin pusing game online bikin pusing serang lawan lag lawan serang player lag,1,Negatif
abis update dapet dark system kesel player yg blacklist bisa ketemu trus tim yg bikin emosi,1,Negatif
bagus gamenya cuman gue lose streak epik bintang gm dpt tim dark sistem musuh pro bngt kalah wajar gue capek kalah sampe gue gm lagiseribu tantang gw lewat gm,2,Negatif
game sih cokk cape bgt gua asli player solo gila banget moonton dapet tim ga bener mulu sumpah jujur jujuran klo pilih tim hok banding ml player solo kecewa karna ubah nya tolong moonton dengar suara player solo ranked cape bgt tolong baik bedain main,1,Negatif
hallo moonton sekian kali nya kalo match dapet team yng tau maen game bagus gak player nya neng x maen menang x gak masuk akal dilaporin gak hukum jng karna match nya gak uninstall game bikin emosi maen dapet team tukang trolll tolong perhati,2,Negatif
keluh main rank temu musuh pangkat udah capai mitic sasangkan legend pasti kalah tolong baik,1,Negatif
bug ganti akun muncul tulis jaring stabil jaring bagus bagus aja mohon baik coba ulang gagal suruh nunggu gara gara banyak gagal ganti akun,1,Negatif
rank tinggi gwe mitic bilng udh paham itemrotasimasak rank ketemu tim rnk tinggi master yg simpul nya player yg main ngasalgak ngimbangin musuh nya jagosejago apa player solo kasi tim trol gk bkl ngpain masuk ajkasi random yg sesuai minimal mainyg ngimbangin musuh,2,Negatif
main kasi musuh yg jago yg sesuai gua kalah pilih kasihgak adi lalam main kasi lawan yg susah lawan udh tau orang gak mas aja kasi musuh yg jago udh pilh kasi udh menag musuh yg delu menang tower hancurin musuh mudah gilir serang tower susah nian kalah ujung ujung gulang reng nyo idk temen gara bot main nyo sekolah idk ajak mabar cuman gara main gem ajing,1,Negatif
jujur dpt tim buruk kadang anggota tim feedeer kadang dapet tim suka ambil buff jungler ais apa capek inisaya rela habis main mobile legends yah perilaku kecewa berat,1,Negatif
depan mohon baik sinyaljaringan banget merah war sinyal bagus match kasih musuh tim imbang player epik tim granmaster musuh mantan glory montoon mohon kerja sama klo baik insyaallah setia ml,2,Negatif
sekian game ngeleg tempur jgn gituh nonton gw bayar maen ga gratissssss sinyal baik kawan jgn donlowd klo kecewa mending game honor off king,1,Negatif
game nya bagus tampil grafik hero nya mantap kasih tim gak imbang tim coklat tim musuh kuning cerah gak adil tolong bagi tim tolong baik milih tim takut kita males main kalah,2,Negatif
game nya senang candu deh emosi montoon pusat settingan kuota jaring bagus main teman akun kalo posisi menang jaring buruk lag ga jalan settingan moonton gak adil gak cepat bintang kalo moonton ngijinin bikin hoki nyata,1,Negatif
mobile legends kembang nggak becus kelola aplikasi mending hapus aja ni main play games bikin sakit hati fight jaring hilang mati hero mati game nya lancar kembang nggak becus,1,Negatif
game sampah main kasih tim drak system cape gua main gk adil banget beda free fire main ngendok game moba gk ngotak ngasih musuh wajar kalo ngasih musuh kalo winstreak mustahil ngesolo partiyan kalo udah ngestag renk epik bikin sakit kepala gk adil ngasih musuh,1,Negatif
gue donlot data ga jalan jalan sih beebrapa udah minggu donlot data ulang sihpadahal gue kali dapet skin gratis bosen main game buruk yg gue mainin,1,Negatif
matchmakingnya tolong baik beda rank imbang jaring ngelag team fight aneh update bagus jelek gk ubah parahhhh,1,Negatif
solo player capai rank tinggi mlbb gagal reset season mohon panjang durasi season nya saran update depan terima kasih,5,Positif
moonton hormat mohon baik servernya siksa main kayak sampah buang buang kuota mohon baik serverny harap respon moonton,5,Positif
tolong yaa moonton tolong banget yg main pelosok tolong sinyal tingaktin aja dikit aja gausah banyk stabil aja biar player solo ni semangat mainny,5,Positif
game nya sih bagus oke kalo mulaistart game jaring bagus lancar yak moonton tolong baik yaaku kasih bintang kalo udh bagus kasih bintang,4,Positif
jngn download yg darah tekan darah imbang match gk laku yg udh downloadjngn top uppercuma sumpah habisin kuota update tp player pikirin rank sulit up dapt tim sampah,1,Negatif
bagus jir main kls main sekolah udh main skin gratis beuhh kasuss men mobile legends bang bang sumpah bikin nagihh dlu sampe mytik ko mentog legends ya tolong baik derk sistem nya nya cape gendong,5,Positif
game nya dah bagus kadang suka dapet tim aneh dark system gpp kadang musuh ama tim suka adu bacot cmn game nya dah bagus kadang musuh nya jago tim aneh game nya tantang bintang suka turun gpp inti nya game nya bagus udh aja,5,Positif
bagus kam mobile legends mode offlain tolong offlain hero beli kasih mode offlain tolong berawel tolong buka tolong kasih tombol mode offlain aga masuk cepat nya tolong ya,4,Positif
dear moonton sih match pasting ngeleg menit turtle ping nya ga turun semasekali game main rank turun ping nya menit an situ lanjut ping nya turun jujur kecawa letrijungle karna erly game peran jungle amanin turtle ngamanin gmn klo ping tolong fiks jgn skin mulu,1,Negatif
game nya bagus kalo main kasih tim bener main nya udah tim nya gak main musuh nya jago jago makan nya ku kasi bintang aja klo kasih menang kasih bintang gak lu montoon udah min gw cpk kalah aja klo kalah aja gw hapus yh klo gw klo kali gw hapusgak alas,1,Negatif
saran mlbb buat yg versi lite untuk hp ram gb an sih nambah player yg pingin main hp kentang tetep stabil main,5,Positif
harmfull game becareful this game is very dangerous curang game uninstall game bobrok kendala ngelag tanding beli server murah game gak kendala jaring game so cheap your server shame on you harmfull game,1,Negatif
habis baharu parah d loby signal ijo sekali pas d rank udah merah gak moonton skin mahal kyk skin legend gak ad efek efek ny yg bagus,1,Negatif
gak tau lagitapi hapus game inikarena mobile legend anehjadi moonton tolong baik matchnyakalau player pindah kegame belah honor of kingjadi player mobile legend gimana yacapek loh moontonjadi tolong baik sistem draf picknyadan hapus game kepala pecah terima kasih hibur akuterima kasih,1,Negatif
dark sistem asu tinggal bintang lgi kalah udah moonton aja ga peduli sistem matchmakingnya anjjjjjjj nambah fitur ga blok tol moonton ngasih dark sistem petooottt gas kasih musuh padan,1,Negatif
match making adil main solo player beban rekan tim lelah main nya terkadang tim paham erti main p banding p p banding p tolong baik,1,Negatif
