content,score,Label,text_clean,text_Stopword,text_tokens,text_steamindo
"Gamenya bagus, grafiknya lumayan, tapi tolonglah kasih lawan yang bot, jangan yg kuat. Tks itu aja soalnya masalahnya disitu.",1,Negatif,gamenya bagus grafiknya lumayan tapi tolonglah kasih lawan yang bot jangan yg kuat tks itu aja soalnya masalahnya disitu,gamenya bagus grafiknya lumayan tolonglah kasih lawan bot yg kuat tks aja disitu,"['gamenya', 'bagus', 'grafiknya', 'lumayan', 'tolonglah', 'kasih', 'lawan', 'bot', 'yg', 'kuat', 'tks', 'aja', 'disitu']",gamenya bagus grafik lumayan tolong kasih lawan bot yg kuat tks aja situ
"for moonton tolong dong di perbaiki lagi bug freeze kadang ngeselin lagi war enak-enak, eh tiba-tiba malah ngefreeze ga jelas, jadi harus relog dulu paling males relog nunggu di loading screen ny itu lamaa, tolong lah moonton perbaiki lagi server nya.",1,Negatif,for moonton tolong dong di perbaiki lagi bug freeze kadang ngeselin lagi war enakenak eh tibatiba malah ngefreeze ga jelas jadi harus relog dulu paling males relog nunggu di loading screen ny itu lamaa tolong lah moonton perbaiki lagi server nya,for moonton tolong perbaiki bug freeze kadang ngeselin war enakenak eh tibatiba ngefreeze ga relog males relog nunggu loading screen ny lamaa tolong moonton perbaiki server nya,"['for', 'moonton', 'tolong', 'perbaiki', 'bug', 'freeze', 'kadang', 'ngeselin', 'war', 'enakenak', 'eh', 'tibatiba', 'ngefreeze', 'ga', 'relog', 'males', 'relog', 'nunggu', 'loading', 'screen', 'ny', 'lamaa', 'tolong', 'moonton', 'perbaiki', 'server', 'nya']",for moonton tolong baik bug freeze kadang ngeselin war enakenak eh tibatiba ngefreeze ga relog males relog nunggu loading screen ny lamaa tolong moonton baik server nya
Game ini jika mau kasih kalah player hp jadi panas .tapi bila kasih player menang hp tidak panas.Game ini tidak bagus satu Hero bisa menghabisi Hero tim player. bilang main jujur dan adil.tidak ada bagus nya Bikin buang waktu .di kasih tim yang bodoh dan di kasih player kalah terus menerus.ya akhirnya saya hapus game ini dari hp saya.😡 Game online bikin pusing Masih banyak game online yang lain yang tidak bikin kita pusing. Serang lawan lag tapi lawan serang player tidak ada lag.,1,Negatif,game ini jika mau kasih kalah player hp jadi panas tapi bila kasih player menang hp tidak panasgame ini tidak bagus satu hero bisa menghabisi hero tim player bilang main jujur dan adiltidak ada bagus nya bikin buang waktu di kasih tim yang bodoh dan di kasih player kalah terus menerusya akhirnya saya hapus game ini dari hp saya game online bikin pusing masih banyak game online yang lain yang tidak bikin kita pusing serang lawan lag tapi lawan serang player tidak ada lag,game kasih kalah player hp panas kasih player menang hp panasgame bagus hero menghabisi hero tim player bilang main jujur adiltidak bagus nya bikin buang kasih tim bodoh kasih player kalah menerusya hapus game hp game online bikin pusing game online bikin pusing serang lawan lag lawan serang player lag,"['game', 'kasih', 'kalah', 'player', 'hp', 'panas', 'kasih', 'player', 'menang', 'hp', 'panasgame', 'bagus', 'hero', 'menghabisi', 'hero', 'tim', 'player', 'bilang', 'main', 'jujur', 'adiltidak', 'bagus', 'nya', 'bikin', 'buang', 'kasih', 'tim', 'bodoh', 'kasih', 'player', 'kalah', 'menerusya', 'hapus', 'game', 'hp', 'game', 'online', 'bikin', 'pusing', 'game', 'online', 'bikin', 'pusing', 'serang', 'lawan', 'lag', 'lawan', 'serang', 'player', 'lag']",game kasih kalah player hp panas kasih player menang hp panasgame bagus hero habis hero tim player bilang main jujur adiltidak bagus nya bikin buang kasih tim bodoh kasih player kalah menerusya hapus game hp game online bikin pusing game online bikin pusing serang lawan lag lawan serang player lag
Tiap abis update pasti dapet dark system dan keselnya player yg pernah di blacklist kok bisa²nya ketemu trus jadi setim lagi itu yg bikin emosi.,1,Negatif,tiap abis update pasti dapet dark system dan keselnya player yg pernah di blacklist kok bisanya ketemu trus jadi setim lagi itu yg bikin emosi,abis update dapet dark system keselnya player yg blacklist bisanya ketemu trus setim yg bikin emosi,"['abis', 'update', 'dapet', 'dark', 'system', 'keselnya', 'player', 'yg', 'blacklist', 'bisanya', 'ketemu', 'trus', 'setim', 'yg', 'bikin', 'emosi']",abis update dapet dark system kesel player yg blacklist bisa ketemu trus tim yg bikin emosi
bagus gamenya cuman gue lose streak dari epik 1 bintang 2 ke GM. tiba² dpt tim dark sistem sedangkan musuhnya pro bngt. mungkin kalah itu wajar tapi gue capek kalah terus sampe gue ke GM lagi.seribu tantangan gw lewati tapi akhirnya GM LAGI.,2,Negatif,bagus gamenya cuman gue lose streak dari epik  bintang  ke gm tiba dpt tim dark sistem sedangkan musuhnya pro bngt mungkin kalah itu wajar tapi gue capek kalah terus sampe gue ke gm lagiseribu tantangan gw lewati tapi akhirnya gm lagi,bagus gamenya cuman gue lose streak epik bintang gm dpt tim dark sistem musuhnya pro bngt kalah wajar gue capek kalah sampe gue gm lagiseribu tantangan gw lewati gm,"['bagus', 'gamenya', 'cuman', 'gue', 'lose', 'streak', 'epik', 'bintang', 'gm', 'dpt', 'tim', 'dark', 'sistem', 'musuhnya', 'pro', 'bngt', 'kalah', 'wajar', 'gue', 'capek', 'kalah', 'sampe', 'gue', 'gm', 'lagiseribu', 'tantangan', 'gw', 'lewati', 'gm']",bagus gamenya cuman gue lose streak epik bintang gm dpt tim dark sistem musuh pro bngt kalah wajar gue capek kalah sampe gue gm lagiseribu tantang gw lewat gm
Game apa sih ini cokk cape bgt gua asli buat player solo gila banget moonton dapet tim yang ga bener mulu sumpah jujur jujuran klo soal pemilihan tim lebih baik HOK di banding ML sebagai player solo sangat kecewa karna tidak ada perubahan nya sama sekali dari dulu tolong dong moonton dengar suara kami dari player solo ranked cape bgt tolong perbaiki dan bedain mana yang bisa main sama yang enggak!!!!,1,Negatif,game apa sih ini cokk cape bgt gua asli buat player solo gila banget moonton dapet tim yang ga bener mulu sumpah jujur jujuran klo soal pemilihan tim lebih baik hok di banding ml sebagai player solo sangat kecewa karna tidak ada perubahan nya sama sekali dari dulu tolong dong moonton dengar suara kami dari player solo ranked cape bgt tolong perbaiki dan bedain mana yang bisa main sama yang enggak,game sih cokk cape bgt gua asli player solo gila banget moonton dapet tim ga bener mulu sumpah jujur jujuran klo pemilihan tim hok banding ml player solo kecewa karna perubahan nya tolong moonton dengar suara player solo ranked cape bgt tolong perbaiki bedain main,"['game', 'sih', 'cokk', 'cape', 'bgt', 'gua', 'asli', 'player', 'solo', 'gila', 'banget', 'moonton', 'dapet', 'tim', 'ga', 'bener', 'mulu', 'sumpah', 'jujur', 'jujuran', 'klo', 'pemilihan', 'tim', 'hok', 'banding', 'ml', 'player', 'solo', 'kecewa', 'karna', 'perubahan', 'nya', 'tolong', 'moonton', 'dengar', 'suara', 'player', 'solo', 'ranked', 'cape', 'bgt', 'tolong', 'perbaiki', 'bedain', 'main']",game sih cokk cape bgt gua asli player solo gila banget moonton dapet tim ga bener mulu sumpah jujur jujuran klo pilih tim hok banding ml player solo kecewa karna ubah nya tolong moonton dengar suara player solo ranked cape bgt tolong baik bedain main
"Hallo moonton, ini untuk kesekian kali nya, kalo match itu dapet team yng tau cara maen, game bagus tapi gak bisa buat para player nya seneng, 5x maen menang 1x, gak masuk akal, dilaporin tapi gak dihukum, jng karna match nya gak baik harus uninstall game, bikin emosi maen dapet team tukang trolll semua, tolong diperhatikan baik baik,",2,Negatif,hallo moonton ini untuk kesekian kali nya kalo match itu dapet team yng tau cara maen game bagus tapi gak bisa buat para player nya seneng x maen menang x gak masuk akal dilaporin tapi gak dihukum jng karna match nya gak baik harus uninstall game bikin emosi maen dapet team tukang trolll semua tolong diperhatikan baik baik,hallo moonton kesekian kali nya kalo match dapet team yng tau maen game bagus gak player nya seneng x maen menang x gak masuk akal dilaporin gak dihukum jng karna match nya gak uninstall game bikin emosi maen dapet team tukang trolll tolong diperhatikan,"['hallo', 'moonton', 'kesekian', 'kali', 'nya', 'kalo', 'match', 'dapet', 'team', 'yng', 'tau', 'maen', 'game', 'bagus', 'gak', 'player', 'nya', 'seneng', 'x', 'maen', 'menang', 'x', 'gak', 'masuk', 'akal', 'dilaporin', 'gak', 'dihukum', 'jng', 'karna', 'match', 'nya', 'gak', 'uninstall', 'game', 'bikin', 'emosi', 'maen', 'dapet', 'team', 'tukang', 'trolll', 'tolong', 'diperhatikan']",hallo moonton sekian kali nya kalo match dapet team yng tau maen game bagus gak player nya neng x maen menang x gak masuk akal dilaporin gak hukum jng karna match nya gak uninstall game bikin emosi maen dapet team tukang trolll tolong perhati
saya ada keluhan sedikit kenapa saya saat main rank selalu menemukan musuh yang pangkatnya itu udah pernah mencapai mitic Sasangkan saya baru legend yang pastinya kalah tolong diperbaiki 🙏,1,Negatif,saya ada keluhan sedikit kenapa saya saat main rank selalu menemukan musuh yang pangkatnya itu udah pernah mencapai mitic sasangkan saya baru legend yang pastinya kalah tolong diperbaiki ,keluhan main rank menemukan musuh pangkatnya udah mencapai mitic sasangkan legend pastinya kalah tolong diperbaiki,"['keluhan', 'main', 'rank', 'menemukan', 'musuh', 'pangkatnya', 'udah', 'mencapai', 'mitic', 'sasangkan', 'legend', 'pastinya', 'kalah', 'tolong', 'diperbaiki']",keluh main rank temu musuh pangkat udah capai mitic sasangkan legend pasti kalah tolong baik
"ada bug saat mengganti akun muncul tulisan jaringan tidak stabil kembali lagi nanti, sedangkan jaringan saya bagus bagus aja mohon di perbaiki, apalagi kalau sering mencoba ulang terus gagal di suruh nunggu waktu gara gara kebanyakan gagal dalam mengganti akun",1,Negatif,ada bug saat mengganti akun muncul tulisan jaringan tidak stabil kembali lagi nanti sedangkan jaringan saya bagus bagus aja mohon di perbaiki apalagi kalau sering mencoba ulang terus gagal di suruh nunggu waktu gara gara kebanyakan gagal dalam mengganti akun,bug mengganti akun muncul tulisan jaringan stabil jaringan bagus bagus aja mohon perbaiki mencoba ulang gagal suruh nunggu gara gara kebanyakan gagal mengganti akun,"['bug', 'mengganti', 'akun', 'muncul', 'tulisan', 'jaringan', 'stabil', 'jaringan', 'bagus', 'bagus', 'aja', 'mohon', 'perbaiki', 'mencoba', 'ulang', 'gagal', 'suruh', 'nunggu', 'gara', 'gara', 'kebanyakan', 'gagal', 'mengganti', 'akun']",bug ganti akun muncul tulis jaring stabil jaring bagus bagus aja mohon baik coba ulang gagal suruh nunggu gara gara banyak gagal ganti akun
"Rank tertinggi gwe mitic 29,,bisa di bilng udh paham item,rotasi,masak di rank bisa ketemu tim rnk tertinggi master 5 yg kesimpulan nya itu player baru yg main ngasal,,gak bisa ngimbangin musuh nya jago,Sejago apapun player solo di kasi tim trol GK bkl bisa ngpa2in,, Masukan aj,kasi random yg sesuai minimal bisa main,,yg bisa ngimbangin musuh",2,Negatif,rank tertinggi gwe mitic bisa di bilng udh paham itemrotasimasak di rank bisa ketemu tim rnk tertinggi master  yg kesimpulan nya itu player baru yg main ngasalgak bisa ngimbangin musuh nya jagosejago apapun player solo di kasi tim trol gk bkl bisa ngpain masukan ajkasi random yg sesuai minimal bisa mainyg bisa ngimbangin musuh,rank tertinggi gwe mitic bilng udh paham itemrotasimasak rank ketemu tim rnk tertinggi master yg kesimpulan nya player yg main ngasalgak ngimbangin musuh nya jagosejago apapun player solo kasi tim trol gk bkl ngpain masukan ajkasi random yg sesuai minimal mainyg ngimbangin musuh,"['rank', 'tertinggi', 'gwe', 'mitic', 'bilng', 'udh', 'paham', 'itemrotasimasak', 'rank', 'ketemu', 'tim', 'rnk', 'tertinggi', 'master', 'yg', 'kesimpulan', 'nya', 'player', 'yg', 'main', 'ngasalgak', 'ngimbangin', 'musuh', 'nya', 'jagosejago', 'apapun', 'player', 'solo', 'kasi', 'tim', 'trol', 'gk', 'bkl', 'ngpain', 'masukan', 'ajkasi', 'random', 'yg', 'sesuai', 'minimal', 'mainyg', 'ngimbangin', 'musuh']",rank tinggi gwe mitic bilng udh paham itemrotasimasak rank ketemu tim rnk tinggi master yg simpul nya player yg main ngasalgak ngimbangin musuh nya jagosejago apa player solo kasi tim trol gk bkl ngpain masuk ajkasi random yg sesuai minimal mainyg ngimbangin musuh
