content,score,Label
"Gamenya bagus, grafiknya lumayan, tapi tolonglah kasih lawan yang bot, jangan yg kuat. Tks itu aja soalnya masalahnya disitu.",1,Negatif
"for moonton tolong dong di perbaiki lagi bug freeze kadang ngeselin lagi war enak-enak, eh tiba-tiba malah ngefreeze ga jelas, jadi harus relog dulu paling males relog nunggu di loading screen ny itu lamaa, tolong lah moonton perbaiki lagi server nya.",1,Negatif
Game ini jika mau kasih kalah player hp jadi panas .tapi bila kasih player menang hp tidak panas.Game ini tidak bagus satu Hero bisa menghabisi Hero tim player. bilang main jujur dan adil.tidak ada bagus nya Bikin buang waktu .di kasih tim yang bodoh dan di kasih player kalah terus menerus.ya akhirnya saya hapus game ini dari hp saya.😡 Game online bikin pusing Masih banyak game online yang lain yang tidak bikin kita pusing. Serang lawan lag tapi lawan serang player tidak ada lag.,1,Negatif
Tiap abis update pasti dapet dark system dan keselnya player yg pernah di blacklist kok bisa²nya ketemu trus jadi setim lagi itu yg bikin emosi.,1,Negatif
bagus gamenya cuman gue lose streak dari epik 1 bintang 2 ke GM. tiba² dpt tim dark sistem sedangkan musuhnya pro bngt. mungkin kalah itu wajar tapi gue capek kalah terus sampe gue ke GM lagi.seribu tantangan gw lewati tapi akhirnya GM LAGI.,2,Negatif
Game apa sih ini cokk cape bgt gua asli buat player solo gila banget moonton dapet tim yang ga bener mulu sumpah jujur jujuran klo soal pemilihan tim lebih baik HOK di banding ML sebagai player solo sangat kecewa karna tidak ada perubahan nya sama sekali dari dulu tolong dong moonton dengar suara kami dari player solo ranked cape bgt tolong perbaiki dan bedain mana yang bisa main sama yang enggak!!!!,1,Negatif
"Hallo moonton, ini untuk kesekian kali nya, kalo match itu dapet team yng tau cara maen, game bagus tapi gak bisa buat para player nya seneng, 5x maen menang 1x, gak masuk akal, dilaporin tapi gak dihukum, jng karna match nya gak baik harus uninstall game, bikin emosi maen dapet team tukang trolll semua, tolong diperhatikan baik baik,",2,Negatif
saya ada keluhan sedikit kenapa saya saat main rank selalu menemukan musuh yang pangkatnya itu udah pernah mencapai mitic Sasangkan saya baru legend yang pastinya kalah tolong diperbaiki 🙏,1,Negatif
"ada bug saat mengganti akun muncul tulisan jaringan tidak stabil kembali lagi nanti, sedangkan jaringan saya bagus bagus aja mohon di perbaiki, apalagi kalau sering mencoba ulang terus gagal di suruh nunggu waktu gara gara kebanyakan gagal dalam mengganti akun",1,Negatif
"Rank tertinggi gwe mitic 29,,bisa di bilng udh paham item,rotasi,masak di rank bisa ketemu tim rnk tertinggi master 5 yg kesimpulan nya itu player baru yg main ngasal,,gak bisa ngimbangin musuh nya jago,Sejago apapun player solo di kasi tim trol GK bkl bisa ngpa2in,, Masukan aj,kasi random yg sesuai minimal bisa main,,yg bisa ngimbangin musuh",2,Negatif
"Permainan di kasi musuh yg jago yg sesuai lah masa gua kalah terus pilih kasih,gak adi lalam permainan, kasi lawan yg susah di lawan, udh tau orang gak bisa masi aja di kasi musuh yg jago, udh lah pilh kasi, aku udh mau menag malah musuh yg deluan menang, terus tower di hancurin musuh mudah kenapa giliran kami serang tower susah nian, kalah terus, ujung ujung gulang lagi reng nyo, hampir idk punya temen gara2 bot main nyo, aku nanti di sekolah idk di ajak mabar lagi cuman gara2 main gem ajing 🐷",1,Negatif
"Jujur lah saya dpt tim yang sangat amat buruk kadang dapat anggota tim feedeer kadang dapet tim suka ambil buff jungler ais apalah saya capek sekali dengan hari hari yang seperti ini,saya sudah rela menghabiskan waktu saya untuk main mobile legends dan yah itu perilaku yang saya dapat kan kecewa berat :(",1,Negatif
