review,score,Label
kualitas game ya tingkat segi nyaman main,4,Positif
sistem gacha ahmpas pelit item top up uc mahal uc mahal mahal item sulit level invinite ampas,1,Negatif
gemnya bagus main gem jaring lancar tolong cepat baik,2,Negatif
ngelag lgsg kluar g login g,1,Negatif
tolong baik main ngebug sinyal oke gimana event aja event aman aman aja,4,Positif
mohon maaf updet kali kecewa banyak bug resah fps tibatiba drop musuh nya teleportteleport lag jaring bagus hit box tembak nya aneh kadang suara step musuh kadang map indikator step aktif kecewa updet kali moga depan,2,Negatif
bug baik event muncul dasar game idiot,5,Positif
tolong baik fps smooth ultra alami lag patahpatah main ganggu nyaman main,2,Negatif
tancent tarik baharu pakai model senjata skin beda klasik mohon ditindaklanjuti mass tancent,5,Positif
tolong bug nya fix thanks,5,Positif
game main ga bug dikit dikit kamera ga gerak halah yaapa seh game,1,Negatif
min ya main vs death match dapet matcmaking nya gabut bet nggak main main death match nunggu event baru selesai,5,Positif
tolong benerin bug nya udah x jadi bug stuck mobil gak arahin barusan bug tibatiba suara hilang volume dah penuh kacau banget tolong baik bug nya bener bener ganggu banget,2,Negatif
update parah frame nya ampun cacat game banyak fitur baru event pensi pubg auto game belah kd rendah temu musuh kd yg fps rendah kalo temu musuh fps player pubg pindah game ml mohon maaf game jelek jelek mari pindah game belah,1,Negatif
tolong baik game nya sih musuh yg udah kil mati mlah masuk tanah kocak mna gk looting lawak,1,Negatif
main ketemu musih tida menembakterus,4,Positif
asli terjun map aja frame drop sinyal bagus hp bagusgrafik kecil aja frame drop tolong baik ngasih saran,1,Negatif
abdet smakin main bug nya ngefrem parah,1,Negatif
grafis game bagus sistem oke pilih musuh tier baguskostumpakaian agam nya bagus,5,Positif
main pubg jaring fine ngeleg fine update ivent kecewa masalh jaring ngeleg system tancent login game pugb uninstal,1,Negatif
bagus tantang update minggu masuk arena layar putih sebentar ga basic bagus lancar,5,Positif
tolong sinyal baik masak main game enak apk login pubg muat server,2,Negatif
even kurang optimal main game device ram bawah,1,Negatif
tolong baik login ulang verifikasi nya error,2,Negatif
bug bikin risih event pas mode serigala ubah mode manusia kadang gak gerak detik gak ngapa ngapain gak pegang senjata eh musuh rush langsung spray tewas loby lawan moga baik bugnya terimakasih,4,Positif
game khusus orang elit game nya parah lag nya parah ping ms game taik,1,Negatif
game nya bagus banget terkadang nyebelin karna lawan jagotapi ku top up nya yg benerin karna mahal mohon baikin promo nya biar suka karna diskon nya top up tuh suka orang,5,Positif
apa keluhanya pubg mobile game favorit dr season sampe skrg dh anak gak bosen,5,Positif
parah musuh kaga liat kli tembak langsung koit bunyi sejata tpi musuh mna huuuh parah min yg sih oke geme cakep keren sih pokok nya yg aja sih keluh syab,2,Negatif
frame drop parah updatean kali update main smooth extreme lancar jaya kali smooth high kagak ngangkat war frame drop mulu sampe kek nge crash device snap s gen ram internal bejibun,1,Negatif
update parah menu ambil moment pas war pas menu moment muncul tembak orang,2,Negatif
nihh game game berat klo main minimal ram enak jgan nyalahin game fps bnyak bug update truslah inti lo suka game ya main gak suka uninstal game epep sgala macem,5,Positif
mohon deploper nya game nya nyangkut respon game nya gak bgus mohon baik,1,Negatif
mapsnya playernya main sanasini banyak bootnya,2,Negatif
game sampah dapat sampah duit g harga game,1,Negatif
mohon maaf kasih bintang karna kecewa bijak pubg yg mana main team duo squad saat dalam game nya end musuh maen kena hukum point merrit akun tolong baik,1,Negatif
game broken update ngeframe tolong baik gimna nya ngeframe,1,Negatif
pliss mohon developer baik bug fps fps langsung aja sinyal ada bagus jadi update even pari yg blodmond plis baik yg saran developer udh laku nya gak yng kerjain,1,Negatif
alami stuck loading pasuk tempur tolong baik,1,Negatif
pubg pubg kebnyakan update musuh fram banget pdhl sinyal oke tolong benerin musuh even jngn fram ngelag parah pubg skrng,1,Negatif
update download map jaring sinyal wifi udh kenceng banget,1,Negatif
bug udah ga wortid main ga parah,2,Negatif
tdk login pubg login suck tdk pencet tolong pubg baik,1,Negatif
tolong notifikasi jgn kirim pas game jalan ganggu tombol fire pas apk ranning jgn pas pus rank clasic notif ultimate rank aviable plisss,4,Positif
aplikasi masalah login katax aplikasi merespon,1,Negatif
main metro royal player musuh belar cepat chit tolong atas metro royal,5,Positif
mohon developer game tinggal update grafik map pc hp ram grafik kiri sajamohon developer game tinggal,4,Positif
mohon baik update nya lancar aja update nya bikin black screen lobby pesawat lancar injak tanah langsung black screen mohon baik bug ganggu bikin main game nya edit sentuh tanah texture tombol kedip hitam black screen force close,1,Negatif
pubg alami kontol masuk tempur masuk tempur sinyal bagus kuota mas masuk tempur harap pap sex jing nenek lu yesus kntl baik,1,Negatif
game nggak event pilih pensi player old paham krafton tencent,1,Negatif
game uda baguss player pensi banayk even ukur game berat suport nama gfx next krafton tpp nya luas ya posisi musuh nya ngga bingung cari,5,Positif
game bgnst jaring bagus game tp pas in game pingnya,1,Negatif
gak main pingin main cuman samsak doank game laknat pilih lawan parah banget beda pubg jaman yg lawa imbang,1,Negatif
terima kasih pabji udh bagus banget event gratis tolong developer pabji mobile bug nya tolong baik keluh lebih udh bagus banget,5,Positif
muas ace master kali ngelag ngebuf tolong ketua tau nya awak cuman dar main kayak live streming utama udah jumpa sultan top up ngelag atu nge buf turun event susah kali tolong yh ketua dah main loh,2,Negatif
malas main lawan yg nembus tembok kurang hp nggak mokal nggak cod mobile,1,Negatif
kalo user keluh tanggap biarin koneksi signal game hijau ko server gak merespon maksud gimana koneksi internet bagusmb indikator sinyal game hijau ko server gak merespon,1,Negatif
an matrial upgrade x suit yg udah d hilang kek ngumpulin ny susah hilang aneh pubg ngabisin duit gak,1,Negatif
kesini ga nyaman bot dateng tibatiba kayak teleport internet wifi ok data ok musuh rp kuning lag berat banget event,1,Negatif
jelas game akun kena banned salah langgar apa digame ikut tunjuk atur game pubg mobile tolong pubg mobile tolong baru cek seditail akun langgar atur pubg berani terima sanksi akun langgar dibanned permanent tolong cek terimakasih,1,Negatif
kesini bot nya main udah gak seru bot versi orang auto aim bingung beda yg beneran orang yg beneran bot,2,Negatif
main main login susah ribet gak minat main,1,Negatif
kecewa update dc koneksi bagus relod mulu tolong dev gimana nih,1,Negatif
lag framedrop tolong baik framedrop iqoo z ram snapdragon gen mohon kerjasama fps,2,Negatif
pubgm bug metro royale baki mana masuk dalam tempur alami jaring seluler otomatis relog pas relog masuk tempur nga gerak ga bosa pencet tombol apa nha pilih macht lengkap yg udah bawa lagsung ilang cukuperugikan udah capek capek ngumpulin ilang,5,Positif
uptdate gajelas login game force close smpe hapus data x haduh gimana pubg mohon baik,4,Positif
kecewa sistem layan aju adu pulih akun karna fecebook email ngeretas gak login akun game pubg paksa akun game pubg,1,Negatif
lag ganti senjata relog peluru lambat kalah cepat musuh,1,Negatif
gamenya aneh cheater eventnya aneh banget tolong baik aman,1,Negatif
main senjata m glacier dimilki sungguh kecewa,5,Positif
mohon tambah frame rate fps spesifikasi perangkat baru perangkat soc mediatek hio g gpu malig mc,2,Negatif
sebenarnye game seru main game kelola ga banyak event banyak opsi main bikin map ga kepake fokus tuh kmna game data game kesini gede player dikit banyakin event event ga bandingin yg bagus pubg era tencent moga depan nya baik thnks,1,Negatif
tolong baik lgi bug nya,4,Positif
game rusak jelasjaringan bagus aja frame drop ga,1,Negatif
woi sik bosa sendi game nya udah makun jelek aja game,2,Negatif
gamenya bagus sayang fps prosesor exynos,4,Positif
banyak bikin event sampe lupa atas bug jaring baguss pas main mentok loading udh aja sma udh kali rank turun ga masuk main gua nge push susah anjir loading mulu,1,Negatif
ngrasa frame klo musuh wajar tpi klo frame parah brarti game nya yg device upgrade,5,Positif
geme nya jelekk polll habis donglot habis login pilih han pilih login ulang coba kek gitu palang geme kek gin hapus aja deh playstore,1,Negatif
event bug nya banyakhampir player alami frame drop parah gerak aja susah sirkeltolong baik musuh ter sisa squad frame drop nya parahtapi klasik gak frame drop,4,Positif
skrg jg pas update bloodmoon knp akun ilang sih gamau,4,Positif
su main urut minus tu game bangsaat,1,Negatif
war bug sndiri gak gerak tlg baik kualitas gamenya parah,1,Negatif
optimisasi nya hp itel buruk nih pubg globalsaya coba pubg korea tembus fpsdi global cuman fps antolong dev optimisasikan gamenya,4,Positif
semenjak update event bloodmoon ketemu musuh frame drop njir,1,Negatif
maap tensen nya main aja pas baru met tengah rilog teruss tolong baik,5,Positif
kendala update patah patah parah nunggu minggu lancar,4,Positif
alam main pubg bosan kecewa karnakan musuh nya jago jago season kd turun haha bosan,1,Negatif
pubg mobile kayak berat ya ringan ringan aja developer tolong tambah grafik super mulus hp low end hp kentang grafik super mulus nya grafik pubg lite optimal lag hp kentang spek hio g ku tunggu update,1,Negatif
gamenya update berat keluh player frame drop patahkarena banyak hp tengah kuat main pubg,2,Negatif
event resah player sisa masoh nge lag parah usahakn bug nya maslahnya selesai,1,Negatif
login akun facebook apk facebook akun ganti apk pubg nya deteksi,1,Negatif
infinix stag loading nya pas klasik dar tdm stag,5,Positif
sya main pugb sya main sepih full bot mana alangka bgs koleb alan walker adain skin gratis tarik player,4,Positif
main suka pubg cman ya karna hp blom spek game optimal main saran update,5,Positif
stuck loading mulu gk masuk tanding hp pocco x,1,Negatif
suka banget sih game sayang season kali bug device frame parah kadang make ipad gen ngeframe make android parah gak gerak event game khusus sultan,2,Negatif
game turun pesawat looting rumah gak senjata kali kalah cepat musuh gak duakali kali kali rugi player aja males main game,1,Negatif
game developer acuh bug lagging dll waras developer,1,Negatif
login verifikasi udah hapus game nya download ulang tetep ga bikin emosi aja,1,Negatif
login pake email kode gak pake guest ku sambung email nomor wa coba mode eh kena ban mode metro royale,1,Negatif
suka main game pubg level invinite kecil ukur game hp main pubg sekian terimakasih,5,Positif
ngeframe parah kadang lag sampe gak gerak samasekali kesini gak karu karuan,1,Negatif
inti tencent games pegang pubgm semenjak pegang level infinite event gak kesini arah pubgm gak skin skin gak jual jual level infinite emang rakus payah pegang kendali pubgm,2,Negatif
up moga mudah hadiah yg tarik min gaca aja,5,Positif
main login email tolong frame late game baik,1,Negatif
maaf bintang karna pubg kacau parah event pari kemarin lumayan oke gk patah frame event asli kacau gitu gk ush aja event kaya mohon baik main nyaman,1,Negatif
gameplay nya segi grafik udah nyaman banget sensinya fleksibel enak kalok udah sesuai,5,Positif
guna update event klo gameplay frame parah season sblumnya aman aja,1,Negatif
gk wajar frame drop beli hp bln drop klo nemu musuh aja tpi kadang gejet sedkit fps fps trus,2,Negatif
update kuota lo tpi knp sampe sekrang parah nih hilang koneksi gak paket kuota ful jaring bagus knp koneksi hilang tdak pilih masuk tempur knp tolol sih,2,Negatif
event ngelag banget mohon baik ya developer,5,Positif
harap perhati handphone ram main pubg stabil lag frame developer jg tau gemar pubg kalang elite aja tp jg umur gaya karna game bagus tolong kecil ya,5,Positif
lag ni update baru pas parah banget even sblum ny aja,1,Negatif
update grafik gambar aja paket data memo ga nya boros paket,1,Negatif
update frame drop pubg nyaman frame drop main pubg kecewa pubg frame drop tanding moga depan lancar,1,Negatif
bintang optimal perangkat harap tahan update nya terima kasih,5,Positif
kali main leg mulu z pake wifi jgn tau update mulu bosss,1,Negatif
kembali pubgb mobile era tencent pubg event aneh gw suka pubg era pubg tencent era pubg era tencent seru ketimbang pubg era krafton,1,Negatif
gamenya parah main leg logingnya bangat unduh kadang respon server para pas main langsung eror gerak yg alami,1,Negatif
tolong berantas main curang aplikasi tiga cheater menggangu main gk berantas gak game,1,Negatif
kasi bintang aja ngga puassebenarnya fitur rumah pubg mobile sih ngga bangattidak guna game war game arsitek ngga teman teman user kurang kurang papar teman teman lainnyadeveloper tolong perhati cinta pubg mobile,1,Negatif
tolong benerin krafton plerr zona ngeframe gajelas gw main game turun event ga frame pas late game musuh sisa dikit frame gw cuman game eh macth ga gw aja yg ngerasa gitu temen gw ampe random blg gitu tolong la betulin emg turun ga frame yg frame pas late game,1,Negatif
update late game frame drop parah scoope patah patah mohon baik,1,Negatif
apa game rusak buru fix updatean nya frame drop game gk henti,2,Negatif
masalh ni gameframepakai tws open mic speaker matitapi of mik speaker nyalamohon baik,1,Negatif
update frame parah zonapadahal turun event gak ngeframe,2,Negatif
tolong sampe buka fps nya limit minimal dapet fps redmi biar main nyaman,1,Negatif
gamenya layar hitam tekan tombol pubg turun ranting,2,Negatif
mohon developer bantu kembali akun masuk apk putus sambung ulang kali coba mohon bantu main game mudah pindah game,1,Negatif
matching solo tpp tunggu opsi coba tolong solusi kalo gin conqueror,5,Positif
ngeframe gajelas habis update device poco f samsung s teman pakai promax ngeframe gajelas habis update ti,1,Negatif
pubg main yg bgus isi wktu luang sayang nya butuh sinyal yg kuat pakai hp yg canggihminimal iphone pro max maka jaring wifi yg kuat minimal indihome beli skin yg mahal maka hp standar juta game ngelag brebet jaring standar walopun nonton ytube streaming lancar pubg langsung hilang sinyal nya beli skin kalah,2,Negatif
hallo developerframe banget ni game patah ping mstolong pubg d baik bikin nyaman playerkalo gin bentar ni game sepibtw gw pake ip pm udah ga kuat main game stuck d cari match ga masuk poin d kurang update,4,Positif
ingat keras pubg mobile gila versi baru nya,1,Negatif
heran gw ni game update gban pas login suruh donwload ulang anyink asal gban ngurang jdi gban hebat haha,1,Negatif
gamenya sih bagus bugnya ngeselin main rank ga ga dapet score,4,Positif
game mensensuaikan skill player main langsung campur player skill pro tolong baik,1,Negatif
tolong kalo keluarin skin senjata senjata aja jenuh main pubg,1,Negatif
error pesawat gerak analog kanan tim rp,2,Negatif
kesini berat gak pas tencent yg megang atas lagbug dll udh smooth grafik player hp kentang enjoy main gilir yg pegang krafton hadeh ancur,1,Negatif
game ya ngak main tulisanya server merespon sih ya jaring lancar pas login ya ndak kecewa udah habisin paket main pas login ngak main,1,Negatif
gagal login alas krn jaring jaring internet lancar sampe mbps,1,Negatif
tolong lerbaiki servernya main udah star gak masuk in game nyetak loding,1,Negatif
suka event skrng alami bug event kemarin skrng alami bug bugnya bang messi bug nya geser kamera relog x relog normal tolong baik ya bugnya,5,Positif
mohon maaf developer pubg ko event bug frame drop tolong baik karna pengaruh gameplay player,2,Negatif
game rusaaak zona event ngeframe bikin ga nyaman main,1,Negatif
event enak turun zona patah tolong baik sinyal ku ms patah jugak aja kyk gin player bilang kayak gin salah sinyal bales sinyal muluk,1,Negatif
update frame gak zone zona frame parahh bangett tara ipad frame drop tolong krafton baik nya udah males klo frame melulu ken pensi nih main pubg klo,1,Negatif
update baru bug gyroscope x ngga setting sensitivitas nya,4,Positif
game rusak sin parah patah patah server down emang payah developer nya,1,Negatif
jaring main pubg tdk stabil ms jaring hilang,1,Negatif
bug parah enak main bug jaring oke tolong baik,2,Negatif
update frame drop device pake snapdragon gen loh ram gb update lancar gamplay nyaman,2,Negatif
server busuk troublewifi lancar hubung ulang,1,Negatif
yaa kali musuh langsung pata jaring wifi gue bagus,1,Negatif
krafton tolong bug frame nya dibeneein skin doang update mulu gak mending tencent megang gak,1,Negatif
bintng binggung fitur baru login popge ya harap fitur login y kaya soaalny bingung ganti akun,1,Negatif
event kemarindi laut event vampire berat banget terus frame drop gua dekat yg ubah vampir serigala ganggu banget tolong optimasi gamenya teman android alam kecuali yg pakai iphone,1,Negatif
event buruk turun cuman dapet pistol event musuh dapet ump m scarl kadang pas zona end game ngeframe patah patah masuk akal game penuh bug event drakula event atlantic event the best event drakula event jelek,1,Negatif
main stuck loading wifi bagus selaluu stuck loading gimana kalo handphone ga tolong min,1,Negatif
frame drop updetan kali,1,Negatif
game kaga dimainin yah grapik udah rendah leg pas musuh coba tlong benerin jaring normal spek hv sedeng sesuai grapik,5,Positif
main dicastlenya aman aja ya sih tpi gak parah bgt tpi why luar castle klo tanda player ngeframe brutal patah bgt,1,Negatif
gak lobi aja server gak respon sinyal aja tolong krafton baik sekian trimakasih,2,Negatif
suka pubg relogin pakai google email pakai pakai email main,1,Negatif
onmic hidup speaker jaring bagusdan izin hidupin pakai wifi pakai data onmic dengar speaker,1,Negatif
update baru main event turun rame banget lancarlancar aja gilir zona player tinggal orang frame drop parah kecewa banget sih inj,1,Negatif
lag frame drope percumah mainin,1,Negatif
game gak hancur skarang frame gak device frame zona gak wajar banget game sampah,1,Negatif
bug dri server lag bug suara yg suka hilang yg ganggu fps drop lho,2,Negatif
tolong size nya rangin kasi hp ram makan simpan nya updatetan bikik risih main,5,Positif
mode main clasik clasik tema metro royal ultimate royal wow dll efek jd main clasik both,1,Negatif
gw gatcha dapet item langka pas gw cek inventory gaada bug yg tolong baik hadiah skinnya dikit bgt gak kek dlu,4,Positif
event parah frame nya ketimbang event kemarin musuh doang ngerush langsung frame device ram,2,Negatif
game ga last zone frame parah gila ni game gilir relog ga masuk match mau gmana si kesini bagus ampas event gajelas,1,Negatif
dear developersemenjak krafton megang kendali game seru karna bot map classic map event gk habis nya plus atmosfer game tencent megang game initiadakan map event,1,Negatif
tolong rendahin lh dikit frame pas main smo simpan nya jga berat banget sumpah hp gua gk tahan,1,Negatif
kesini parah ngeprem musuh ngeprem tolong benerin biar maen kaga ngeprem,1,Negatif
game isi uc musim curang apa kali akun kena blokirsorry auto uninstal kapok main buang uang beli uc,1,Negatif
semenjak update blood moon parah bngt frame nya jaring bagus hp dukung abis ttp bae ngeframe,2,Negatif
seru main skrg aneh pas tempur dibilangin server eror pas login eeh udah gak masuk macthnya jaring ok tolong baik sistem,1,Negatif
bener aja dapet settingan grafik smooth high doang pubg newstate dapet smooth fps tolong minimal dapet grafik smooth extreme ultra pengaruh main fps nya,2,Negatif
late game map event frame drop parah android tolong baik,1,Negatif
fps drop event tolong baik butuh bintang,1,Negatif
apredsemakin bersarram dimakangameini ahir tinggal pemainkarena hp penu anggap remeini trjadi inigame suda ku hapus apred,1,Negatif
tolong pubg zona ngefreeze game nya device udh bagus game nya asa main hp kentang banget tolong ya baik player enak main nya,4,Positif
parah matchmaking nya main solo lama,1,Negatif
update an yg frame drop ga musuh gak perang pas zona udh rasa bener sih frame nya yg kah,5,Positif
cinta pubg main semenjak sen sampe dn kesini gk mending sen sampe sen suka,1,Negatif
heran sinyal bagus selagi loby medan latih skalinya masuk game ping langsung turun dadak gk gerak,2,Negatif
update orangmengalami frame drop tepat ketikaa tengah match dri zona rugi periksa ratasebagian main alami gar bahwain jaring koneksi internet karna koneksi bagus trima kasih tolong perhati,1,Negatif
