content,score,Label,text_clean,text_Stopword,text_tokens,text_steamindo
Secara kualitas game sudah sangat baik tapi ya lebih ditingkatkan lagi dari segi kenyamanan pemain.,4,Positif,secara kualitas game sudah sangat baik tapi ya lebih ditingkatkan lagi dari segi kenyamanan pemain,kualitas game ya ditingkatkan segi kenyamanan pemain,"['kualitas', 'game', 'ya', 'ditingkatkan', 'segi', 'kenyamanan', 'pemain']",kualitas game ya tingkat segi nyaman main
"Sistem gacha ahmpas, pelit item Top up uc mahal!! Uc mahal mahal dapat ITEM sulit. Level invinite ampas",1,Negatif,sistem gacha ahmpas pelit item top up uc mahal uc mahal mahal dapat item sulit level invinite ampas,sistem gacha ahmpas pelit item top up uc mahal uc mahal mahal item sulit level invinite ampas,"['sistem', 'gacha', 'ahmpas', 'pelit', 'item', 'top', 'up', 'uc', 'mahal', 'uc', 'mahal', 'mahal', 'item', 'sulit', 'level', 'invinite', 'ampas']",sistem gacha ahmpas pelit item top up uc mahal uc mahal mahal item sulit level invinite ampas
Gemnya bagus hanya saja ketika saya main tiba tiba keluar dari gem sendiri 😡 padahal jaringan lancar Tolong dong cepat di perbaiki,2,Negatif,gemnya bagus hanya saja ketika saya main tiba tiba keluar dari gem sendiri  padahal jaringan lancar tolong dong cepat di perbaiki,gemnya bagus main gem jaringan lancar tolong cepat perbaiki,"['gemnya', 'bagus', 'main', 'gem', 'jaringan', 'lancar', 'tolong', 'cepat', 'perbaiki']",gemnya bagus main gem jaring lancar tolong cepat baik
"Begitu ngelag, lgsg kluar g bisa login lagi, makin lama makin g jelas",1,Negatif,begitu ngelag lgsg kluar g bisa login lagi makin lama makin g jelas,ngelag lgsg kluar g login g,"['ngelag', 'lgsg', 'kluar', 'g', 'login', 'g']",ngelag lgsg kluar g login g
"Tolong dong diperbaiki, lagi main ngebug dan keluar sendiri sinyal oke padahal gimana dong event ini aja event sebelumnya aman aman aja",4,Positif,tolong dong diperbaiki lagi main ngebug dan keluar sendiri sinyal oke padahal gimana dong event ini aja event sebelumnya aman aman aja,tolong diperbaiki main ngebug sinyal oke gimana event aja event aman aman aja,"['tolong', 'diperbaiki', 'main', 'ngebug', 'sinyal', 'oke', 'gimana', 'event', 'aja', 'event', 'aman', 'aman', 'aja']",tolong baik main ngebug sinyal oke gimana event aja event aman aman aja
"Mohon maaf untuk updet kali ini saya sangat kecewa , sebab banyaknya bug meresahkan seperti fps tiba-tiba drop, musuh nya teleport-teleport (lag) padahal jaringan bagus, serta hit box tembakan nya sedikit aneh kadang besar dan kecil, juga suara Step musuh yang kadang tidak tampak di map, maupun indikator step yang saya sudah aktifkan, saya sangat kecewa dengan updet kali ini semoga kedepannya lebih baik lagi 🙏",2,Negatif,mohon maaf untuk updet kali ini saya sangat kecewa  sebab banyaknya bug meresahkan seperti fps tibatiba drop musuh nya teleportteleport lag padahal jaringan bagus serta hit box tembakan nya sedikit aneh kadang besar dan kecil juga suara step musuh yang kadang tidak tampak di map maupun indikator step yang saya sudah aktifkan saya sangat kecewa dengan updet kali ini semoga kedepannya lebih baik lagi ,mohon maaf updet kali kecewa banyaknya bug meresahkan fps tibatiba drop musuh nya teleportteleport lag jaringan bagus hit box tembakan nya aneh kadang suara step musuh kadang map indikator step aktifkan kecewa updet kali semoga kedepannya,"['mohon', 'maaf', 'updet', 'kali', 'kecewa', 'banyaknya', 'bug', 'meresahkan', 'fps', 'tibatiba', 'drop', 'musuh', 'nya', 'teleportteleport', 'lag', 'jaringan', 'bagus', 'hit', 'box', 'tembakan', 'nya', 'aneh', 'kadang', 'suara', 'step', 'musuh', 'kadang', 'map', 'indikator', 'step', 'aktifkan', 'kecewa', 'updet', 'kali', 'semoga', 'kedepannya']",mohon maaf updet kali kecewa banyak bug resah fps tibatiba drop musuh nya teleportteleport lag jaring bagus hit box tembak nya aneh kadang suara step musuh kadang map indikator step aktif kecewa updet kali moga depan
"Bug tidak pernah di perbaiki ketika event baru bermunculan, dasar game idiot",5,Positif,bug tidak pernah di perbaiki ketika event baru bermunculan dasar game idiot,bug perbaiki event bermunculan dasar game idiot,"['bug', 'perbaiki', 'event', 'bermunculan', 'dasar', 'game', 'idiot']",bug baik event muncul dasar game idiot
"Tolong perbaiki segera, fps smooth ultra tetap mengalami lag atau patah-patah saat bermain. Ini mengganggu kenyamanan dan keinginan bermain",2,Negatif,tolong perbaiki segera fps smooth ultra tetap mengalami lag atau patahpatah saat bermain ini mengganggu kenyamanan dan keinginan bermain,tolong perbaiki fps smooth ultra mengalami lag patahpatah bermain mengganggu kenyamanan bermain,"['tolong', 'perbaiki', 'fps', 'smooth', 'ultra', 'mengalami', 'lag', 'patahpatah', 'bermain', 'mengganggu', 'kenyamanan', 'bermain']",tolong baik fps smooth ultra alami lag patahpatah main ganggu nyaman main
Luar Biasa Tancent Akan lebih menarik lagi bila pembaharuan berikutnya bisa pakai 1 model senjata dengan skin yang berbeda di Klasik. Mohon ditindaklanjuti Mass Tancent🤝🙏,5,Positif,luar biasa tancent akan lebih menarik lagi bila pembaharuan berikutnya bisa pakai  model senjata dengan skin yang berbeda di klasik mohon ditindaklanjuti mass tancent,tancent menarik pembaharuan pakai model senjata skin berbeda klasik mohon ditindaklanjuti mass tancent,"['tancent', 'menarik', 'pembaharuan', 'pakai', 'model', 'senjata', 'skin', 'berbeda', 'klasik', 'mohon', 'ditindaklanjuti', 'mass', 'tancent']",tancent tarik baharu pakai model senjata skin beda klasik mohon ditindaklanjuti mass tancent
"Tolong bug nya segera di fix, thanks.",5,Positif,tolong bug nya segera di fix thanks,tolong bug nya fix thanks,"['tolong', 'bug', 'nya', 'fix', 'thanks']",tolong bug nya fix thanks
