content,score,Label
Secara kualitas game sudah sangat baik tapi ya lebih ditingkatkan lagi dari segi kenyamanan pemain.,4,Positif
"Sistem gacha ahmpas, pelit item Top up uc mahal!! Uc mahal mahal dapat ITEM sulit. Level invinite ampas",1,Negatif
Gemnya bagus hanya saja ketika saya main tiba tiba keluar dari gem sendiri 😡 padahal jaringan lancar Tolong dong cepat di perbaiki,2,Negatif
"Begitu ngelag, lgsg kluar g bisa login lagi, makin lama makin g jelas",1,Negatif
"Tolong dong diperbaiki, lagi main ngebug dan keluar sendiri sinyal oke padahal gimana dong event ini aja event sebelumnya aman aman aja",4,Positif
"Mohon maaf untuk updet kali ini saya sangat kecewa , sebab banyaknya bug meresahkan seperti fps tiba-tiba drop, musuh nya teleport-teleport (lag) padahal jaringan bagus, serta hit box tembakan nya sedikit aneh kadang besar dan kecil, juga suara Step musuh yang kadang tidak tampak di map, maupun indikator step yang saya sudah aktifkan, saya sangat kecewa dengan updet kali ini semoga kedepannya lebih baik lagi 🙏",2,Negatif
"Bug tidak pernah di perbaiki ketika event baru bermunculan, dasar game idiot",5,Positif
"Tolong perbaiki segera, fps smooth ultra tetap mengalami lag atau patah-patah saat bermain. Ini mengganggu kenyamanan dan keinginan bermain",2,Negatif
Luar Biasa Tancent Akan lebih menarik lagi bila pembaharuan berikutnya bisa pakai 1 model senjata dengan skin yang berbeda di Klasik. Mohon ditindaklanjuti Mass Tancent🤝🙏,5,Positif
"Tolong bug nya segera di fix, thanks.",5,Positif
"Game main ga jelas. Makin banyak bug, dikit dikit kamera ga bisa gerak, Halah yaapa seh ini game 🤬🤬😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡",1,Negatif
"Min ini kenapa ya setiap main 8vs8 death match selalu lama dapet matcmaking nya, gabut bet nggak bisa main, main death match buat nunggu event terbaru selesai...",5,Positif
tolong dong di benerin lagi bug nya udah 2x kejadian bug stuck di mobil sama gak bisa di arahin sama barusan tadi bug tiba-tiba suaranya hilang padahal volume dah penuh kacau banget sekali lagi tolong di perbaiki untuk bug nya bener bener ganggu banget,2,Negatif
